Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
296.8819,0.0004,296.88142,0.00015,99,,,0.000,-,33 673.650,6d7s2,a 2D,3/2,7s<sup>2</sup>5f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
303.6930,0.0004,303.69294,0.00017,240,2.9e+07,D+,0.000,-,32 918.416,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
307.6440,0.0004,307.64383,0.00018,670,7.e+07,D+,0.000,-,32 495.681,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
308.2957,0.0006,308.29507,0.00016,35,3.5e+07,E,2 231.432,-,34 658.472,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
310.9330,0.0013,,,450,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
311.1570,0.0004,311.15684,0.00017,790,1.1e+08,D+,2 231.432,-,34 360.246,6d7s2,a 2D,5/2,7s<sup>2</sup>5f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
314.0720,0.0013,,,500,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
314.3710,0.0004,314.37088,0.00018,2000,6.3e+07,D+,0.000,-,31 800.350,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>F)7p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
317.1170,0.0004,317.11661,0.00018,1800,4.9e+07,D+,2 231.432,-,33 756.452,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>F)7p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
317.4224,0.0004,317.42212,0.00016,250,2.8e+07,E,0.000,-,31 494.679,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>P)7p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
