Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
334.387,,100l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
339.501,,200l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
344.619,,200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
351.013,,5000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
353.095,,1000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
356.916,,5000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
360.341,,500,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
367.312,,5000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
402.025,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
403.581,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
414.096,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
426.555,,1000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
428.926,,5000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
464.912,,100l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
465.345,,100l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
466.279,,5000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
468.165,,2000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
470.680,,1000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
499.079,,200l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
500.021,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
540.262,,1000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
542.470,,1000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
559.813,,1000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
605.464,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
640.511,,1000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
654.416,,500l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
695.558,,500s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3500&amp;comment_code=&amp;element=Am&amp;spectr_charge=1&amp;ref=3500&amp;type=
