Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
339.222,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
353.149,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
354.098,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
359.877,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
360.532,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
361.749,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
366.270,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
373.935,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
378.561,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
409.912,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
424.238,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
432.903,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
433.522,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
517.396,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
517.908,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
521.924,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
540.888,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
572.605,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
662.283,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
663.126,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
667.790,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
689.459,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
707.452,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
730.790,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
814.129,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=1&amp;ref=&amp;type=
