Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
299.939,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
310.969,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
311.641,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
313.716,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
314.733,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
315.510,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
315.860,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
317.755,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
317.910,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
318.641,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
318.811,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
