Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
313.525,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
342.312,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
342.848,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
348.459,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
349.811,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
351.433,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
352.349,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
355.534,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
516.174,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
520.440,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
561.551,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=1&amp;ref=2225&amp;type=
