Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
348.193,,300,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
350.150,,300w,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
398.689,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
504.466,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
560.170,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
565.275,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
578.439,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
587.804,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
601.122,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
605.609,,300,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
607.390,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
608.005,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
612.049,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
618.859,,300,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
620.000,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
621.590,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
631.784,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
634.138,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
656.611,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
672.068,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
