Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Lower Level  J,Upper Level  J,Type,TPRef.,LineRef.
335.784,,390,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
339.038,,730,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
343.549,,580,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
345.992,,360,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
346.222,,320,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
346.355,,460,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
346.630,,630,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
347.343,,320,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
348.036,,360,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
348.937,,1600,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
349.400,,340,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
