Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
274.802,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
282.757,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
287.211,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
287.857,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
288.477,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
288.980,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
289.366,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
291.065,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
294.171,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
295.176,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
296.913,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4703&amp;comment_code=&amp;element=Bk&amp;spectr_charge=2&amp;ref=4703&amp;type=
