Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
361.211,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
362.676,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
372.211,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
378.904,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
389.323,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
399.357,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
692.710,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
833.385,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
842.349,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
856.883,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u11&amp;element=Cf&amp;spectr_charge=2&amp;ref=&amp;type=
