Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
246.276,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
261.717,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
263.628,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
265.117,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
265.380,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
272.568,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
273.689,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
274.804,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
278.483,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
281.162,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
282.420,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
283.358,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
289.990,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
291.297,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
292.892,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
299.618,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
301.487,,10000b,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
