Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
269.432,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
270.866,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
271.602,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
272.457,,1000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
278.710,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
279.611,,1000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
288.584,,100s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
315.427,,1000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
354.775,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
360.243,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
367.001,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
372.855,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2225&amp;comment_code=&amp;element=Es&amp;spectr_charge=2&amp;ref=2225&amp;type=
