Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
12.55,12.542,0.010,*,,,494 263.44,-,1 291 600,1s2p,3P°,2,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.542,0.010,*,,,494 261.17,-,1 291 600,1s2p,3P°,1,2p3p,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.542,0.010,*,,,494 263.44,-,1 291 600,1s2p,3P°,2,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.542,0.010,*,,,494 261.17,-,1 291 600,1s2p,3P°,1,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.542,0.010,*,,,494 261.17,-,1 291 600,1s2p,3P°,1,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.542,0.010,*,,,494 266.57,-,1 291 600,1s2p,3P°,0,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 263.44,-,1 291 200,1s2p,3P°,2,2p3p,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 261.17,-,1 291 200,1s2p,3P°,1,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 266.57,-,1 291 200,1s2p,3P°,0,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 263.44,-,1 291 200,1s2p,3P°,2,2p3p,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 263.44,-,1 291 200,1s2p,3P°,2,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.548,0.010,*,,,494 261.17,-,1 291 200,1s2p,3P°,1,2p3p,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 243.77,-,1 293 800,1s3d,3D,3,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 243.15,-,1 293 800,1s3d,3D,2,2p3d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 243.15,-,1 293 800,1s3d,3D,2,2p3d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 243.15,-,1 293 800,1s3d,3D,2,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 244.30,-,1 293 800,1s3d,3D,1,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 243.77,-,1 293 800,1s3d,3D,3,2p3d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.651,0.010,*,,,561 244.30,-,1 293 800,1s3d,3D,1,2p3d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 500.35,-,1 291 600,1s3p,3P°,1,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 500.35,-,1 291 600,1s3p,3P°,1,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 502.32,-,1 291 600,1s3p,3P°,0,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 500.35,-,1 291 600,1s3p,3P°,1,2p3p,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 501.42,-,1 291 600,1s3p,3P°,2,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.659,0.010,*,,,559 501.42,-,1 291 600,1s3p,3P°,2,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 266.57,-,1 206 000,1s2p,3P°,0,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 261.17,-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 263.44,-,1 206 000,1s2p,3P°,2,2p<sup>2</sup>,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 261.17,-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 261.17,-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,494 263.44,-,1 206 000,1s2p,3P°,2,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
,16.6390,0.0010,,6.1947e+08,AAA,0.00,-,600 998.,1s2,1S,0,1s7p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
16.721,16.7270,0.0010,,9.8247e+08,AAA,0.00,-,597 836.,1s2,1S,0,1s6p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,16.7257,0.0010,,1.6424e+04,AAA,0.00,-,597 882.52,1s2,1S,0,1s6d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,16.7318,0.0010,,1.56e+00,B,0.00,-,597 663.40,1s2,1S,0,1s6p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
16.874,16.8738,0.0010,,1.6943e+09,AAA,0.00,-,592 634.91,1s2,1S,0,1s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,16.8772,0.0010,,2.6846e+04,AAA,0.00,-,592 514.43,1s2,1S,0,1s5d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,16.8880,0.0010,,2.78e+00,B,0.00,-,592 134.70,1s2,1S,0,1s5p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
