Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
6d27p,2D°,6d7s2,a 2D,1.6702e-08,1.2953e-16,2.7808e+04,1.2098e+07,8.9257e+02,1.4938e+06,5
6d27p,2F°,6d7s2,a 2D,1.8141e-08,1.0284e-17,3.2778e+04,1.9132e+06,1.1157e+03,2.4896e+06,2
6d27p,2F°,6d27s,a 4F,7.1429e-08,,3.3756e+04,,1.2078e+04,,1
6d27p,4D°,6d27s,a 4F,1.7195e-08,1.0354e-16,3.1308e+04,1.6618e+06,1.0385e+04,5.4334e+05,2
6d27p,4D°,6d7s2,a 2D,3.4753e-08,8.2546e-16,3.1987e+04,4.1515e+06,1.1157e+03,1.6598e+06,4
6d27p,4F°,6d7s2,a 2D,7.7452e-08,4.3303e-15,2.7280e+04,7.8788e+05,1.1157e+03,1.6598e+06,4
6d27p,4F°,6d27s,a 4F,3.7363e-08,2.9202e-16,2.9254e+04,6.3443e+06,1.0516e+04,1.5682e+06,4
6d27p,4G°,6d7s2,a 2D,1.4545e-07,5.9504e-15,2.3687e+04,8.9434e+04,2.2314e+03,0.0000e+00,2
6d27p,4S°,6d7s2,a 2D,3.4483e-08,,3.2918e+04,,0.0000e+00,,1
6d7s7p,2D°,6d7s2,a 2D,1.8472e-07,1.4504e-14,1.8305e+04,3.7576e+05,7.4381e+02,1.6598e+06,3
6d7s7p,2F°,6d7s2,a 2D,3.2924e-08,5.0779e-16,2.3746e+04,1.0518e+07,1.6736e+03,1.2448e+06,4
6d7s7p,2P°,6d7s2,a 2D,9.2172e-09,4.3650e-17,2.5491e+04,5.4538e+05,1.1157e+03,2.4896e+06,2
6d7s7p,2P°,6d27s,a 4F,4.1667e-07,,2.4969e+04,,9.8636e+03,,1
6d7s7p,2F°,6d27s,a 4F,2.1277e-07,,2.6836e+04,,1.0906e+04,,1
6d7s7p,4D°,6d7s2,a 2D,8.0790e-07,1.8457e-13,1.7557e+04,9.5964e+04,7.4381e+02,1.6598e+06,3
6d7s7p,4F°,6d7s2,a 2D,1.6249e-06,5.7045e-12,1.4998e+04,2.6309e+06,1.3389e+03,1.4938e+06,5
6d7s7p,4P°,6d7s2,a 2D,2.0000e-07,,2.2801e+04,,0.0000e+00,,1
7s25f,2F°,6d7s2,a 2D,3.7879e-08,1.6575e-15,3.4017e+04,2.3571e+05,2.2314e+03,0.0000e+00,2
7s27p,2P°,6d7s2,a 2D,1.5509e-06,3.5135e-12,1.0677e+04,7.6775e+06,7.4381e+02,1.6598e+06,3
