Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23d,2D,3s23p,2P°,3.8987e-08,1.6751e-15,3.2436e+04,6.0122e-01,7.4707e+01,4.1859e+03,3
3s23p,2P°,3s23p,2P°,9.9010e+04,,1.1206e+02,,0.0000e+00,,1
3s24d,2D,3s23p,2P°,3.0130e-08,9.7824e-16,4.2235e+04,5.4432e+00,7.4707e+01,4.1859e+03,3
3s24d,2D,3s24f,2F°,5.9692e-05,8.0250e-09,4.2236e+04,5.4432e+00,4.1319e+04,2.1333e-05,3
3s24d,2D,3s24p,2P°,1.6676e-05,2.9900e-10,4.2235e+04,5.4432e+00,3.2960e+04,8.3551e+01,3
3s24d,2D,3s25p,2P°,1.4260e-06,2.1929e-12,4.2235e+04,5.4432e+00,4.0276e+04,1.1623e+01,3
3s24f,2F°,3s23d,2D,4.0959e-07,3.3700e-13,4.1319e+04,2.1333e-05,3.2436e+04,6.0122e-01,3
3s24f,2F°,3s2nd,y 2D,2.6526e-06,1.4130e-11,4.1319e+04,2.1333e-05,3.8932e+04,6.9160e+00,3
3s24p,2P°,3s23d,2D,5.7334e-04,5.2306e-07,3.2960e+04,8.3551e+01,3.2436e+04,6.0122e-01,3
3s24p,2P°,3s24s,2S,6.2697e-08,7.7257e-20,3.2958e+04,1.2533e+02,2.5348e+04,0.0000e+00,2
3s24s,2S,3s23p,2P°,1.5096e-08,4.8884e-17,2.5348e+04,0.0000e+00,5.6031e+01,6.2788e+03,2
3s25d,2D,3s23p,2P°,3.5733e-08,1.4283e-15,4.4167e+04,1.9992e+00,7.4707e+01,4.1859e+03,3
3s25d,2D,3s24f,2F°,2.3609e-03,1.2550e-05,4.4168e+04,1.9992e+00,4.1319e+04,2.1333e-05,3
3s25d,2D,3s24p,2P°,1.0025e-05,1.0815e-10,4.4167e+04,1.9992e+00,3.2960e+04,8.3551e+01,3
3s25d,2D,3s25f,2F°,2.5432e-04,1.4528e-07,4.4168e+04,1.9992e+00,4.3831e+04,5.3333e-06,3
3s25d,2D,3s25p,2P°,1.6557e-04,2.9458e-08,4.4167e+04,1.9992e+00,4.0276e+04,1.1623e+01,3
3s25d,2D,3s26p,2P°,6.4477e-06,4.4948e-11,4.4167e+04,1.9992e+00,4.3337e+04,2.7361e+00,3
3s25f,2F°,3s23d,2D,8.2098e-07,1.3538e-12,4.3831e+04,5.3333e-06,3.2436e+04,6.0122e-01,3
3s25f,2F°,3s24d,2D,3.7159e-06,2.7798e-11,4.3831e+04,5.3333e-06,4.2236e+04,5.4432e+00,3
3s25f,2F°,3s2nd,y 2D,3.0850e-04,1.9090e-07,4.3831e+04,5.3333e-06,3.8932e+04,6.9160e+00,3
3s25g,2G,3s24f,2F°,1.3261e-06,3.5734e-12,4.3876e+04,0.0000e+00,4.1319e+04,2.1333e-05,3
3s25p,2P°,3s23d,2D,6.3921e-05,6.6711e-09,4.0276e+04,1.1623e+01,3.2436e+04,6.0122e-01,3
3s25p,2P°,3s24s,2S,1.0000e-06,0.0000e+00,4.0275e+04,1.7435e+01,2.5348e+04,0.0000e+00,2
3s25p,2P°,3s25s,2S,3.8685e-07,1.1198e-18,4.0275e+04,1.7435e+01,3.7689e+04,0.0000e+00,2
3s25p,2P°,3s2nd,y 2D,1.0298e-05,1.7210e-10,4.0276e+04,1.1623e+01,3.8931e+04,6.9160e+00,3
3s25s,2S,3s23p,2P°,5.2817e-08,6.1992e-16,3.7689e+04,0.0000e+00,5.6031e+01,6.2788e+03,2
3s25s,2S,3s24p,2P°,2.5000e-07,1.3889e-14,3.7689e+04,0.0000e+00,3.2958e+04,1.2533e+02,2
3s2nd,y 2D,3s23p,2P°,8.2269e-08,5.5252e-15,3.8931e+04,6.9160e+00,7.4707e+01,4.1859e+03,3
3s2nd,y 2D,3s24p,2P°,2.3202e-07,5.8106e-14,3.8931e+04,6.9160e+00,3.2960e+04,8.3551e+01,3
3s3p2,4P,3s24s,2S,4.0322e+06,1.1610e+13,2.9077e+04,3.8150e+03,2.5348e+04,1.9852e-23,3
3s3p2,4P,3s3p2,4P,2.8772e+05,3.5083e+10,2.9105e+04,2.8743e+03,2.9044e+04,1.0835e+03,2
