Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d106d,2D,5d106p,2P°,2.8898e-08,9.0814e-16,6.1979e+04,2.2468e+03,3.9903e+04,4.8530e+06,3
5d106p,2P°,5d106s,2S,5.5740e-09,5.4816e-19,3.9267e+04,7.2795e+06,0.0000e+00,0.0000e+00,2
5d106p,2P°,5d96s2,2D,7.5661e-07,1.0351e-12,3.9903e+04,4.8530e+06,1.7344e+04,5.0217e+07,3
5d107d,2D,5d106p,2P°,3.2292e-08,2.1701e-18,6.7490e+04,8.5285e+02,3.9267e+04,7.2795e+06,2
5d107p,2P°,5d106s,2S,2.1333e-06,8.2689e-12,6.0381e+04,2.4196e+05,0.0000e+00,0.0000e+00,2
5d107s,2S,5d106p,2P°,2.8742e-08,5.3183e-17,5.4485e+04,0.0000e+00,3.9267e+04,7.2795e+06,2
5d95/26s1/26p1/2,4F°,5d96s2,2D,9.7087e-08,,4.5537e+04,,9.1612e+03,,1
5d95/26s1/26p3/2,2D°,5d96s2,2D,1.6754e-06,4.8075e-12,5.1654e+04,0.0000e+00,1.5298e+04,7.5326e+07,2
5d95/26s1/26p3/2,4P°,5d106s,2S,2.6316e-07,,4.7007e+04,,0.0000e+00,,1
5d95/26s1/26p3/2,4P°,5d96s2,2D,4.6591e-06,3.9282e-11,4.7007e+04,0.0000e+00,1.5298e+04,7.5326e+07,2
