Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2p3,4S°,2s2p2,4P,1.8188e-09,1.0112e-18,9.6881e+04,0.0000e+00,2.8653e+04,3.0323e+01,3
2s22p,2P°,2s22p,2P°,3.1250e+07,,1.5287e+01,,0.0000e+00,,1
2s23d,2D,2s22p,2P°,1.3428e-08,1.9395e-16,5.4768e+04,6.9408e-03,1.0191e+01,7.7897e+01,3
2s23d,2D,2s23p,2P°,2.1567e-07,5.0085e-14,5.4768e+04,6.9408e-03,4.8613e+04,1.0589e+00,3
2s23p,2P°,2s23s,2S,5.8140e-08,0.0000e+00,4.8613e+04,1.5883e+00,4.0040e+04,0.0000e+00,2
2s23p,2P°,2s2p2,2D,1.4360e-03,3.3797e-06,4.8613e+04,1.0589e+00,4.7857e+04,3.3285e-02,3
2s23s,2S,2s22p,2P°,8.9286e-09,1.7715e-17,4.0040e+04,0.0000e+00,7.6435e+00,1.1685e+02,2
2s24d,2D,2s22p,2P°,2.6322e-08,7.4424e-16,5.9993e+04,7.9409e-23,1.0191e+01,7.7897e+01,3
2s24d,2D,2s23p,2P°,8.0188e-03,6.8144e-05,5.9993e+04,7.9409e-23,4.8613e+04,1.0589e+00,3
2s24d,2D,2s24p,2P°,1.1131e-06,1.3321e-12,5.9993e+04,7.9409e-23,5.7787e+04,1.3428e-01,3
2s24f,2F°,2s23d,2D,4.4758e-07,4.0151e-13,6.0031e+04,9.7200e-06,5.4768e+04,6.9408e-03,3
2s24f,2F°,2s2p2,2D,1.6642e-06,5.5561e-12,6.0031e+04,9.7200e-06,4.7857e+04,3.3285e-02,3
2s24p,2P°,2s23d,2D,2.2683e-06,8.4165e-12,5.7787e+04,1.3428e-01,5.4768e+04,6.9408e-03,3
2s24p,2P°,2s23s,2S,4.4444e-06,0.0000e+00,5.7787e+04,2.0142e-01,4.0040e+04,0.0000e+00,2
2s24p,2P°,2s24s,2S,3.7524e-07,9.9125e-19,5.7787e+04,2.0142e-01,5.5010e+04,0.0000e+00,2
2s24p,2P°,2s2p2,2D,1.1551e-03,2.1729e-06,5.7787e+04,1.3428e-01,4.7857e+04,3.3285e-02,3
2s24s,2S,2s22p,2P°,2.4064e-08,1.2759e-16,5.5010e+04,0.0000e+00,7.6435e+00,1.1685e+02,2
2s24s,2S,2s23p,2P°,1.3514e-07,4.0581e-15,5.5010e+04,0.0000e+00,4.8613e+04,1.5883e+00,2
2s2p3d,2D°,2s23d,2D,6.3095e-06,4.1302e-11,8.9707e+04,3.6300e+00,5.4768e+04,6.9408e-03,4
2s2p3d,2D°,2s24d,2D,3.2262e-05,1.0854e-09,8.9707e+04,3.6300e+00,5.9993e+04,0.0000e+00,4
2s2p3d,2D°,2s25d,2D,7.9225e-05,6.5035e-09,8.9707e+04,3.6300e+00,6.2486e+04,0.0000e+00,4
2s2p3d,2D°,2s2p2,2D,1.0791e-06,1.1971e-12,8.9707e+04,3.6300e+00,4.7857e+04,3.3285e-02,4
2s2p3d,4P°,2s2p2,4P,2.0327e-08,1.9599e-16,9.1644e+04,5.1539e+00,2.8653e+04,2.0261e+01,7
2s2p3p,2P,2s22p,2P°,1.0011e-08,5.5968e-17,8.6862e+04,9.3633e+00,7.6435e+00,7.7897e+01,4
2s2p3p,2P,2s23p,2P°,8.6385e-07,4.1198e-13,8.6862e+04,9.3633e+00,4.8613e+04,1.0589e+00,4
2s2p3p,2P,2s24p,2P°,3.4077e-06,6.5404e-12,8.6862e+04,9.3633e+00,5.7787e+04,1.3428e-01,4
2s2p3s,4P°,2s2p2,4P,1.5260e-08,1.1196e-16,7.7019e+04,6.4586e+01,2.8653e+04,2.0261e+01,7
2s2p4p,2P,2s22p,2P°,1.3889e-07,1.1023e-14,9.5449e+04,5.6033e+00,7.6435e+00,7.7897e+01,4
2s2p4p,2P,2s23p,2P°,1.1625e-06,7.6241e-13,9.5449e+04,5.6033e+00,4.8613e+04,1.0589e+00,4
2s2p4p,2P,2s24p,2P°,6.0297e-06,2.0328e-11,9.5449e+04,5.6033e+00,5.7787e+04,1.3428e-01,4
2s2p2,2D,2s22p,2P°,6.3487e-08,4.3576e-15,4.7857e+04,3.3285e-02,1.0191e+01,7.7897e+01,3
2s2p2,2P,2s22p,2P°,1.4252e-09,1.1458e-18,7.2529e+04,4.5241e+01,7.6435e+00,7.7897e+01,4
2s2p2,2P,2s23p,2P°,4.0034e-06,9.3963e-12,7.2529e+04,4.5241e+01,4.8613e+04,1.0589e+00,4
2s2p2,2P,2s24p,2P°,3.0467e-05,5.2341e-10,7.2529e+04,4.5241e+01,5.7787e+04,1.3428e-01,4
2s2p2,2S,2s22p,2P°,1.6968e-08,6.3983e-17,6.3561e+04,0.0000e+00,7.6435e+00,1.1685e+02,2
2s2p2,4P,2s22p,2P°,2.7387e+01,2.5615e+03,2.8651e+04,2.0347e+01,9.1722e+00,7.0108e+01,5
2s2p2,4P,2s2p2,4P,4.2845e+15,5.5071e+31,2.8656e+04,1.3356e+01,2.8649e+04,7.1765e+00,3
