Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d6d,3D,6s6p,3P°,1.3981e-07,1.5442e-15,3.6343e+04,6.1244e+04,1.3222e+04,2.5703e+05,3
5d6d,3G,6s6p,3P°,1.5152e-07,,3.5894e+04,,1.3515e+04,,1
5d6d,3S,6s6p,3P°,4.1667e-08,,3.7095e+04,,1.3515e+04,,1
5d6p,1D°,6s5d,1D,5.0000e-08,,2.3074e+04,,1.1395e+04,,1
5d6p,1D°,6s5d,3D,6.9481e-07,7.2938e-13,2.3074e+04,0.0000e+00,9.3152e+03,1.5824e+05,2
5d6p,1F°,6s5d,1D,2.2727e-08,,2.6816e+04,,1.1395e+04,,1
5d6p,1F°,6s5d,3D,9.0909e-07,,2.6816e+04,,9.5965e+03,,1
5d6p,1P°,5d2,1D,8.3333e-07,,2.8554e+04,,2.3062e+04,,1
5d6p,1P°,5d2,3P,3.8462e-06,,2.8554e+04,,2.3919e+04,,1
5d6p,1P°,6s2,1S,2.8571e-08,,2.8554e+04,,0.0000e+00,,1
5d6p,1P°,6s5d,1D,2.2222e-08,,2.8554e+04,,1.1395e+04,,1
5d6p,3D°,5d2,3F,1.4286e-06,,2.4192e+04,,2.0934e+04,,1
5d6p,3D°,6s2,1S,6.8493e-07,,2.4192e+04,,0.0000e+00,,1
5d6p,3D°,6s5d,3D,5.3380e-08,8.6583e-16,2.4563e+04,1.0428e+05,9.2725e+03,5.5590e+04,7
5d6p,3D°,6s5d,1D,9.0909e-07,,2.4532e+04,,1.1395e+04,,1
5d6p,3F°,6s5d,1D,1.6787e-06,4.7871e-12,2.2506e+04,3.8965e+05,1.1395e+04,0.0000e+00,2
5d6p,3F°,6s5d,3D,7.7296e-08,3.0064e-15,2.2756e+04,5.0783e+05,9.3316e+03,6.3981e+04,5
5d6p,3P°,6s5d,3D,6.9366e-08,1.0809e-14,2.5820e+04,2.2882e+04,9.1882e+03,4.7918e+04,6
