Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
1s22p2,3P,1s22s2p,3P°,6.1934e-09,9.1941e-18,5.9695e+04,1.7469e+00,2.1980e+04,1.7084e+00,6
1s22s2p,1P°,1s22s2,1S,1.8116e-09,,4.2565e+04,,0.0000e+00,,1
1s22s2p,1P°,1s22s2p,3P°,8.6237e+05,3.1527e+10,4.2565e+04,0.0000e+00,2.1979e+04,2.4222e+00,3
1s22s2p,3P°,1s22s2,1S,3.0315e+03,1.8351e+07,2.1980e+04,2.7261e+00,0.0000e+00,0.0000e+00,2
1s22s2p,3P°,1s22s2p,3P°,1.1990e+18,4.3131e+36,2.1980e+04,1.8174e+00,2.1979e+04,1.2607e-01,3
1s22s3d,1D,1s22s2p,1P°,1.3123e-08,,6.4428e+04,,4.2565e+04,,1
1s22s3d,1D,1s22s3p,1P°,2.0492e-07,,6.4428e+04,,6.0187e+04,,1
1s22s3d,3D,1s22s2p,3P°,4.0267e-08,5.1914e-15,6.2054e+04,3.6750e-06,2.1980e+04,1.9859e+00,6
1s22s3p,1P°,1s22s2,1S,1.3831e-07,,6.0187e+04,,0.0000e+00,,1
1s22s3p,1P°,1s22s3s,1S,1.5480e-07,,6.0187e+04,,5.4677e+04,,1
1s22s3p,3P°,1s22s3s,3S,8.5470e-08,0.0000e+00,5.8908e+04,4.4896e-02,5.2081e+04,0.0000e+00,3
1s22s3p,3P°,1s22s2,1S,2.2727e+00,,5.8907e+04,,0.0000e+00,,1
1s22s3s,1S,1s22s2p,1P°,2.9586e-08,,5.4677e+04,,4.2565e+04,,1
1s22s3s,3S,1s22s2p,3P°,3.0061e-08,6.3591e-16,5.2081e+04,0.0000e+00,2.1979e+04,2.4222e+00,3
1s22s4d,1D,1s22s2p,1P°,2.0534e-08,,6.8781e+04,,4.2565e+04,,1
1s22s4d,1D,1s22s3p,1P°,1.9455e-06,,6.8781e+04,,6.0187e+04,,1
1s22s4d,3D,1s22s2p,3P°,9.5368e-08,2.9086e-14,6.7942e+04,3.9000e-04,2.1980e+04,1.9859e+00,6
1s22s4d,3D,1s22s3p,3P°,1.7810e-06,1.0147e-11,6.7942e+04,3.9000e-04,5.8908e+04,4.0407e-02,6
1s22s4f,1F°,1s22p2,1D,1.0428e-07,,6.8241e+04,,5.6883e+04,,1
1s22s4f,1F°,1s22s3d,1D,1.4104e-07,,6.8241e+04,,6.4428e+04,,1
1s22s4f,1F°,1s22s3d,3D,5.9548e-04,4.2616e-07,6.8241e+04,0.0000e+00,6.2054e+04,0.0000e+00,2
1s22s4f,3F°,1s22s3d,3D,3.0432e-06,3.8280e-11,6.8241e+04,2.7000e-06,6.2054e+04,2.4500e-06,5
1s22s4f,3F°,1s22p2,1D,1.9608e-04,,6.8241e+04,,5.6883e+04,,1
1s22s4f,3F°,1s22s3d,1D,2.6667e-04,,6.8241e+04,,6.4428e+04,,1
1s22s4p,1P°,1s22p2,1D,1.9231e-06,,6.7035e+04,,5.6883e+04,,1
1s22s4p,1P°,1s22s2,1S,8.3333e-06,,6.7035e+04,,0.0000e+00,,1
1s22s4p,1P°,1s22s3s,1S,3.0395e-06,,6.7035e+04,,5.4677e+04,,1
1s22s4p,3P°,1s22s3d,3D,9.3722e-06,3.8305e-10,6.6812e+04,0.0000e+00,6.2054e+04,3.6750e-06,6
1s22s4p,3P°,1s22s3s,3S,5.8824e-06,0.0000e+00,6.6812e+04,0.0000e+00,5.2081e+04,0.0000e+00,3
1s22s4s,1S,1s22s2p,1P°,9.9010e-08,,6.5245e+04,,4.2565e+04,,1
1s22s4s,1S,1s22s3p,1P°,9.2593e-08,,6.5245e+04,,6.0187e+04,,1
1s22s4s,3S,1s22s2p,3P°,1.0875e-07,8.3161e-15,6.4506e+04,0.0000e+00,2.1979e+04,2.4222e+00,3
1s22s4s,3S,1s22s3p,3P°,3.3642e-07,7.9455e-14,6.4506e+04,0.0000e+00,5.8908e+04,4.4896e-02,3
