Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
6p26d,2[2],6p3,2D°,2.9649e-07,1.0457e-13,4.4515e+04,2.7269e+05,1.4098e+04,5.3827e+06,3
6p26d,2[2],6p3,2P°,6.9930e-07,,4.3912e+04,,2.1661e+04,,1
6p26d,2[2],6p3,4S°,2.3323e-08,7.2578e-16,4.4365e+04,4.0903e+05,0.0000e+00,0.0000e+00,2
6p27d,2[2],6p3,2D°,3.0795e-07,6.2230e-14,5.1089e+04,6.4778e+03,1.3428e+04,5.3827e+06,4
6p27d,2[2],6p3,2P°,1.5625e-07,,5.1019e+04,,2.1661e+04,,1
6p27d,2[2],6p3,4S°,4.1000e-08,1.1458e-15,5.1089e+04,9.7167e+03,0.0000e+00,0.0000e+00,2
6p27s,2[0],6p3,2D°,1.0638e-07,,3.2588e+04,,1.1419e+04,,1
6p27s,2[0],6p3,4S°,5.9880e-09,,3.2588e+04,,0.0000e+00,,1
6p28s,2[0],6p3,2D°,3.2362e-08,,4.7373e+04,,1.1419e+04,,1
6p28s,2[0],6p3,2P°,2.4390e-07,,4.7373e+04,,2.1661e+04,,1
6p28s,2[0],6p3,4S°,1.1062e-08,,4.7373e+04,,0.0000e+00,,1
6p26d,5657,6p3,2P°,9.3458e-08,,5.6569e+04,,2.1661e+04,,1
6p26d,5707,6p3,2D°,1.7241e-08,,5.7076e+04,,1.5438e+04,,1
6p26d,5827,6p3,2P°,4.9505e-08,,5.8273e+04,,2.1661e+04,,1
6p27s,2[1],6p3,2D°,2.6973e-08,6.6198e-16,4.5215e+04,3.6807e+05,1.2759e+04,5.3827e+06,3
6p27s,2[1],6p3,2P°,3.4299e-07,1.5906e-13,4.5390e+04,5.5210e+05,2.1661e+04,0.0000e+00,2
6p27s,2[1],6p3,4S°,1.9799e-07,6.9658e-14,4.5390e+04,5.5210e+05,0.0000e+00,0.0000e+00,2
6p27s,2[2],6p3,2D°,5.0789e-08,5.4605e-15,4.8975e+04,3.1431e+05,1.3428e+04,5.3827e+06,4
6p27s,2[2],6p3,2P°,3.1326e-07,1.3671e-13,4.9461e+04,0.0000e+00,2.7413e+04,6.6170e+07,2
6p27s,2[2],6p3,4S°,9.1553e-08,1.3173e-14,4.8975e+04,4.7146e+05,0.0000e+00,0.0000e+00,2
6p3,2D°,6p3,4S°,4.4444e-02,,1.1419e+04,,0.0000e+00,,1
6p3,2P°,6p27s,2[0],2.0000e-01,,3.3165e+04,,3.2588e+04,,1
