Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4s24p45p,2[1]°,4s24p45s,2[2],3.8679e-07,1.6131e-13,8.0945e+04,2.6610e+07,6.4662e+04,3.6051e+05,6
4s24p45p,2[1]°,4s24p45s,2[1],5.0155e-07,6.1294e-13,8.0836e+04,1.2984e+07,6.7064e+04,2.6948e+04,5
4s24p45p,2[2]°,4s24p45s,2[2],6.2906e-07,5.9399e-13,8.0123e+04,2.9184e+07,6.6920e+04,3.1129e+07,8
4s24p45p,2[3]°,4s24p45s,2[2],8.7772e-08,1.4503e-14,8.2513e+04,3.9729e+07,7.1207e+04,4.1510e+07,5
4s24p45s,2[2],4s24p5,2P°,4.3696e-08,4.5028e-15,7.0160e+04,3.9864e+07,1.2284e+03,3.6216e+06,6
4s24p45p,2[1]°,4s24p45s,2[0],8.2923e-08,5.3029e-15,7.9581e+04,1.2886e+05,6.8970e+04,0.0000e+00,3
4s24p45s,2[0],4s24p5,2P°,1.3889e-09,1.5432e-19,6.8970e+04,0.0000e+00,1.8426e+03,6.7905e+06,2
4s24p45p,2[0]°,4s24p45s,2[1],1.7915e-07,4.1146e-14,7.8076e+04,0.0000e+00,6.7034e+04,4.4913e+04,2
4s24p45p,2[2]°,4s24p45s,2[1],3.9493e-08,2.9274e-17,7.8622e+04,9.0805e+03,6.7084e+04,2.9942e+04,3
4s24p45s,2[1],4s24p5,2P°,2.5000e-08,5.2500e-16,6.7084e+04,2.9942e+04,2.4568e+03,4.5270e+06,3
4s24p46p,2[1]°,4s24p45s,2[1],1.0313e-05,1.8770e-10,8.7473e+04,5.6049e+06,6.7034e+04,4.4913e+04,2
4s24p45d,2[4],4s24p45p,2[3]°,5.8824e-07,,8.7192e+04,,7.5522e+04,,1
4s24p46p,2[1]°,4s24p45s,2[2],6.6667e-07,,8.5944e+04,,6.3436e+04,,1
4s24p46p,2[2]°,4s24p45s,2[2],1.2105e-06,5.9157e-13,8.5557e+04,1.7689e+03,6.3436e+04,0.0000e+00,2
4s24p46p,2[3]°,4s24p45s,2[1],3.4483e-05,,8.5821e+04,,6.7184e+04,,1
4s24p46p,2[3]°,4s24p45s,2[2],4.7619e-07,,8.5763e+04,,6.3436e+04,,1
4s24p5,2P°,4s24p5,2P°,1.1111e+00,,3.6852e+03,,0.0000e+00,,1
4s4p6,2S,4s24p5,2P°,1.6667e-07,,8.4826e+04,,0.0000e+00,,1
