Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p4f,2[5/2],2s22p3d,1D°,1.5710e-06,2.8826e-12,8.3967e+04,2.9225e+03,7.7680e+04,0.0000e+00,4
2s22p4f,2[5/2],2s22p3d,1F°,7.7800e-05,1.7874e-08,8.3967e+04,2.9225e+03,7.8530e+04,0.0000e+00,4
2s22p4f,2[5/2],2s22p3d,1P°,1.2344e-06,2.1562e-12,8.3967e+04,4.3858e+03,7.8731e+04,0.0000e+00,2
2s22p4f,2[5/2],2s22p3d,3D°,6.3434e-06,1.3746e-10,8.3967e+04,2.4356e+03,7.8309e+04,9.2271e+01,10
2s22p4f,2[5/2],2s22p3d,3F°,2.5069e-05,1.3478e-09,8.3967e+04,2.4352e+03,7.8216e+04,3.8352e+02,10
2s22p4f,2[5/2],2s22p3d,3P°,3.6148e-06,2.6196e-11,8.3967e+04,2.6307e+03,7.9314e+04,1.6816e+01,6
2s22p4f,2[5/2],2s22p4s,1P°,2.5227e-06,8.1829e-12,8.3967e+04,4.3858e+03,7.8340e+04,0.0000e+00,2
2s22p4f,2[5/2],2s22p4s,3P°,7.2532e-06,8.2810e-11,8.3967e+04,2.6307e+03,7.8138e+04,2.6183e+02,6
2s22p4f,2[5/2],2s2p3,3D°,1.2566e-05,1.2829e-10,8.3967e+04,2.6307e+03,6.4090e+04,2.4309e+00,6
2s22p4f,2[5/2],2s2p3,3P°,9.3608e-06,1.6723e-10,8.3967e+04,2.6307e+03,7.5255e+04,4.4516e-01,6
2s22p4f,2[7/2],2s22p3d,1D°,3.1622e-07,5.1181e-14,8.3956e+04,1.7999e+03,7.7680e+04,0.0000e+00,2
2s22p4f,2[7/2],2s22p3d,1F°,1.4846e-06,1.3291e-12,8.3956e+04,1.2014e+03,7.8530e+04,0.0000e+00,4
2s22p4f,2[7/2],2s22p3d,3D°,7.9629e-07,6.9905e-13,8.3956e+04,1.0808e+03,7.8315e+04,3.0075e+01,6
2s22p4f,2[7/2],2s22p3d,3F°,1.3427e-05,5.5569e-10,8.3956e+04,1.0009e+03,7.8226e+04,4.6482e+02,10
2s22p4f,2[7/2],2s22p4s,3P°,1.6949e-05,,8.3926e+04,,7.8148e+04,,1
2s22p4f,2[7/2],2s2p3,3D°,6.7577e-06,2.6266e-11,8.3956e+04,1.2014e+03,6.4089e+04,5.3973e+00,4
2s22p4f,2[3/2],2s22p3d,1P°,1.5163e-04,4.5842e-08,8.4036e+04,6.4298e-03,7.8731e+04,0.0000e+00,2
2s22p4f,2[3/2],2s22p3d,3D°,3.0041e-05,3.9792e-09,8.4036e+04,3.8579e-03,7.8304e+04,1.1250e+02,5
2s22p4f,2[3/2],2s22p3d,3F°,3.1463e-05,4.0889e-10,8.4036e+04,4.2865e-03,7.8205e+04,9.0186e+01,3
2s22p4f,2[3/2],2s22p3d,3P°,1.2599e-06,3.4481e-12,8.4036e+04,3.8579e-03,7.9317e+04,2.9708e+01,5
2s22p4f,2[3/2],2s22p4s,1P°,2.6739e-06,5.6040e-12,8.4036e+04,6.4298e-03,7.8340e+04,0.0000e+00,2
2s22p4f,2[3/2],2s22p4s,3P°,5.6269e-06,8.2285e-11,8.4036e+04,3.8579e-03,7.8127e+04,3.9606e+02,5
2s22p4f,2[3/2],2s2p3,3D°,4.5311e-05,2.3545e-09,8.4036e+04,4.2865e-03,6.4089e+04,4.3285e+00,3
2s22p4f,2[3/2],2s2p3,3P°,4.2316e-06,3.9632e-11,8.4036e+04,3.8579e-03,7.5255e+04,8.8056e-01,5
2s22p4f,2[3/2],2s22p3d,1D°,9.0909e-07,,8.4036e+04,,7.7680e+04,,1
2s22p4f,2[3/2],2s22p3d,1F°,2.3810e-05,,8.4036e+04,,7.8530e+04,,1
2s22p4f,2[9/2],2s22p3d,1F°,1.0204e-07,,8.4016e+04,,7.8530e+04,,1
2s22p4f,2[9/2],2s22p3d,3D°,2.4390e-06,,8.4016e+04,,7.8318e+04,,1
2s22p4f,2[9/2],2s22p3d,3F°,9.2219e-07,1.8721e-12,8.4016e+04,5.2497e-02,7.8238e+04,3.9506e+02,3
2s22p2,1D,2s22p2,3P,5.6558e+06,9.5655e+13,1.0193e+04,0.0000e+00,1.9943e+01,4.8051e+02,3
2s22p2,1S,2s22p2,1D,1.6667e+00,,2.1648e+04,,1.0193e+04,,1
2s22p2,1S,2s22p2,3P,2.2945e+04,1.0134e+09,2.1648e+04,0.0000e+00,2.9915e+01,3.6441e+02,2
2s22p2,3P,2s22p2,3P,1.9380e+13,1.1267e+27,3.4415e+01,2.4294e+02,5.4722e+00,8.9836e+01,3
2s22p3d,1D°,2s22p2,1D,2.8571e-08,,7.7680e+04,,1.0193e+04,,1
2s22p3d,1D°,2s22p2,3P,1.0931e-05,3.5618e-11,7.7680e+04,0.0000e+00,2.9915e+01,3.6441e+02,2
2s22p3d,1D°,2s22p3p,1D,5.3191e-07,,7.7680e+04,,7.2611e+04,,1
2s22p3d,1D°,2s22p3p,1P,4.9261e-08,,7.7680e+04,,6.8856e+04,,1
2s22p3d,1D°,2s22p3p,3D,2.1150e-04,5.0479e-08,7.7680e+04,0.0000e+00,6.9700e+04,2.2458e+02,2
2s22p3d,1F°,2s22p2,1D,5.5866e-09,,7.8530e+04,,1.0193e+04,,1
2s22p3d,1F°,2s22p2,3P,8.3333e-07,,7.8530e+04,,4.3413e+01,,1
2s22p3d,1F°,2s22p3p,1D,8.0645e-08,,7.8530e+04,,7.2611e+04,,1
2s22p3d,1F°,2s22p3p,3D,6.6667e-06,,7.8530e+04,,6.9711e+04,,1
2s22p3d,1F°,2s22p3p,3P,2.3256e-05,,7.8530e+04,,7.1385e+04,,1
2s22p3d,1P°,2s22p2,1D,1.8182e-08,,7.8731e+04,,1.0193e+04,,1
2s22p3d,1P°,2s22p2,1S,1.1905e-08,,7.8731e+04,,2.1648e+04,,1
2s22p3d,1P°,2s22p2,3P,8.1693e-05,1.8348e-08,7.8731e+04,0.0000e+00,1.9943e+01,4.8051e+02,3
2s22p3d,1P°,2s22p3p,1D,1.6393e-06,,7.8731e+04,,7.2611e+04,,1
2s22p3d,1P°,2s22p3p,1P,5.0000e-08,,7.8731e+04,,6.8856e+04,,1
2s22p3d,1P°,2s22p3p,1S,4.9751e-07,,7.8731e+04,,7.3976e+04,,1
2s22p3d,1P°,2s22p3p,3D,1.4085e-05,,7.8731e+04,,6.9689e+04,,1
2s22p3d,1P°,2s22p3p,3P,1.4645e-04,1.3215e-08,7.8731e+04,0.0000e+00,7.1368e+04,2.7549e+02,3
2s22p3d,1P°,2s22p3p,3S,1.1364e-04,,7.8731e+04,,7.0744e+04,,1
2s22p3d,3D°,2s22p2,1D,3.7843e-05,4.0268e-09,7.8306e+04,1.5421e+02,1.0193e+04,0.0000e+00,3
2s22p3d,3D°,2s22p2,1S,1.2500e-06,,7.8294e+04,,2.1648e+04,,1
2s22p3d,3D°,2s22p2,3P,3.5740e-08,4.3101e-15,7.8302e+04,1.0874e+02,2.7179e+01,3.5220e+02,6
2s22p3d,3D°,2s22p3p,1D,2.2601e-05,8.7170e-10,7.8306e+04,3.0637e+02,7.2611e+04,0.0000e+00,2
2s22p3d,3D°,2s22p3p,1P,1.7149e-04,2.1250e-09,7.8301e+04,9.9880e+01,6.8856e+04,0.0000e+00,2
2s22p3d,3D°,2s22p3p,1S,3.5714e-06,,7.8294e+04,,7.3976e+04,,1
2s22p3d,3D°,2s22p3p,3D,5.9737e-06,9.1853e-11,7.8307e+04,1.0300e+02,6.9714e+04,5.0668e+02,7
2s22p3d,3D°,2s22p3p,3P,7.4402e-07,1.9285e-12,7.8302e+04,1.0874e+02,7.1373e+04,2.0210e+02,6
2s22p3d,3D°,2s22p3p,3S,1.0309e-04,,7.8294e+04,,7.0744e+04,,1
2s22p3d,3F°,2s22p2,1D,9.6139e-06,1.5859e-10,7.8207e+04,1.3528e+02,1.0193e+04,0.0000e+00,2
2s22p3d,3F°,2s22p2,3P,2.6515e-07,3.3230e-14,7.8205e+04,9.0186e+01,3.4415e+01,2.4294e+02,3
2s22p3d,3F°,2s22p3p,1D,1.2385e-04,2.3633e-08,7.8207e+04,1.3528e+02,7.2611e+04,0.0000e+00,2
2s22p3d,3F°,2s22p3p,3D,5.7682e-05,1.9789e-08,7.8213e+04,3.9195e+02,6.9724e+04,5.5025e+02,6
2s22p3d,3F°,2s22p3p,3P,9.8575e-06,1.2602e-10,7.8205e+04,9.0186e+01,7.1379e+04,1.3973e+02,3
2s22p3d,3F°,2s22p3p,3S,1.7857e-04,,7.8199e+04,,7.0744e+04,,1
2s22p3d,3P°,2s22p2,3P,1.5429e-08,6.2090e-17,7.9317e+04,2.4649e+01,2.2680e+01,2.9836e+02,6
2s22p3d,3P°,2s22p3p,3P,2.2172e-07,1.4805e-14,7.9317e+04,2.4649e+01,7.1370e+04,1.7121e+02,6
2s22p3d,3P°,2s22p3p,3S,1.1507e-07,2.2057e-17,7.9318e+04,3.9003e+01,7.0744e+04,0.0000e+00,3
2s22p3d,3P°,2s22p2,1S,6.6667e-05,,7.9319e+04,,2.1648e+04,,1
2s22p3d,3P°,2s22p3p,1S,2.7778e-04,,7.9319e+04,,7.3976e+04,,1
2s22p3d,3P°,2s22p3p,3D,1.0629e-04,2.1854e-09,7.9315e+04,2.1020e+01,6.9714e+04,5.0844e+02,4
2s22p3p,1D,2s22p3s,1P°,3.4364e-08,,7.2611e+04,,6.1982e+04,,1
2s22p3p,1D,2s22p3s,3P°,4.5833e-04,8.6806e-08,7.2611e+04,0.0000e+00,6.0373e+04,8.2057e+02,2
2s22p3p,1P,2s22p3s,1P°,1.1628e-07,,6.8856e+04,,6.1982e+04,,1
2s22p3p,1P,2s22p3s,3P°,1.2822e+00,4.9303e+00,6.8856e+04,0.0000e+00,6.0360e+04,9.2948e+02,3
2s22p3p,1S,2s22p3s,1P°,2.8490e-08,,7.3976e+04,,6.1982e+04,,1
2s22p3p,1S,2s22p3s,3P°,2.0000e-04,,7.3976e+04,,6.0353e+04,,1
2s22p3p,3D,2s22p3s,1P°,6.6667e-05,,6.9689e+04,,6.1982e+04,,1
2s22p3p,3D,2s22p3s,3P°,4.4431e-07,6.4851e-13,6.9706e+04,4.6171e+02,6.0370e+04,7.0950e+02,6
2s22p3p,3D,2s2p3,3D°,1.1107e-04,5.9401e-09,6.9714e+04,5.0668e+02,6.4090e+04,3.3015e+00,7
2s22p3p,3P,2s22p3s,1P°,8.5449e-03,2.0308e-04,7.1368e+04,2.7549e+02,6.1982e+04,7.9409e-23,3
2s22p3p,3P,2s22p3s,3P°,8.9060e-08,2.1229e-15,7.1370e+04,1.7121e+02,6.0363e+04,6.0291e+02,6
2s22p3p,3P,2s2p3,3D°,4.8706e-05,1.0386e-08,7.1373e+04,2.0210e+02,6.4090e+04,2.1772e+00,6
2s22p3p,3S,2s22p3s,1P°,1.5625e-04,,7.0744e+04,,6.1982e+04,,1
2s22p3p,3S,2s22p3s,3P°,1.7295e-07,1.7120e-14,7.0744e+04,0.0000e+00,6.0360e+04,9.2948e+02,3
2s22p3s,1P°,2s22p2,1D,2.9499e-09,,6.1982e+04,,1.0193e+04,,1
2s22p3s,1P°,2s22p2,1S,3.5714e-08,,6.1982e+04,,2.1648e+04,,1
2s22p3s,1P°,2s22p2,3P,3.2275e-05,1.6587e-11,6.1982e+04,7.9409e-23,1.9943e+01,4.8051e+02,3
