Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d2,3P,3p64s4p,3P°,2.4584e-08,1.7627e-16,4.8544e+04,2.5610e+02,1.5237e+04,4.1794e+03,6
3p63d4p,1D°,3p63d4s,3D,4.1270e-07,1.8191e-13,3.5835e+04,0.0000e+00,2.0342e+04,9.6605e+01,2
3p63d4p,3D°,3p63d4s,3D,7.7834e-08,3.3600e-15,3.8223e+04,7.5479e+02,2.0352e+04,2.1609e+02,7
3p63d4p,3D°,3p64s2,1S,6.2500e-05,,3.8192e+04,,0.0000e+00,,1
3p63d4p,3F°,3p63d4s,3D,7.5375e-07,2.7995e-12,3.5788e+04,4.7354e+03,2.0358e+04,2.3443e+02,6
3p63d4p,3P°,3p63d4s,3D,3.1255e-07,4.2381e-13,3.9337e+04,9.2649e+00,2.0346e+04,1.9717e+02,6
3p63d4p,3P°,3p64s2,1S,5.8824e-05,,3.9335e+04,,0.0000e+00,,1
3p64p2,1D,3p64s4p,1P°,1.5152e-08,,4.0720e+04,,2.3652e+04,,1
3p64p2,1S,3p64s4p,1P°,9.0909e-09,,4.1786e+04,,2.3652e+04,,1
3p64p2,3P,3p64s4p,3P°,1.4510e-08,5.3582e-17,3.8486e+04,2.9258e+03,1.5237e+04,4.1794e+03,6
3p64s4d,3D,3p64s4p,3P°,8.8984e-08,2.4640e-14,3.7751e+04,1.3331e+01,1.5254e+04,4.9212e+03,6
3p64s4f,1F°,3p63d4s,1D,5.3191e-08,,4.2344e+04,,2.1850e+04,,1
3p64s4f,3F°,3p63d4s,3D,1.8397e-06,1.6813e-11,4.2170e+04,1.0420e-01,2.0358e+04,2.3443e+02,6
3p64s4p,1P°,3p64s2,1S,4.5872e-09,,2.3652e+04,,0.0000e+00,,1
3p64s4p,3P°,3p64s2,1S,3.8462e-04,,1.5210e+04,,0.0000e+00,,1
3p64s5d,1D,3p64s4p,1P°,2.5000e-08,,4.2919e+04,,2.3652e+04,,1
3p64s5d,3D,3p64s4p,3P°,2.2223e-07,1.6629e-13,4.2744e+04,2.9860e+00,1.5254e+04,4.9212e+03,6
3p64s5f,1F°,3p63d4s,1D,5.2632e-08,,4.4805e+04,,2.1850e+04,,1
3p64s5f,3F°,3p63d4s,3D,3.1059e-06,4.8016e-11,4.4763e+04,3.9582e-02,2.0358e+04,2.3443e+02,6
3p64s5p,1P°,3p63d4s,1D,8.3333e-08,,3.6732e+04,,2.1850e+04,,1
3p64s5p,1P°,3p64s2,1S,3.7037e-06,,3.6732e+04,,0.0000e+00,,1
3p64s5p,3P°,3p63d4s,3D,8.3106e-07,2.9783e-12,3.6564e+04,1.6156e+02,2.0346e+04,1.9717e+02,6
3p64s5s,3S,3p64s4p,3P°,5.3325e-08,1.9868e-15,3.1539e+04,0.0000e+00,1.5228e+04,6.4848e+03,3
3p64s6d,1D,3p64s4p,1P°,1.2500e-07,,4.4990e+04,,2.3652e+04,,1
3p64s6d,3D,3p64s4p,3P°,3.5102e-07,4.3496e-13,4.5050e+04,1.7068e+00,1.5254e+04,4.9212e+03,6
3p64s6f,1F°,3p63d4s,1D,1.1111e-08,,4.6182e+04,,2.1850e+04,,1
3p64s6f,3F°,3p63d4s,3D,5.1943e-06,1.3136e-10,4.6165e+04,1.6975e-02,2.0358e+04,2.3443e+02,6
3p64s6p,1P°,3p63d4s,1D,3.0303e-08,,4.1679e+04,,2.1850e+04,,1
3p64s6p,1P°,3p64s2,1S,5.9880e-08,,4.1679e+04,,0.0000e+00,,1
3p64s6s,3S,3p64s4p,3P°,1.5286e-07,1.6609e-14,4.0474e+04,0.0000e+00,1.5228e+04,6.4848e+03,3
3p64snp,w 1P°,3p63d4s,1D,2.4390e-08,,4.3933e+04,,2.1850e+04,,1
3p64snp,w 1P°,3p64s2,1S,3.3223e-08,,4.3933e+04,,0.0000e+00,,1
