Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p44p,2D°,3s23p44s,2D,1.6164e-07,2.7017e-14,9.6485e+04,3.6498e+00,8.4121e+04,8.6296e-01,4
3s23p44p,2D°,3s23p44s,2P,9.2543e-07,1.2632e-12,8.9519e+04,4.0465e+07,7.4482e+04,1.2281e+05,5
3s23p44p,2P°,3s23p44s,2P,1.6413e-06,3.0236e-12,9.0717e+04,2.4964e+07,7.4610e+04,1.2281e+05,5
3s23p44p,2P°,3s23p44s,4P,1.6445e-06,6.8101e-12,8.7660e+04,1.9677e+07,7.2441e+04,1.2883e+05,4
3s23p44s,2D,3s23p5,2P°,1.5125e-08,3.5561e-16,8.4121e+04,8.6296e-01,2.9412e+02,2.5951e+05,3
3s23p44p,2D°,3s23p44s,4P,5.1587e-07,3.1494e-15,8.4818e+04,5.7929e+04,7.2223e+04,1.4056e+05,2
3s23p44p,2S°,3s23p44s,2P,5.2632e-07,,8.5918e+04,,7.4226e+04,,1
3s23p44p,4D°,3s23p44s,4P,1.5343e-07,3.9280e-14,8.4374e+04,8.3200e+04,7.2374e+04,1.3830e+05,8
3s23p44p,4P°,3s23p44s,4P,1.4717e-07,1.0984e-14,8.3137e+04,3.3192e+04,7.2434e+04,1.2839e+05,7
3s23p44p,4S°,3s23p44s,2P,2.5641e-07,,8.5735e+04,,7.4226e+04,,1
3s23p44p,4S°,3s23p44s,4P,1.0291e-07,2.4064e-15,8.5735e+04,0.0000e+00,7.2425e+04,1.9171e+05,3
3s23p44s,2P,3s23p5,2P°,6.1408e-09,2.5084e-17,7.4546e+04,1.3646e+05,4.4118e+02,2.5951e+05,4
3s23p44s,4P,3s23p5,2P°,1.8284e-06,3.7195e-12,7.2518e+04,1.2648e+05,3.5294e+02,2.3356e+05,5
3s23p45p,2D°,3s23p44s,2P,3.8839e-06,2.7573e-12,9.5413e+04,2.5777e+05,7.4439e+04,1.3646e+05,3
3s23p45p,2D°,3s23p44s,4P,3.2150e-06,5.4995e-12,9.5267e+04,2.5777e+05,7.2308e+04,1.8217e+05,4
3s23p45p,2P°,3s23p44s,2P,4.7313e-07,9.4937e-14,9.6454e+04,2.6277e+04,7.4546e+04,1.3646e+05,4
3s23p45p,2P°,3s23p44s,4P,3.8158e-06,2.8047e-12,9.6454e+04,3.9415e+04,7.2223e+04,1.4056e+05,2
3s23p45p,2S°,3s23p44s,2P,9.0909e-07,,9.5535e+04,,7.4226e+04,,1
3s23p45p,2S°,3s23p44s,4P,2.7851e-06,2.2515e-12,9.5535e+04,0.0000e+00,7.2658e+04,5.7281e+04,2
3s23p45p,4D°,3s23p44s,2P,2.9982e-06,2.4029e-12,9.5437e+04,2.1148e+04,7.4226e+04,0.0000e+00,3
3s23p45p,4D°,3s23p44s,4P,2.9493e-06,6.0774e-12,9.5296e+04,7.1933e+04,7.2358e+04,1.5887e+05,7
3s23p45p,4P°,3s23p44s,2P,2.5641e-06,,9.4974e+04,,7.4226e+04,,1
3s23p45p,4P°,3s23p44s,4P,5.9657e-06,6.2156e-11,9.4653e+04,4.0346e+04,7.2344e+04,1.4314e+05,5
3s23p45p,4S°,3s23p44s,2P,5.1316e-06,3.4626e-14,9.5612e+04,0.0000e+00,7.4546e+04,2.0469e+05,2
3s23p45p,4S°,3s23p44s,4P,1.8350e-06,8.7321e-13,9.5612e+04,3.1764e-22,7.2425e+04,1.9171e+05,3
3s23p44d,2[1],3s23p44p,4P°,2.9030e-07,3.1937e-14,9.5996e+04,0.0000e+00,8.3248e+04,2.7384e+04,2
3s23p44d,2[2],3s23p44p,4P°,5.1232e-07,5.6334e-13,9.5853e+04,3.6839e+03,8.3093e+04,3.4361e+04,5
3s23p44d,2[3],3s23p44p,4P°,1.0204e-07,,9.5701e+04,,8.2919e+04,,1
3s23p44d,2[4],3s23p44p,4D°,2.5641e-07,,9.6731e+04,,8.4132e+04,,1
3s23p5,2P°,3s23p5,2P°,8.1301e+01,,8.8235e+02,,0.0000e+00,,1
