Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d7,w 4F°,3p63d74s2,a 4F,3.2504e-08,8.8127e-16,4.3715e+04,5.2953e+05,8.7511e+02,8.2104e+05,3
3p63d7,w 4F°,3p63d84s,b 4F,1.0870e-08,,4.3295e+04,,3.4828e+03,,1
3p63d7,w 4G°,3p63d74s2,a 4F,9.0909e-08,,4.4394e+04,,1.4068e+03,,1
3p63d7,°,3p63d74s2,a 4F,4.6990e-08,9.9049e-16,4.4025e+04,4.1758e+04,1.3598e+03,1.6741e+05,4
3p63d7,°,3p63d84s,b 4F,9.3150e-08,4.5497e-15,4.4025e+04,6.2637e+04,4.0865e+03,7.2886e+05,2
3p63d7,x 4D°,3p63d74s2,a 4F,1.9043e-08,4.5885e-16,4.0393e+04,3.3191e+05,1.1520e+03,4.2449e+05,7
3p63d7,x 4D°,3p63d84s,b 4F,2.7253e-07,3.1954e-15,3.9649e+04,0.0000e+00,3.8127e+03,2.1769e+05,2
3p63d7,x 4F°,3p63d74s2,a 4F,3.7748e-08,2.5895e-15,4.2135e+04,2.3912e+05,1.0080e+03,5.2975e+05,8
3p63d7,x 4F°,3p63d84s,b 4F,2.0202e-07,8.1624e-16,4.1572e+04,2.3988e+05,4.4164e+03,1.4989e+05,2
3p63d7,x 4G°,3p63d74s2,a 4F,2.2084e-08,1.0319e-15,4.2602e+04,5.0531e+05,9.2460e+02,7.3941e+05,5
3p63d7,z 2D°,3p63d74s2,a 4F,5.9799e-05,1.2338e-08,3.3819e+04,2.3741e+05,1.4497e+03,1.6598e+05,5
3p63d7,z 2D°,3p63d74s2,b 2D,5.0000e-06,,3.4352e+04,,2.3153e+04,,1
3p63d7,z 2D°,3p63d74s2,b 2P,2.1364e-06,3.7190e-14,3.3908e+04,3.9569e+05,2.0858e+04,2.5575e+05,2
3p63d7,z 2D°,3p63d84s,a 2D,2.8892e-05,2.2700e-09,3.3908e+04,2.6379e+05,1.6624e+04,3.1531e+04,4
3p63d7,z 2D°,3p63d84s,a 2F,7.9860e-06,1.8779e-10,3.3759e+04,2.6379e+05,8.1213e+03,3.4571e+05,3
3p63d7,z 2D°,3p63d84s,b 4F,3.9304e-06,3.3875e-11,3.3908e+04,2.6379e+05,4.6497e+03,1.4732e+05,4
3p63d7,z 2D°,3p63d84s,a 2P,9.9365e-06,7.0484e-11,3.3908e+04,3.9569e+05,1.8582e+04,7.4282e+04,2
3p63d7,z 2D°,3p63d84s,b 4P,6.5455e-06,1.2959e-11,3.3908e+04,3.9569e+05,1.5479e+04,1.7405e+05,2
3p63d7,z 2D°,3p63d74s2,a 4P,1.0870e-04,,3.3463e+04,,1.4036e+04,,1
3p63d7,z 2F°,3p63d74s2,a 2G,1.3333e-05,2.2222e-11,3.2326e+04,4.1456e+05,1.6851e+04,2.9321e+05,2
3p63d7,z 2F°,3p63d74s2,a 4F,9.5874e-06,7.5212e-11,3.2235e+04,2.4874e+05,1.0878e+03,4.9534e+05,5
3p63d7,z 2F°,3p63d74s2,a 4P,4.7538e-05,3.7621e-09,3.2326e+04,4.1456e+05,1.3916e+04,2.8983e+04,2
3p63d7,z 2F°,3p63d84s,a 2D,2.7778e-05,,3.2782e+04,,1.6471e+04,,1
3p63d7,z 2F°,3p63d84s,a 2F,2.5203e-05,2.4865e-09,3.2326e+04,2.7637e+05,7.9516e+03,3.4571e+05,4
3p63d7,z 2F°,3p63d84s,b 4F,7.6568e-06,1.1163e-10,3.2235e+04,2.4874e+05,4.3068e+03,3.6780e+05,5
3p63d7,z 2F°,3p63d84s,b 4P,4.5455e-05,,3.2782e+04,,1.5774e+04,,1
3p63d7,z 2G°,3p63d74s2,a 4F,1.8143e-05,3.6093e-10,3.2475e+04,2.6697e+05,7.5971e+02,3.3409e+05,4
3p63d7,z 2G°,3p63d84s,a 2F,2.4671e-07,1.0735e-13,3.2389e+04,3.5596e+05,7.7819e+03,3.4571e+05,3
3p63d7,z 2G°,3p63d84s,b 4F,3.3430e-05,5.3234e-09,3.2320e+04,3.2036e+05,3.9882e+03,2.6283e+05,5
3p63d7,z 2G°,3p63d74s2,a 2G,4.7619e-06,,3.1700e+04,,1.6468e+04,,1
3p63d7,z 4D°,3p63d74s2,a 4F,1.1920e-06,4.3825e-12,2.9929e+04,3.0007e+05,1.2534e+03,3.6893e+05,9
3p63d7,z 4D°,3p63d74s2,a 4P,1.4119e-05,2.2550e-10,3.0388e+04,1.0778e+05,1.4071e+04,6.1822e+04,7
3p63d7,z 4D°,3p63d84s,b 4F,1.0338e-06,2.1027e-12,3.0017e+04,3.2398e+05,4.4715e+03,3.3664e+05,7
3p63d7,z 4D°,3p63d84s,b 4P,2.8907e-06,3.5625e-12,3.0378e+04,1.2861e+05,1.5816e+04,1.3859e+05,6
