Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d34s24p,v 3G°,3d54s,b 3F,7.6923e-08,,5.3805e+04,,3.3061e+04,,1
3d34s24p,v 3G°,3d54s,a 3I,2.0000e-07,,5.3928e+04,,3.1055e+04,,1
3d4,x 3H°,3d54s,a 3I,1.7500e-07,1.1250e-14,5.2924e+04,3.0565e+03,3.1052e+04,1.8375e+01,2
3d4,3K°,3d54s,b 1I,1.6129e-08,,5.4800e+04,,3.3763e+04,,1
3d4,u 3H°,3d44s2,a 1I,3.2258e-08,,5.5875e+04,,3.2097e+04,,1
3d4,u 3H°,3d54s,b 1I,9.0909e-08,,5.5908e+04,,3.3763e+04,,1
3d4,y 3I°,3d54s,a 3I,1.2500e-07,3.4722e-15,5.2626e+04,2.3644e+03,3.1052e+04,1.8375e+01,2
3d4,u 3P°,3d44s2,c 3D,7.4866e-08,5.1474e-16,5.7110e+04,1.0046e+03,3.3935e+04,3.6637e-01,2
3d4,t 3F°,3d54s,d 3F,7.6599e-08,3.4648e-16,5.7277e+04,3.2958e+03,3.6563e+04,1.7667e+02,3
3d4,t 3F°,3d44s2,c 3D,1.1364e-07,,5.7276e+04,,3.3935e+04,,1
3d4,3G°,3d44s2,c 3D,5.0000e-08,,5.6986e+04,,3.3936e+04,,1
3d4,1D°,3d44s2,a 5D,3.4483e-08,,4.9598e+04,,8.0952e+03,,1
3d4,3D°,3d44s2,a 3F,3.7574e-07,4.9271e-15,4.8233e+04,4.9161e+02,2.5041e+04,1.4339e+04,4
3d4,3D°,3d44s2,a 5D,1.0204e-07,,4.8252e+04,,7.9274e+03,,1
3d4,3F°,3d44s2,a 3F,1.5625e-07,,4.8636e+04,,2.5177e+04,,1
3d4,w 5D°,3d44s2,a 3F,5.4897e-07,4.3403e-13,4.6339e+04,1.3129e+03,2.5075e+04,1.4760e+04,3
3d4,w 5D°,3d44s2,a 3P,2.6911e-07,3.1482e-15,4.6324e+04,8.7291e+02,2.3570e+04,1.4862e+05,4
3d4,w 5D°,3d54s,b 5D,9.9767e-07,2.9372e-13,4.6380e+04,1.4363e+03,2.4291e+04,1.3059e+02,3
3d4,w 5D°,3d54s,a 3G,2.3911e-07,8.8973e-15,4.6359e+04,1.7770e+02,2.4866e+04,2.0268e+03,2
3d4,w 5D°,3d54s,a 5P,8.3333e-07,,4.6349e+04,,2.1857e+04,,1
3d4,w 5D°,3d54s,b 3P,1.1236e-07,,4.6349e+04,,2.7176e+04,,1
3d4,w 5D°,3d44s2,a 5D,9.2225e-08,4.6830e-16,4.6395e+04,1.4663e+03,8.3076e+03,0.0000e+00,2
3d4,x 5F°,3d44s2,a 5D,9.1194e-08,1.2418e-15,4.5245e+04,1.4579e+03,7.9922e+03,4.8863e+04,8
3d4,x 5F°,3d54s,a 5G,9.8485e-07,4.5914e-14,4.5229e+04,1.4427e+03,2.0521e+04,1.9262e+01,2
3d4,x 5F°,3d54s,b 5D,1.1440e-06,3.8381e-14,4.5283e+04,6.5784e+02,2.4295e+04,1.3118e+02,3
3d4,y 5G°,3d54s,a 5G,1.6223e-07,3.4867e-16,4.4523e+04,9.9611e+04,2.0518e+04,2.2670e+00,2
3d4,3G°,3d54s,a 3I,1.7544e-07,,5.2720e+04,,3.1055e+04,,1
3d4,w 3F°,3d44s2,b 3G,1.6477e-07,5.8133e-14,5.0963e+04,4.9966e+03,2.7679e+04,1.0988e+04,4
3d4,w 3F°,3d54s,a 3D,2.8571e-07,,5.0950e+04,,2.8637e+04,,1
3d4,w 5F°,3d54s,b 5D,1.8829e-07,3.0531e-15,4.6689e+04,3.3894e+02,2.4293e+04,1.2687e+02,5
3d4,w 5F°,3d44s2,a 3H,7.9656e-07,3.0168e-13,4.6705e+04,2.6003e+02,2.4063e+04,1.7775e+04,3
3d4,w 5F°,3d44s2,a 5D,1.2195e-07,1.2902e-15,4.6705e+04,2.6003e+02,8.1101e+03,3.6292e+04,3
3d4,w 5G°,3d54s,a 3D,5.5703e-07,9.0059e-14,4.9546e+04,1.4168e+03,2.8660e+04,1.0234e+03,2
3d4,x 5H°,3d44s2,a 3H,1.4085e-06,,4.7794e+04,,2.4056e+04,,1
3d4,w 3I°,3d54s,b 3H,1.3333e-08,,5.9884e+04,,3.5884e+04,,1
3d4,x 5G°,3d54s,a 5G,8.4163e-08,5.3745e-15,4.7131e+04,5.1123e+03,2.0521e+04,6.9187e+00,7
3d4,x 5G°,3d54s,b 5D,4.8568e-07,1.3553e-15,4.7181e+04,2.7122e+03,2.4295e+04,1.3118e+02,3
3d4,y 3H°,3d44s2,a 3F,5.8824e-07,0.0000e+00,4.8299e+04,2.4188e+02,2.5142e+04,2.5247e+03,2
3d4,y 3H°,3d44s2,b 3G,8.3333e-07,,4.8288e+04,,2.7597e+04,,1
3d4,y 3H°,3d54s,a 3G,3.0595e-07,1.3027e-14,4.8348e+04,7.2206e+03,2.4923e+04,1.0975e+04,3
3d4,z 3G°,3d44s2,a 3F,4.2711e-07,2.8436e-15,4.6913e+04,4.8794e+03,2.5075e+04,1.4760e+04,3
3d4,z 3G°,3d44s2,a 3H,1.0069e-07,2.9176e-15,4.6876e+04,1.6989e+03,2.3995e+04,7.4645e+03,2
3d4,z 3G°,3d44s2,b 3G,1.4925e-07,,4.6847e+04,,2.7597e+04,,1
3d4,z 3G°,3d54s,a 3G,2.6316e-07,,4.6847e+04,,2.4834e+04,,1
3d4,z 3G°,3d44s2,a 5D,1.6393e-07,,4.6986e+04,,8.3076e+03,,1
3d4,z 3I°,3d44s2,a 3H,1.6393e-07,,4.7693e+04,,2.4200e+04,,1
3d4,z 5H°,3d54s,a 5G,5.3125e-07,3.0655e-14,4.2229e+04,2.2510e+04,2.0520e+04,7.4038e+00,4
3d4,x 3S°,3d55s,e 5S,1.2048e-07,,6.0084e+04,,3.7883e+04,,1
3d4,v 5P°,3d54s,a 5P,4.2755e-07,3.1865e-13,4.4845e+04,2.7636e+04,2.1850e+04,3.8797e+01,6
3d4,v 5P°,3d54s,a 5S,8.3333e-08,,4.4667e+04,,7.5931e+03,,1
3d4,v 5P°,3d44s2,a 5D,1.1212e-07,8.9991e-16,4.5113e+04,0.0000e+00,8.2014e+03,2.2555e+04,2
3d4,x 3D°,3d54s,b 3P,1.7616e-07,4.9522e-15,4.8965e+04,1.1733e+04,2.7187e+04,9.9049e+02,3
3d4,x 3P°,3d54s,b 3P,3.2258e-07,0.0000e+00,4.8459e+04,0.0000e+00,2.7200e+04,1.0967e+03,2
3d4,x 5D°,3d44s2,a 5D,3.5246e-08,4.8816e-16,4.2515e+04,5.6025e+04,7.9888e+03,3.6384e+04,12
3d4,x 5D°,3d54s,a 5P,1.1429e-06,8.2653e-13,4.2778e+04,3.3829e+04,2.1844e+04,2.4677e+01,2
3d4,z 3S°,3d44s2,a 3P,5.2632e-07,,4.7088e+04,,2.4093e+04,,1
3d4,x 5P°,3d44s2,a 5D,1.7471e-08,8.6801e-17,4.0997e+04,2.2877e+03,8.0137e+03,3.7265e+04,5
3d4,x 5P°,3d54s,a 5P,8.7096e-07,7.7272e-13,4.0930e+04,0.0000e+00,2.1852e+04,4.1349e+01,2
3d4,x 5P°,3d54s,a 5S,2.7934e-08,1.1633e-16,4.0985e+04,3.2017e+03,7.5931e+03,1.2408e-24,3
3d4,x 5P°,3d54s,a 5G,2.0325e-07,,4.0983e+04,,2.0521e+04,,1
3d4,y 5D°,3d44s2,a 5D,1.2003e-08,5.8191e-17,4.1444e+04,3.5316e+04,7.9656e+03,3.5363e+04,8
3d4,y 5D°,3d54s,b 5D,1.6751e-06,8.8398e-14,4.1533e+04,4.6413e+04,2.4298e+04,1.0046e+02,3
3d4,y 5D°,3d54s,a 5P,2.8571e-07,,4.1782e+04,,2.1841e+04,,1
3d4,y 5F°,3d44s2,a 5D,1.2803e-08,9.9217e-17,4.1056e+04,3.6260e+04,8.0421e+03,4.9689e+04,7
3d4,y 5F°,3d54s,a 5G,1.1143e-07,1.1241e-15,4.1150e+04,1.1860e+05,2.0518e+04,2.2670e+00,2
3d4,y 5F°,3d54s,a 5S,2.3256e-08,,4.0971e+04,,7.5931e+03,,1
3d4,y 5P°,3d44s2,a 5D,5.7908e-07,5.4294e-13,2.9610e+04,3.0942e+04,7.9614e+03,3.1105e+04,9
3d4,y 5P°,3d54s,a 5S,3.6336e-07,3.2652e-15,2.9610e+04,4.1256e+04,7.5931e+03,1.2408e-24,3
3d4,y 5P°,3d54s,a 7S,9.2172e-06,1.5623e-12,2.9705e+04,2.8829e+04,0.0000e+00,0.0000e+00,2
3d4,y 7P°,3d54s,a 5S,5.6308e-06,6.7358e-13,2.7775e+04,4.1757e+03,7.5931e+03,0.0000e+00,2
3d4,y 7P°,3d54s,a 7S,6.5321e-09,9.8823e-20,2.7828e+04,1.0700e+04,0.0000e+00,0.0000e+00,3
3d4,y 7P°,3d44s2,a 5D,2.5000e-05,,2.7820e+04,,8.3076e+03,,1
3d4,z 3P°,3d44s2,a 5D,2.8882e-07,4.2610e-14,3.3830e+04,9.0745e+03,7.8691e+03,6.8050e+03,2
3d4,z 5D°,3d44s2,a 5D,2.6333e-07,1.8610e-14,3.3574e+04,2.4729e+04,7.9888e+03,3.6384e+04,12
3d4,z 5F°,3d44s2,a 5D,1.4408e-06,8.5505e-12,3.0944e+04,2.3878e+04,8.0302e+03,4.0868e+04,12
3d4,z 7D°,3d54s,a 5S,1.2387e-05,7.4359e-11,2.7341e+04,3.3645e+03,7.5931e+03,0.0000e+00,2
3d4,z 7D°,3d54s,a 7S,4.3137e-05,1.1073e-09,2.7575e+04,1.1149e+04,0.0000e+00,0.0000e+00,2
3d4,z 7D°,3d44s2,a 5D,1.7544e-04,,2.7650e+04,,8.0952e+03,,1
3d44s5p,r 5D°,3d44s2,a 5D,7.1429e-09,,5.8293e+04,,8.3076e+03,,1
3d44s5p,s 5D°,3d54s,a 5F,2.5641e-08,,5.3641e+04,,3.1378e+04,,1
3d44s5s,e 3D,3d4,z 3P°,1.0417e-07,8.6806e-16,5.5090e+04,2.6502e+04,3.4044e+04,4.2978e+04,2
3d44s5s,e 5H,3d4,z 5H°,2.0408e-08,,6.4940e+04,,4.2387e+04,,1
3d44s5s,f 5D,3d4,z 5F°,1.9993e-07,8.9518e-15,4.8676e+04,1.2098e+04,3.1009e+04,1.4473e+04,4
3d44s5s,f 5D,3d4,z 5D°,1.3020e-07,3.0876e-15,4.8743e+04,1.3280e+04,3.3744e+04,1.0441e+04,2
3d44s5s,f 5D,3d4,y 5P°,7.6923e-08,,4.8824e+04,,2.9825e+04,,1
3d44s5s,f 7D,3d4,y 7P°,1.4959e-07,5.1407e-15,4.6620e+04,1.6869e+04,2.7797e+04,5.7788e+03,7
3d44s5s,f 7D,3d4,z 7D°,9.2984e-08,2.5808e-15,4.6642e+04,5.0543e+04,2.7429e+04,2.3232e+04,4
3d44s5s,f 7D,3d4,z 7F°,1.7985e-07,6.4821e-14,4.6697e+04,4.1053e+04,2.5280e+04,6.8634e+04,11
3d44s5s,f 7D,3d54p,z 7P°,1.8589e-07,1.3633e-14,4.6689e+04,3.5597e+04,2.3397e+04,7.5773e+03,6
3d54p,v 3F°,3d44s2,c 3D,6.1189e-08,4.9513e-16,5.5100e+04,2.3001e+04,3.3921e+04,3.9813e+02,2
