Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d104d,2D,3d104p,2P°,3.2222e-08,8.9259e-16,4.9937e+04,1.5668e+01,3.0701e+04,2.0563e+04,3
3d104p,2P°,3d104s,2S,7.2180e-09,4.8988e-21,3.0660e+04,3.0845e+04,0.0000e+00,0.0000e+00,2
3d104p,2P°,3d94s2,2D,1.7576e-06,4.3556e-12,3.0701e+04,2.0563e+04,1.2565e+04,1.3910e+06,3
3d105d,2D,3d104p,2P°,5.0125e-08,1.2563e-17,5.5389e+04,6.5884e+00,3.0660e+04,3.0845e+04,2
3d105p,2P°,3d104s,2S,1.0204e-07,0.0000e+00,4.9383e+04,5.0881e-02,0.0000e+00,0.0000e+00,2
3d105p,2P°,3d94s2,2D,6.8370e-08,2.5628e-15,4.9383e+04,0.0000e+00,1.2224e+04,2.0866e+06,2
3d106s,2S,3d104p,2P°,2.2619e-07,2.2959e-14,5.2849e+04,0.0000e+00,3.0660e+04,3.0845e+04,2
3d9,2D°,3d94s2,2D,1.2821e-07,,4.6598e+04,,1.1203e+04,,1
3d9,2F°,3d94s2,2D,2.6596e-07,,4.4963e+04,,1.1203e+04,,1
3d9,2P°,3d104s,2S,1.0545e-08,3.9427e-19,4.5850e+04,1.7041e+03,0.0000e+00,0.0000e+00,2
3d9,2P°,3d94s2,2D,6.4516e-07,,4.5879e+04,,1.3245e+04,,1
3d9,4D°,3d104s,2S,2.8163e-07,1.3407e-13,4.4730e+04,6.9014e+04,0.0000e+00,0.0000e+00,2
3d9,4D°,3d94s2,2D,6.4516e-07,,4.4544e+04,,1.3245e+04,,1
3d9,4F°,3d104s,2S,1.4286e-05,,4.2303e+04,,0.0000e+00,,1
3d9,4F°,3d94s2,2D,2.6316e-06,,4.1153e+04,,1.1203e+04,,1
3d9,4P°,3d104s,2S,4.2797e-07,9.6729e-15,4.0529e+04,3.4426e+05,0.0000e+00,0.0000e+00,2
3d9,°,3d104s,2S,1.8182e-08,,4.6173e+04,,0.0000e+00,,1
3d94s5s,4D,3d9,4F°,6.4583e-08,4.3548e-15,6.3162e+04,7.7312e+05,4.1416e+04,3.0059e+05,5
3d94s5s,4D,3d9,4P°,4.0134e-08,2.4857e-16,6.3438e+04,2.1404e+06,3.9981e+04,1.8530e+06,2
3d94s5s,4D,3d9,4D°,9.1743e-08,,6.2403e+04,,4.3514e+04,,1
