Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4f10,"(4,1)°",4f106s2,5I,8.4746e-09,,3.4471e+04,,1.0925e+04,,1
4f10,"(5,1)°",4f106s2,5I,7.1937e-09,8.5328e-18,3.3175e+04,4.4527e+04,9.2116e+03,0.0000e+00,2
4f10,"(5,2)°",4f106s2,5I,4.3860e-07,,2.7427e+04,,4.1342e+03,,1
4f10,"(6,1)°",4f106s2,5I,6.5011e-09,3.7697e-18,3.0745e+04,2.2607e+03,7.0506e+03,0.0000e+00,2
4f10,"(6,2)°",4f106s2,5I,6.0168e-07,1.3560e-13,2.4953e+04,4.2985e+03,2.0671e+03,8.5459e+06,2
4f10,"(7,1)°",4f106s2,5I,5.9017e-07,6.6389e-13,2.4976e+04,1.6334e+07,4.1342e+03,0.0000e+00,5
4f10,"(7,2)°",4f106s2,5I,2.6832e-06,8.6239e-12,2.1879e+04,1.2269e+03,1.3781e+03,5.6973e+06,3
4f10,"(8,1)°",4f106s2,5I,8.8470e-07,1.0848e-12,2.0287e+04,1.7701e+07,0.0000e+00,0.0000e+00,6
4f10,"(8,2)°",4f106s2,5I,2.6871e-06,8.3530e-13,1.7875e+04,4.3436e+04,0.0000e+00,0.0000e+00,2
4f96s,°,4f106s2,5I,1.2534e-07,6.1296e-14,2.6943e+04,8.5703e+06,3.0638e+03,9.2400e+06,5
4f95d6s2,5H°,4f106s2,5I,7.3602e-07,3.4817e-13,2.0304e+04,2.0973e+07,1.3781e+03,5.6973e+06,3
4f95d6s2,7G°,4f106s2,5I,1.9231e-06,,2.0485e+04,,0.0000e+00,,1
4f95d6s2,°,4f106s2,5I,1.1765e-06,,1.8857e+04,,0.0000e+00,,1
4f96s,9L°,4f106s2,5I,8.7719e-07,,2.7556e+04,,4.1342e+03,,1
4f95d6s2,5I°,4f106s2,5I,6.8493e-07,,2.0555e+04,,4.1342e+03,,1
4f95d6s2,5K°,4f106s2,5I,1.2560e-06,2.7991e-12,2.0736e+04,2.1941e+06,0.0000e+00,0.0000e+00,2
4f95d6s2,7K°,4f106s2,5I,5.6665e-06,2.3453e-11,1.7688e+04,0.0000e+00,2.0671e+03,8.5459e+06,2
