Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4f65d6s2,6P,4f76s2,a 8S°,1.5459e-07,1.8208e-14,3.1894e+04,1.2385e+06,0.0000e+00,0.0000e+00,2
4f65d6s2,8D,4f76s2,a 8S°,9.5575e-07,7.9388e-14,2.8840e+04,9.8585e+05,0.0000e+00,0.0000e+00,3
4f65d6s2,8D,4f76s,a 10D°,3.6481e-07,8.5936e-14,2.8828e+04,0.0000e+00,1.3065e+04,2.2440e+04,3
4f65d6s2,8F,4f76s2,a 8S°,6.4440e-07,2.3057e-13,3.0810e+04,5.3517e+05,0.0000e+00,0.0000e+00,3
4f65d6s2,8G,4f76s2,a 8S°,3.5714e-06,,2.9809e+04,,0.0000e+00,,1
4f65d6s2,8P,4f76s2,a 8S°,2.7967e-08,1.0478e-17,3.1076e+04,1.1544e+06,0.0000e+00,0.0000e+00,3
4f65d6s2,8P,4f76s,a 10D°,2.4265e-07,1.6295e-14,3.1370e+04,2.5698e+05,1.3104e+04,2.1135e+04,4
4f65d6s2,8P,4f76s,a 8D°,4.0000e-07,,3.2130e+04,,1.5421e+04,,1
4f76p,8P,4f76s2,a 8S°,4.4137e-08,1.3019e-18,4.2076e+04,3.7194e+03,0.0000e+00,0.0000e+00,3
4f76p,y 8D,4f76s,b 8D°,3.5714e-08,,3.6867e+04,,1.9447e+04,,1
4f76p,y 8D,4f76s,a 10D°,1.1905e-07,,3.6867e+04,,1.3779e+04,,1
4f76p,y 8D,4f76s2,a 8S°,1.2453e-07,9.7004e-15,3.6725e+04,2.3749e+04,0.0000e+00,0.0000e+00,3
4f76p,z 6D,4f76s2,a 8S°,1.2500e-06,,3.8167e+04,,0.0000e+00,,1
4f76p,x 8P,4f76s,a 8D°,4.9027e-08,2.0562e-16,3.4100e+04,1.4704e+05,1.5514e+04,1.4207e+05,5
4f76p,x 8P,4f76s2,a 8S°,4.3403e-07,2.9538e-14,3.4256e+04,4.4110e+05,0.0000e+00,0.0000e+00,2
4f76p,y 10P,4f76s,a 10D°,5.7292e-08,2.4145e-15,3.2679e+04,5.6557e+04,1.3270e+04,7.8733e+04,8
4f76p,y 10P,4f76s,a 8D°,3.3892e-07,7.0238e-14,3.2772e+04,6.1987e+04,1.5880e+04,7.9792e+04,2
4f76p,y 10P,4f76s2,a 8S°,9.6154e-07,,3.2596e+04,,0.0000e+00,,1
4f76p,z 10D,4f76s,a 10D°,6.5194e-08,4.3334e-15,3.1457e+04,1.7534e+05,1.3281e+04,9.2035e+04,12
4f76p,z 10D,4f76s,a 8D°,3.5669e-07,5.3118e-14,3.1596e+04,3.5607e+05,1.5727e+04,1.1005e+05,3
4f76p,z 10D,4f76s2,a 8S°,1.1784e-06,2.3952e-12,3.1260e+04,2.9890e+04,0.0000e+00,0.0000e+00,2
4f76p,z 10F,4f76s,a 10D°,1.4221e-07,3.7815e-14,2.9357e+04,4.5904e+05,1.3286e+04,9.9343e+04,15
4f76p,z 10F,4f76s,a 8D°,4.8964e-07,2.0339e-14,2.8981e+04,1.8901e+05,1.5325e+04,5.2862e+04,5
4f76p,z 10F,4f76s2,a 8S°,1.0989e-06,,2.8918e+04,,0.0000e+00,,1
4f76p,z 8D,4f76s,b 8D°,8.0219e-07,6.9183e-13,3.0977e+04,4.2293e+03,1.9570e+04,1.1294e+04,3
4f76p,z 8D,4f76s,a 10D°,2.4739e-07,2.7576e-14,3.0912e+04,7.8189e+03,1.3296e+04,7.8405e+04,6
4f76p,z 8D,4f76s,a 8D°,9.5415e-08,4.0972e-15,3.0891e+04,6.6156e+03,1.5603e+04,1.1007e+05,9
4f76p,z 8D,4f76s2,a 8S°,6.8535e-07,7.2223e-14,3.0847e+04,2.7137e+03,0.0000e+00,0.0000e+00,3
4f76p,z 8F,4f76s,b 8D°,7.1429e-07,,3.2418e+04,,1.9631e+04,,1
4f76p,z 8F,4f76s,a 10D°,1.1057e-07,2.6634e-15,3.2590e+04,5.8948e+04,1.3618e+04,5.1671e+04,2
4f76p,z 8F,4f76s,a 8D°,9.4029e-08,8.2269e-15,3.2191e+04,7.7568e+04,1.5679e+04,9.6249e+04,10
4f76p,z 8F,4f76s2,a 8S°,1.5385e-07,,3.2185e+04,,0.0000e+00,,1
4f7,y 8P,4f76s2,a 8S°,6.4001e-09,3.3890e-20,2.1604e+04,2.5073e+04,0.0000e+00,0.0000e+00,3
4f7,z 10P,4f76s2,a 8S°,3.0551e-06,3.5427e-12,1.4316e+04,1.2286e+05,0.0000e+00,0.0000e+00,2
4f7,z 6P,4f76s2,a 8S°,1.1330e-06,1.3092e-13,1.7524e+04,6.7260e+04,0.0000e+00,0.0000e+00,2
4f7,z 8P,4f76s2,a 8S°,8.6691e-06,8.4403e-11,1.6152e+04,1.5982e+05,0.0000e+00,0.0000e+00,3
4f76d,e 6D°,4f7,z 6P,2.6385e-08,,3.6622e+04,,1.7945e+04,,1
4f76d,e 10D°,4f7,z 10P,4.4539e-08,1.3905e-15,3.4493e+04,1.0070e+03,1.4990e+04,4.5279e+05,6
