Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p43p,2F°,2s22p43s,2D,1.9048e-08,1.0531e-20,1.3759e+05,4.0221e+01,1.2392e+05,3.9338e-01,2
2s22p43s,2D,2s22p5,2P°,3.4914e-09,1.7582e-19,1.2392e+05,3.9338e-01,2.0207e+02,8.1665e+04,2
2s22p43d,2D,2s22p43p,2D°,2.3699e-07,1.5079e-14,1.2817e+05,2.0988e+03,1.1779e+05,2.0833e+04,3
2s22p43d,2D,2s22p43p,2S°,1.8904e-07,,1.2822e+05,,1.1841e+05,,1
2s22p43d,2D,2s22p43p,4D°,1.7245e-06,2.2190e-12,1.2818e+05,3.1482e+03,1.1719e+05,8.1834e+04,2
2s22p43d,2D,2s22p43p,4P°,2.0131e-07,2.2304e-15,1.2819e+05,2.0988e+03,1.1596e+05,5.0405e+03,3
2s22p43d,2D,2s22p43p,4S°,2.5339e-07,9.8665e-15,1.2818e+05,3.1482e+03,1.1843e+05,0.0000e+00,2
2s22p43d,2D,2s22p43p,2P°,7.5188e-08,,1.2814e+05,,1.1894e+05,,1
2s22p43d,2F,2s22p43p,2D°,6.9354e-08,1.4365e-15,1.2846e+05,1.1402e+05,1.1775e+05,3.1250e+04,2
2s22p43d,2F,2s22p43p,4D°,1.0599e-07,7.2290e-15,1.2846e+05,1.1402e+05,1.1724e+05,1.0447e+04,2
2s22p43d,2F,2s22p43p,4P°,3.0140e-07,9.6302e-14,1.2870e+05,0.0000e+00,1.1598e+05,7.5608e+03,2
2s22p43d,2F,2s22p43p,4S°,1.0638e-07,,1.2870e+05,,1.1843e+05,,1
2s22p43d,2P,2s22p43p,2S°,1.5059e-07,6.4099e-17,1.2862e+05,1.8447e+04,1.1841e+05,0.0000e+00,2
2s22p43d,2P,2s22p43p,4D°,1.1328e-06,1.1571e-12,1.2862e+05,1.2298e+04,1.1735e+05,2.3180e+03,4
2s22p43d,2P,2s22p43p,4P°,2.7113e-07,6.7281e-14,1.2862e+05,1.8447e+04,1.1614e+05,0.0000e+00,2
2s22p43d,2P,2s22p43p,2P°,9.8039e-08,,1.2871e+05,,1.1908e+05,,1
2s22p43d,2P,2s22p43p,4S°,1.3889e-06,,1.2871e+05,,1.1843e+05,,1
2s22p43d,4D,2s22p43p,4P°,9.3954e-08,4.9633e-15,1.2812e+05,1.9463e+03,1.1602e+05,9.0168e+03,8
2s22p43d,4D,2s22p43p,4D°,1.7677e-07,1.6135e-14,1.2809e+05,5.8310e+02,1.1711e+05,2.4132e+04,4
2s22p43d,4D,2s22p43p,2D°,6.8027e-07,,1.2806e+05,,1.1762e+05,,1
2s22p43d,4F,2s22p43p,2S°,1.6529e-07,,1.2861e+05,,1.1841e+05,,1
2s22p43d,4F,2s22p43p,4D°,3.3319e-07,4.1454e-13,1.2850e+05,1.7597e+04,1.1719e+05,2.5384e+04,7
2s22p43d,4F,2s22p43p,2D°,1.0966e-07,6.6922e-15,1.2852e+05,5.6180e+01,1.1775e+05,3.1250e+04,2
2s22p43d,4F,2s22p43p,2P°,1.7699e-07,,1.2853e+05,,1.1894e+05,,1
2s22p43d,4F,2s22p43p,4P°,3.6232e-07,,1.2851e+05,,1.1592e+05,,1
2s22p43d,4P,2s22p43p,4P°,2.2989e-07,1.4974e-14,1.2849e+05,1.4988e+04,1.1603e+05,1.0213e+04,6
2s22p43d,4P,2s22p43p,4S°,8.6808e-08,3.5364e-16,1.2849e+05,1.8734e+04,1.1843e+05,0.0000e+00,3
2s22p43d,4P,2s22p43p,4D°,3.0245e-06,2.4250e-11,1.2857e+05,2.0572e+03,1.1723e+05,2.5441e+04,5
2s22p43d,4P,2s22p43p,2D°,2.3846e-07,5.6475e-14,1.2861e+05,0.0000e+00,1.1775e+05,3.1250e+04,2
2s22p43p,2D°,2s22p43s,2P,6.0584e-08,1.9337e-15,1.1779e+05,2.0833e+04,1.0484e+05,3.5258e+04,3
2s22p43p,2D°,2s22p43s,4P,7.0628e-06,1.0408e-10,1.1777e+05,1.8750e+04,1.0260e+05,3.6547e+04,5
2s22p43p,2P°,2s22p43s,2P,6.5538e-08,3.7448e-15,1.1901e+05,7.0103e+03,1.0489e+05,3.5258e+04,4
2s22p43p,2P°,2s22p43s,4P,6.7900e-06,1.2745e-11,1.1894e+05,0.0000e+00,1.0264e+05,4.8333e+04,3
2s22p43p,2S°,2s22p43s,2P,1.0235e-07,1.2842e-14,1.1841e+05,0.0000e+00,1.0489e+05,5.2887e+04,2
2s22p43p,4D°,2s22p43s,4P,1.6994e-07,9.3802e-14,1.1725e+05,1.9180e+04,1.0262e+05,3.5114e+04,8
2s22p43p,4D°,2s22p43s,2P,1.8694e-06,2.7383e-12,1.1724e+05,1.0447e+04,1.0489e+05,5.2887e+04,2
2s22p43p,4P°,2s22p43s,2P,4.2918e-07,,1.1614e+05,,1.0506e+05,,1
2s22p43p,4P°,2s22p43s,4P,8.4315e-08,3.1467e-15,1.1604e+05,8.5172e+03,1.0265e+05,3.2431e+04,7
2s22p43p,4S°,2s22p43s,2P,2.7957e-06,1.4584e-12,1.1843e+05,0.0000e+00,1.0489e+05,5.2887e+04,2
2s22p43p,4S°,2s22p43s,4P,5.0372e-08,4.2078e-16,1.1843e+05,0.0000e+00,1.0264e+05,4.8333e+04,3
2s22p43s,2P,2s22p5,2P°,4.1525e-09,1.0322e-17,1.0489e+05,3.5258e+04,2.0207e+02,5.4443e+04,4
2s22p44s,4P,2s22p43p,4P°,1.0204e-07,,1.2564e+05,,1.1592e+05,,1
2s22p5,2P°,2s22p5,2P°,8.4246e+02,,4.0414e+02,,0.0000e+00,,1
