Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d54s24p,v 5P°,3d74s,a 3D,5.3571e-06,6.3776e-12,4.8227e+04,7.9916e+03,2.6424e+04,7.9507e+04,2
3d54s24p,v 5P°,3d74s,a 5P,4.5856e-08,3.4094e-15,4.8143e+04,1.7773e+04,1.7734e+04,2.3753e+04,7
3d54s24p,v 5P°,3d74s,b 3P,4.5250e-07,5.7047e-14,4.8227e+04,5.3278e+03,2.2946e+04,7.5929e+03,4
3d54s24p,v 5P°,3d64s2,a 3P2,6.4103e-07,,4.8163e+04,,1.8378e+04,,1
3d54s24p,v 5P°,3d64s2,b 3D,6.6667e-06,,4.8163e+04,,2.9372e+04,,1
3d54s24p,v 5P°,3d74s,c 3P,8.2645e-07,,4.8163e+04,,2.4336e+04,,1
3d54s24p,y 7P°,3d64s2,a 5D,3.1464e-06,3.7336e-11,4.0224e+04,2.3060e+04,4.4686e+02,1.2138e+05,7
3d54s24p,y 7P°,3d74s,a 5F,1.1863e-05,1.4536e-10,4.0224e+04,2.3060e+04,7.5871e+03,1.4670e+05,7
3d54s24p,y 7P°,3d74s,a 5P,4.8197e-05,2.3001e-09,4.0091e+04,6.0106e+03,1.7733e+04,2.3760e+04,4
3d6,s 3G°,3d64s2,b 3D,2.6316e-07,,5.5791e+04,,2.9357e+04,,1
3d6,s 3G°,3d74s,a 1D,4.3860e-08,,5.5791e+04,,2.8605e+04,,1
3d6,s 3G°,3d74s,a 1G,1.7100e-07,1.6869e-16,5.5848e+04,6.5941e+03,2.4575e+04,0.0000e+00,2
3d6,s 3G°,3d74s,a 3G,3.9644e-08,3.1877e-16,5.5709e+04,6.1621e+04,2.2083e+04,2.0883e+04,3
3d6,s 3G°,3d64s2,a 3H,1.9493e-07,,5.5906e+04,,1.9621e+04,,1
3d6,s 3G°,3d64s2,b 3F2,1.6920e-07,,5.5906e+04,,2.0874e+04,,1
