Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4s24p4d,1D°,4s24p2,1D,1.0417e-08,,4.8480e+04,,7.1253e+03,,1
4s24p4d,1D°,4s24p2,3P,2.5000e-08,,4.8480e+04,,5.5713e+02,,1
4s24p4d,3D°,4s24p2,3P,1.9664e-08,4.8089e-16,4.8967e+04,1.1466e+04,7.8684e+02,3.7530e+05,5
4s24p4d,3P°,4s24p2,3P,2.7045e-08,1.6145e-16,5.1706e+04,4.8666e+04,9.8355e+02,2.4244e+05,4
4s24p4d,3P°,4s24p2,1D,3.1250e-07,,5.1438e+04,,7.1253e+03,,1
4s24p5s,1P°,4s24p2,1D,3.5714e-09,,4.0021e+04,,7.1253e+03,,1
4s24p5s,1P°,4s24p2,1S,4.7619e-08,,4.0021e+04,,1.6367e+04,,1
4s24p5s,1P°,4s24p2,3P,1.2433e-07,3.9936e-15,4.0021e+04,0.0000e+00,6.5570e+02,5.0428e+05,3
4s24p5s,3P°,4s24p2,3P,9.9842e-09,2.5565e-17,3.8132e+04,5.9215e+05,7.4855e+02,3.0904e+05,6
4s24p5s,3P°,4s24p2,1D,1.7853e-07,4.1500e-14,3.8410e+04,1.0020e+06,7.1253e+03,0.0000e+00,2
4s24p5s,3P°,4s24p2,1S,1.0526e-07,,3.7702e+04,,1.6367e+04,,1
