Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
1s2p,1P°,1s2,1S,5.5590e-10,,1.7113e+05,,0.0000e+00,,1
1s2p,1P°,1s2s,1S,5.0643e-07,,1.7113e+05,,1.6628e+05,,1
1s2p,1P°,1s2s,3S,6.9348e-01,,1.7113e+05,,1.5986e+05,,1
1s2p,3P°,1s2s,3S,9.7886e-08,0.0000e+00,1.6909e+05,3.5244e-01,1.5986e+05,0.0000e+00,3
1s2p,3P°,1s2,1S,1.5319e+00,4.6587e+00,1.6909e+05,2.9204e-03,0.0000e+00,0.0000e+00,2
1s2p,3P°,1s2s,1S,3.3715e+01,,1.6909e+05,,1.6628e+05,,1
1s2s,3S,1s2,1S,7.8616e+03,,1.5986e+05,,0.0000e+00,,1
1s3d,1D,1s2,1S,7.6982e-04,,1.8610e+05,,0.0000e+00,,1
1s3d,1D,1s2p,1P°,1.5697e-08,,1.8610e+05,,1.7113e+05,,1
1s3d,1D,1s2p,3P°,1.5659e-04,1.1378e-08,1.8610e+05,0.0000e+00,1.6909e+05,2.9204e-03,2
1s3d,1D,1s2s,1S,9.7847e-03,,1.8610e+05,,1.6628e+05,,1
1s3d,1D,1s3p,3P°,4.3159e-01,,1.8610e+05,,1.8556e+05,,1
1s3d,1D,1s3s,1S,8.0051e+02,,1.8610e+05,,1.8486e+05,,1
1s3d,3D,1s2p,3P°,1.0969e-07,3.8518e-14,1.8610e+05,6.0939e-04,1.6909e+05,1.7952e-01,6
1s3d,3D,1s3p,3P°,6.0045e-04,1.1543e-06,1.8610e+05,6.0939e-04,1.8556e+05,1.3542e-02,6
1s3d,3D,1s2p,1P°,6.6225e-05,,1.8610e+05,,1.7113e+05,,1
1s3p,1P°,1s2,1S,1.7657e-09,,1.8621e+05,,0.0000e+00,,1
1s3p,1P°,1s2p,1P°,4.2107e-02,,1.8621e+05,,1.7113e+05,,1
1s3p,1P°,1s2s,1S,7.4783e-08,,1.8621e+05,,1.6628e+05,,1
1s3p,1P°,1s3d,1D,6.5441e-03,,1.8621e+05,,1.8610e+05,,1
1s3p,1P°,1s3d,3D,1.7650e+05,6.2290e+10,1.8621e+05,0.0000e+00,1.8610e+05,9.7687e-04,2
1s3p,1P°,1s3s,1S,3.9738e-06,,1.8621e+05,,1.8486e+05,,1
1s3p,3P°,1s2s,3S,1.0555e-07,0.0000e+00,1.8556e+05,2.6560e-02,1.5986e+05,0.0000e+00,3
1s3p,3P°,1s3s,3S,9.3145e-07,0.0000e+00,1.8556e+05,2.6560e-02,1.8324e+05,1.2705e-21,3
1s3p,3P°,1s2,1S,8.2645e+00,,1.8556e+05,,0.0000e+00,,1
1s3s,1S,1s2p,1P°,5.4648e-08,,1.8486e+05,,1.7113e+05,,1
1s3s,3S,1s2p,3P°,1.6515e-07,1.9180e-14,1.8324e+05,1.2705e-21,1.6909e+05,3.5244e-01,3
