Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d26p,y 1D°,5d26s2,a 1D,4.4643e-08,,3.1611e+04,,5.6386e+03,,1
5d26p,y 1D°,5d26s2,a 3F,9.5938e-08,4.4027e-15,3.1611e+04,0.0000e+00,1.1783e+03,2.7770e+06,2
5d26p,y 1D°,5d26s2,a 3P,1.6491e-06,1.9304e-12,3.1611e+04,0.0000e+00,7.7782e+03,2.9070e+06,2
5d26p,y 1D°,5d36s,a 3G,8.3333e-07,,3.1611e+04,,2.2880e+04,,1
5d26p,y 1D°,5d36s,a 5F,1.6667e-05,,3.1611e+04,,1.5673e+04,,1
5d26p,y 1D°,5d36s,a 5P,3.1250e-06,,3.1611e+04,,2.2199e+04,,1
5d26p,y 1D°,5d36s,a 3D,1.6667e-05,,3.1611e+04,,2.5084e+04,,1
5d26p,y 3D°,5d26s2,a 1D,7.4055e-07,2.3244e-13,2.9018e+04,7.8668e+05,5.6386e+03,0.0000e+00,3
5d26p,y 3D°,5d26s2,a 3F,1.0473e-07,4.1350e-15,2.9219e+04,7.6198e+05,1.5468e+03,3.5230e+06,6
5d26p,y 3D°,5d26s2,a 3P,2.3607e-06,1.1170e-11,2.8817e+04,3.9965e+05,7.6030e+03,2.4349e+06,6
5d26p,y 3D°,5d36s,a 5F,5.9148e-06,3.2568e-11,2.9083e+04,7.6442e+05,1.5204e+04,7.9371e+05,7
5d26p,y 3D°,5d26s2,a 1G,8.3333e-06,,2.9997e+04,,1.0533e+04,,1
5d26p,y 3D°,5d36s,a 3G,3.8462e-06,,2.9997e+04,,2.3253e+04,,1
5d26p,y 3D°,5d36s,a 3D,4.7619e-06,,2.9997e+04,,2.5084e+04,,1
5d26p,y 3F°,5d26s2,a 1D,8.5536e-06,1.3164e-10,2.7402e+04,1.2736e+05,5.6386e+03,0.0000e+00,2
5d26p,y 3F°,5d26s2,a 3F,4.3735e-07,2.0427e-13,2.8390e+04,2.6137e+06,2.3150e+03,3.4787e+06,7
5d26p,y 3F°,5d26s2,a 3P,1.3333e-05,2.7222e-10,2.7150e+04,0.0000e+00,7.7782e+03,2.9070e+06,2
5d26p,y 3F°,5d36s,a 5F,6.9861e-06,1.8216e-10,2.7999e+04,1.8551e+06,1.5916e+04,1.5091e+06,6
5d26p,y 3F°,5d26s2,a 1G,6.1292e-06,5.2157e-11,2.9194e+04,4.7399e+06,1.0533e+04,0.0000e+00,2
5d26p,y 3F°,5d36s,a 3G,2.5000e-05,1.3889e-10,2.9194e+04,4.7399e+06,2.3483e+04,7.2592e+05,2
5d26p,y 3F°,5d36s,a 5P,1.6667e-05,,2.7654e+04,,2.2199e+04,,1
5d26p,z 3G°,5d26s2,a 1D,4.0000e-06,,2.8584e+04,,5.6386e+03,,1
5d26p,z 3G°,5d26s2,a 1G,7.4806e-06,3.4400e-11,2.9780e+04,2.8640e+06,1.0533e+04,0.0000e+00,2
5d26p,z 3G°,5d26s2,a 3F,7.0307e-07,9.5201e-13,2.9204e+04,8.6030e+05,3.0694e+03,3.4343e+06,6
5d26p,z 3G°,5d26s2,a 3P,4.0000e-06,,2.8584e+04,,8.9838e+03,,1
5d26p,z 3G°,5d36s,a 3G,1.3088e-05,1.8756e-10,2.9552e+04,1.0360e+06,2.3384e+04,2.5707e+05,7
5d26p,z 3G°,5d36s,a 5F,6.6795e-06,1.6325e-11,2.9602e+04,1.2215e+06,1.6591e+04,6.9874e+05,6
5d26p,z 3G°,5d36s,b 3F,1.6667e-06,,2.8584e+04,,2.3328e+04,,1
5d26p,z 5D°,5d26s2,a 1D,9.8624e-06,1.4986e-10,2.5970e+04,2.2551e+05,5.6386e+03,0.0000e+00,2
5d26p,z 5D°,5d26s2,a 3F,4.8184e-07,9.0137e-14,2.6460e+04,6.1120e+05,2.3150e+03,3.4787e+06,7
5d26p,z 5D°,5d26s2,a 3P,3.7853e-05,1.2500e-09,2.5858e+04,1.5034e+05,8.1800e+03,1.9380e+06,3
