Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d76s6p,z 4D°,5d76s2,a 4F,3.2468e-08,,3.7515e+04,,0.0000e+00,,1
5d76s6p,z 4D°,5d86s,b 4F,3.2569e-07,1.5530e-14,3.7515e+04,0.0000e+00,6.6064e+03,1.2587e+07,3
5d76s6p,z 4D°,5d86s,a 4P,2.0833e-07,,3.7515e+04,,1.2952e+04,,1
5d76s6p,z 4F°,5d76s2,a 4F,1.1168e-07,6.2199e-15,3.7967e+04,2.7370e+04,2.1080e+03,1.3331e+07,3
5d76s6p,z 4F°,5d86s,a 2F,2.9412e-07,,3.7872e+04,,1.3088e+04,,1
5d76s6p,z 4F°,5d86s,b 4F,5.2632e-06,,3.7872e+04,,2.8350e+03,,1
5d76s6p,z 6D°,5d76s2,a 4F,4.5745e-07,4.2024e-14,2.9386e+04,1.8949e+07,2.8923e+03,1.6731e+07,2
5d76s6p,z 6D°,5d86s,b 4F,9.8186e-06,1.6378e-10,2.9686e+04,2.2831e+07,6.3563e+03,2.4799e+07,2
5d76s6p,z 6F°,5d76s2,a 4F,2.8890e-07,2.7672e-14,3.4215e+04,9.0068e+06,3.7216e+03,7.2067e+06,7
5d76s6p,z 6F°,5d86s,b 4F,7.2914e-07,9.0676e-13,3.3092e+04,5.9535e+06,6.1446e+03,7.7237e+06,6
5d76s6p,z 6G°,5d76s2,a 2G,3.2258e-06,,3.4180e+04,,1.3940e+04,,1
5d76s6p,z 6G°,5d76s2,a 4F,1.4521e-07,1.2744e-14,3.5021e+04,3.3789e+05,1.5810e+03,9.9980e+06,4
5d76s6p,z 6G°,5d86s,b 4F,2.1354e-07,9.9900e-15,3.5735e+04,1.2248e+06,6.8970e+03,1.6568e+07,5
