Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d,2D,3p64p,2P°,1.1439e-07,1.4141e-14,2.1536e+04,1.7756e+00,1.3024e+04,1.1102e+03,3
3p63d,2D,3p64s,2S,6.4935e-03,0.0000e+00,2.1536e+04,2.6634e+00,0.0000e+00,0.0000e+00,2
3p64d,2D,3p64p,2P°,1.8076e-04,4.1841e-08,2.7398e+04,3.8163e-01,1.3024e+04,1.1102e+03,3
3p64d,2D,3p65p,2P°,8.0026e-07,6.9234e-13,2.7398e+04,3.8163e-01,2.4714e+04,1.1728e+02,3
3p64f,2F°,3p63d,2D,3.6639e-07,2.6982e-13,2.8128e+04,1.9852e-23,2.1535e+04,1.7756e+00,3
3p64f,2F°,3p64d,2D,6.4259e-05,8.3056e-09,2.8128e+04,1.9852e-23,2.7397e+04,3.8163e-01,3
3p64p,2P°,3p64s,2S,2.6621e-08,5.0850e-20,1.3014e+04,1.6652e+03,0.0000e+00,0.0000e+00,2
3p65d,2D,3p64p,2P°,7.5017e-06,5.8392e-11,3.0186e+04,8.4571e-02,1.3024e+04,1.1102e+03,3
3p65d,2D,3p65p,2P°,3.4323e-05,1.3241e-09,3.0186e+04,8.4571e-02,2.4714e+04,1.1728e+02,3
3p65f,2F°,3p63d,2D,8.7016e-07,1.5196e-12,3.0607e+04,0.0000e+00,2.1535e+04,1.7756e+00,3
3p65f,2F°,3p64d,2D,2.8530e-06,1.6328e-11,3.0607e+04,0.0000e+00,2.7397e+04,3.8163e-01,3
3p65p,2P°,3p63d,2D,2.4323e-06,9.6768e-12,2.4714e+04,1.1728e+02,2.1536e+04,1.7756e+00,3
3p65p,2P°,3p64s,2S,9.0207e-07,2.1134e-15,2.4711e+04,1.7591e+02,0.0000e+00,0.0000e+00,2
3p65p,2P°,3p65s,2S,2.1955e-07,2.9039e-18,2.4711e+04,1.7591e+02,2.1027e+04,0.0000e+00,2
3p65s,2S,3p64p,2P°,9.4491e-08,1.9568e-15,2.1027e+04,0.0000e+00,1.3014e+04,1.6652e+03,2
3p66d,2D,3p64p,2P°,5.6647e-06,3.3548e-11,3.1696e+04,2.3514e-02,1.3024e+04,1.1102e+03,3
3p66d,2D,3p65p,2P°,1.9735e-03,2.8000e-06,3.1696e+04,2.3514e-02,2.4714e+04,1.1728e+02,3
3p66f,2F°,3p63d,2D,1.6537e-06,5.4901e-12,3.1953e+04,0.0000e+00,2.1535e+04,1.7756e+00,3
3p66f,2F°,3p64d,2D,4.3114e-06,3.7301e-11,3.1953e+04,0.0000e+00,2.7397e+04,3.8163e-01,3
3p66p,2P°,3p63d,2D,8.8887e-06,1.2851e-10,2.9005e+04,2.3745e+01,2.1536e+04,1.7756e+00,3
3p66p,2P°,3p64d,2D,4.6604e-06,3.5028e-11,2.9005e+04,2.3745e+01,2.7398e+04,3.8163e-01,3
3p66p,2P°,3p64s,2S,6.4786e-06,3.4940e-13,2.9003e+04,3.5617e+01,0.0000e+00,0.0000e+00,2
3p66p,2P°,3p65s,2S,2.3513e-06,5.5120e-15,2.9003e+04,3.5617e+01,2.1027e+04,0.0000e+00,2
3p66s,2S,3p64p,2P°,3.0089e-07,1.9646e-14,2.7451e+04,0.0000e+00,1.3014e+04,1.6652e+03,2
3p66s,2S,3p65p,2P°,4.0822e-07,8.5207e-14,2.7451e+04,0.0000e+00,2.4711e+04,1.7591e+02,2
