Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4f5d6s,2G°,5d26s,2G,1.1628e-07,,2.3467e+04,,9.9198e+03,,1
4f5d6s,2G°,5d26s,2F,3.0303e-07,,2.3467e+04,,8.0522e+03,,1
4f5d6s,2G°,5d26s,4F,8.7294e-06,1.4491e-10,2.3467e+04,0.0000e+00,3.8080e+03,1.9659e+05,2
4f5d6s,°,5d26s,2F,6.6105e-08,3.6344e-15,2.7339e+04,7.1333e+06,7.7054e+03,3.6071e+05,3
4f5d6s,°,5d26s,4F,5.0854e-07,1.1214e-13,2.6238e+04,1.0029e+07,3.5420e+03,3.1059e+05,3
4f5d6s,°,5d26s,4P,1.0218e-07,1.7300e-14,2.8887e+04,4.8420e+06,7.5736e+03,3.3846e+04,6
4f5d6s,°,5d6s2,2D,6.7461e-08,3.5025e-15,2.8215e+04,4.1760e+06,7.0211e+02,2.9577e+05,6
4f5d6s,°,5d26s,2D,2.3999e-07,1.2743e-13,2.9503e+04,7.3968e+05,8.8887e+03,1.6328e+05,5
4f5d6s,2F°,5d26s,2F,1.0911e-07,1.7732e-14,2.8252e+04,2.5446e+05,7.3587e+03,3.6071e+05,3
4f5d6s,2F°,5d6s2,2D,1.0129e-07,2.8271e-15,2.8106e+04,3.8168e+05,5.2658e+02,5.5458e+05,2
4f5d6s,2F°,5d26s,2G,1.5385e-07,,2.8543e+04,,9.9609e+03,,1
4f5d6s,4F°,5d26s,4F,1.7819e-07,2.3017e-14,2.5124e+04,5.5816e+05,3.3663e+03,2.9171e+05,8
4f5d6s,4F°,5d26s,4P,2.5619e-07,2.2344e-14,2.4397e+04,3.7194e+04,7.5537e+03,1.1960e+04,3
4f5d6s,4F°,5d26s,2F,1.5873e-07,,2.4508e+04,,7.0119e+03,,1
4f5d6s,4F°,5d3,4F,5.0761e-07,,2.4508e+04,,1.3238e+04,,1
4f5d6s,4F°,5d6s2,2D,1.5476e-07,1.0976e-14,2.4799e+04,2.5369e+05,7.0211e+02,3.6972e+05,3
4f5d6s,4G°,5d26s,4F,9.2132e-08,9.1401e-15,2.7697e+04,4.0477e+05,3.4172e+03,3.1615e+05,7
4f5d6s,4G°,5d26s,2F,9.7087e-07,,2.7023e+04,,7.0119e+03,,1
4f5d6s,4G°,5d6s2,2D,4.3668e-07,,2.7023e+04,,0.0000e+00,,1
4f5d6s,4G°,5d26s,2G,1.7857e-07,,2.8089e+04,,9.9198e+03,,1
4f5d6s,4P°,5d26s,4P,1.5093e-07,2.7749e-14,3.0431e+04,1.3860e+05,7.4706e+03,3.3877e+04,7
4f5d6s,4P°,5d26s,2D,5.2408e-08,1.9810e-17,3.0657e+04,1.1490e+05,9.1838e+03,0.0000e+00,2
4f5d6s,4P°,5d3,2D2,7.9365e-08,,3.0417e+04,,1.8777e+04,,1
4f5d6s,4P°,5d6s2,2D,7.1429e-08,,3.0417e+04,,1.0532e+03,,1
4f5d6s,4P°,5d26s,2G,8.4034e-08,,3.0897e+04,,9.9609e+03,,1
4f6s2,2F°,5d26s,4F,3.4458e-06,2.0690e-11,1.6091e+04,5.9993e+05,3.5420e+03,3.1059e+05,3
4f6s2,2F°,5d6s2,2D,2.0865e-07,1.7975e-14,1.5644e+04,5.9993e+05,7.0211e+02,3.6972e+05,3
5d26p,°,5d26s,2D,3.2741e-07,1.0347e-13,2.4528e+04,1.0664e+07,8.4460e+03,0.0000e+00,3
5d26p,°,5d26s,2G,1.3987e-07,1.0899e-14,2.3922e+04,1.0228e+07,9.9404e+03,5.6260e+02,4
5d26p,°,5d26s,2F,1.6269e-07,8.0171e-15,2.3609e+04,1.2662e+07,7.4577e+03,3.0918e+05,7
