Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d26s,2P,6s26p,2P°,4.0366e-07,2.5051e-13,2.8793e+04,0.0000e+00,5.8063e+03,5.5787e+06,2
5d6s6p,2D°,5d6s2,2D,3.9790e-06,1.1323e-10,2.6413e+04,2.5609e+07,9.9696e+02,1.1359e+06,8
5d6s6p,2F°,5d6s2,2D,4.3596e-08,4.1477e-15,2.9492e+04,2.4788e+06,1.1964e+03,1.1927e+06,5
5d6s6p,2P°,5d6s2,2D,2.9715e-08,2.2909e-15,3.2903e+04,1.9035e+06,6.6464e+02,1.0602e+06,6
5d6s6p,4D°,5d6s2,2D,4.5608e-06,1.3410e-11,2.1519e+04,4.4233e+05,7.9757e+02,1.1927e+06,5
5d6s6p,4F°,5d6s2,2D,4.0968e-06,4.2659e-11,1.7966e+04,3.8686e+05,9.9696e+02,1.3252e+06,4
5d6s6p,4P°,5d6s2,2D,3.9142e-06,2.5252e-11,2.4750e+04,2.6017e+05,9.9696e+02,1.3252e+06,4
6s25f,2F°,5d6s2,2D,4.3197e-08,1.7409e-20,3.6639e+04,5.7889e+01,9.9696e+02,1.9879e+06,2
6s26d,2D,6s26p,2P°,2.7210e-08,7.8318e-16,3.1599e+04,9.7881e+03,6.3630e+03,3.7191e+06,3
6s27p,2P°,5d6s2,2D,1.1698e-08,1.0216e-17,3.0136e+04,3.7282e+05,6.6464e+02,1.3252e+06,3
6s27s,2S,6s26p,2P°,2.5829e-08,5.8773e-17,2.4126e+04,0.0000e+00,5.8063e+03,5.5787e+06,2
