Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p23d,2D,2s22p23p,2D°,2.0232e-06,2.1269e-11,1.1515e+05,5.4699e+07,1.0139e+05,4.5549e+07,12
2s22p23d,2D,2s22p23p,2F°,3.5345e-06,2.7733e-11,1.2015e+05,1.0830e+01,1.1071e+05,6.4915e+00,3
2s22p23d,2D,2s22p23p,2P°,1.8421e-05,4.9195e-10,1.1452e+05,6.0475e+07,1.0324e+05,5.6470e+07,8
2s22p23d,2D,2s22p3,2D°,5.5798e-07,1.8932e-12,1.1264e+05,6.4467e+07,1.9229e+04,2.1690e+01,8
2s22p23d,2D,2s22p3,2P°,3.3411e-07,1.7798e-13,1.1114e+05,6.7726e+07,2.8839e+04,4.4699e-02,5
2s22p23d,2F,2s22p23p,2D°,3.5152e-07,3.5712e-13,1.1083e+05,6.7311e+07,9.9585e+04,3.7539e+07,5
2s22p23d,2F,2s22p23p,2F°,1.3967e-06,3.3732e-12,1.1981e+05,0.0000e+00,1.1071e+05,9.7373e+00,2
2s22p23d,2P,2s22p23p,2D°,9.8995e-07,1.9240e-12,1.1508e+05,6.1480e+07,1.0139e+05,4.7032e+07,9
2s22p23d,2P,2s22p23p,2P°,6.0252e-07,2.5935e-13,1.1509e+05,5.9570e+07,1.0263e+05,5.1103e+07,12
2s22p23d,2P,2s22p3,2D°,4.8432e-07,1.0223e-12,1.1247e+05,7.3776e+07,1.9230e+04,2.0244e+01,6
2s22p23d,2P,2s22p3,2P°,3.0098e-08,3.3919e-16,1.1247e+05,7.0208e+07,2.8839e+04,4.2570e-02,8
2s22p23d,2S,2s22p23p,2P°,4.9702e-07,2.2017e-13,1.2057e+05,0.0000e+00,1.0505e+05,7.0266e+07,4
2s22p23d,2S,2s22p24p,2P°,1.0865e-06,2.5424e-13,1.2057e+05,0.0000e+00,1.0761e+05,7.9258e+02,2
2s22p23d,2S,2s22p25p,2P°,3.3260e-07,2.4147e-14,1.2057e+05,0.0000e+00,1.1121e+05,1.0401e+02,2
2s22p23d,2S,2s22p3,2P°,1.1450e-08,2.9136e-17,1.2057e+05,0.0000e+00,2.8839e+04,7.4498e-02,2
2s22p23p,2D°,2s22p23s,2D,2.5561e-07,6.7391e-14,1.1053e+05,1.8881e+02,9.9664e+04,7.8408e-02,4
2s22p23p,2D°,2s22p23d,2D,6.4019e-05,7.0222e-09,1.1054e+05,1.8881e+02,1.0513e+05,1.8929e+02,3
2s22p23p,2D°,2s22p23d,2P,4.8888e-05,1.2020e-09,1.1053e+05,1.8881e+02,1.0463e+05,4.9562e+02,3
2s22p23p,2D°,2s22p23s,2P,4.0154e-07,3.0769e-13,1.0367e+05,5.6438e+07,8.6193e+04,1.8442e+03,6
2s22p23p,2D°,2s22p24d,2F,2.2317e-03,8.3334e-06,1.1054e+05,1.8881e+02,1.1031e+05,1.9333e+03,3
2s22p23p,2D°,2s22p24d,2P,2.1013e-03,4.4879e-06,1.1053e+05,1.8881e+02,1.1023e+05,2.0960e+02,3
2s22p23p,2D°,2s22p24s,2P,3.2737e-05,1.3882e-09,1.1053e+05,1.8881e+02,1.0420e+05,1.9666e+03,3
2s22p23p,2D°,2s22p25s,2P,2.4278e-04,8.2647e-08,1.1053e+05,1.8881e+02,1.1008e+05,1.5465e+03,3
2s22p23p,2F°,2s22p23s,2D,2.0203e-07,8.1620e-14,1.1071e+05,6.4915e+00,9.9664e+04,7.8408e-02,3
2s22p23p,2P°,2s22p23s,2D,1.2410e-07,2.4515e-14,1.1231e+05,2.2185e+02,9.9664e+04,7.8408e-02,3
2s22p23p,2P°,2s22p23d,2P,3.7123e-05,5.1843e-10,1.1231e+05,2.2185e+02,1.0463e+05,4.9562e+02,4
2s22p23p,2P°,2s22p23s,2P,3.1442e-07,1.3016e-13,1.0505e+05,6.0228e+07,8.6179e+04,1.9759e+03,8
2s22p23p,2P°,2s22p24d,2D,3.2769e-05,1.7193e-09,1.1231e+05,2.2185e+02,1.1045e+05,1.7960e+02,3
2s22p23p,2P°,2s22p24d,2P,7.8446e-04,3.4492e-07,1.1231e+05,2.2185e+02,1.1023e+05,2.0960e+02,4
2s22p23p,2P°,2s22p24s,2P,8.4848e-06,4.4199e-11,1.1231e+05,2.2185e+02,1.0418e+05,1.9666e+03,4
2s22p23p,2P°,2s22p25s,2P,8.0578e-06,3.2446e-11,1.1231e+05,2.2185e+02,1.1007e+05,1.5465e+03,4
2s22p23s,2D,2s22p23s,2D,5.4054e+11,,9.9664e+04,,9.9663e+04,,1
2s22p23s,2D,2s22p23p,2D°,7.9885e-04,6.0533e-07,9.9664e+04,7.8408e-02,9.6826e+04,1.9441e+03,4
2s22p23s,2D,2s22p23p,2P°,9.4966e-04,8.7981e-07,9.9664e+04,7.8408e-02,9.7794e+04,4.2388e+02,3
2s22p23s,2D,2s22p23s,2P,1.6800e+03,7.2589e+05,9.9664e+04,7.8408e-02,8.6193e+04,2.3052e+03,3
2s22p23s,2D,2s22p23s,4P,2.1809e+03,3.5153e+06,9.9664e+04,7.8408e-02,8.3321e+04,1.0955e+03,4
2s22p23s,2D,2s22p3,2D°,1.9684e-08,3.8918e-16,9.9664e+04,7.8408e-02,1.9229e+04,2.5305e+01,4
2s22p23s,2D,2s22p3,2P°,4.6719e-08,2.0541e-15,9.9664e+04,7.8408e-02,2.8839e+04,4.9665e-02,3
2s22p23s,2D,2s22p3,4S°,3.2834e-03,8.7607e-06,9.9664e+04,1.1761e-01,0.0000e+00,0.0000e+00,2
2s22p24s,2D,2s22p23p,2D°,4.1781e-05,1.4437e-09,1.1921e+05,0.0000e+00,1.1053e+05,1.8881e+02,4
2s22p24s,2D,2s22p23p,2F°,6.6290e-07,9.8962e-13,1.1921e+05,0.0000e+00,1.1071e+05,6.4915e+00,3
2s22p24s,2D,2s22p23p,2P°,9.7385e-07,1.4017e-12,1.1921e+05,0.0000e+00,1.0505e+05,6.3225e+07,6
2s22p24s,2D,2s22p3,2D°,1.6931e-07,2.9020e-14,1.1921e+05,0.0000e+00,1.9229e+04,2.5305e+01,4
2s22p24s,2D,2s22p3,2P°,6.5541e-07,3.6567e-13,1.1921e+05,0.0000e+00,2.8839e+04,4.9665e-02,3
2s22p23s,2S,2s22p23p,2P°,2.5255e-05,1.3415e-10,1.1628e+05,0.0000e+00,1.1231e+05,3.3277e+02,2
2s22p23s,2S,2s22p25p,2P°,9.8816e-05,2.1243e-09,1.1628e+05,0.0000e+00,1.1121e+05,1.0401e+02,2
2s22p23d,2D,2s22p23p,2S°,6.1350e-06,,1.0512e+05,,9.3582e+04,,1
2s22p23d,2D,2s22p23p,4D°,3.4374e-03,6.8785e-05,1.0513e+05,1.7036e+02,9.4817e+04,1.5640e+03,6
2s22p23d,2D,2s22p23p,4P°,4.1990e-03,4.4849e-05,1.0513e+05,1.7036e+02,9.5505e+04,6.5270e+02,5
2s22p23d,2D,2s22p23p,4S°,3.4775e-05,3.6763e-11,1.0513e+05,2.8393e+02,9.6751e+04,0.0000e+00,2
2s22p23d,2D,2s22p3,4S°,3.5271e-06,1.0773e-11,1.0513e+05,2.8393e+02,0.0000e+00,0.0000e+00,2
2s22p23d,2F,2s22p23p,2P°,8.5470e-06,,1.0481e+05,,9.7806e+04,,1
2s22p23d,2F,2s22p23p,4D°,8.5329e-06,2.3548e-10,1.0484e+05,1.5119e+03,9.4844e+04,1.4389e+03,5
2s22p23d,2F,2s22p23p,4P°,2.1229e-06,1.4903e-12,1.0483e+05,1.6799e+03,9.5519e+04,4.9306e+02,3
2s22p23d,2F,2s22p23p,4S°,5.8140e-07,,1.0481e+05,,9.6751e+04,,1
2s22p23d,2F,2s22p3,2D°,1.0523e-07,2.7256e-14,1.0483e+05,1.6799e+03,1.9227e+04,2.5305e+01,3
2s22p23d,2F,2s22p3,2P°,8.9286e-07,,1.0481e+05,,2.8839e+04,,1
2s22p23d,2F,2s22p3,4S°,5.1282e-08,,1.0481e+05,,0.0000e+00,,1
2s22p23d,2P,2s22p23p,2S°,3.1201e-08,4.7387e-21,1.0463e+05,7.4344e+02,9.3582e+04,0.0000e+00,2
2s22p23d,2P,2s22p23p,4D°,7.1060e-05,8.5243e-09,1.0463e+05,4.4606e+02,9.4792e+04,6.0224e+02,5
2s22p23d,2P,2s22p23p,4P°,1.1444e-04,1.9913e-08,1.0463e+05,4.4606e+02,9.5494e+04,5.3856e+02,5
2s22p23d,2P,2s22p23p,4S°,4.3959e-05,1.6859e-09,1.0463e+05,7.4344e+02,9.6751e+04,0.0000e+00,2
2s22p23d,2P,2s22p3,4S°,3.0666e-06,1.0823e-12,1.0463e+05,7.4344e+02,0.0000e+00,0.0000e+00,2
2s22p23d,4D,2s22p23p,2D°,1.8943e-01,2.1520e-01,1.0500e+05,1.4112e+02,9.6826e+04,1.7497e+03,6
2s22p23d,4D,2s22p23p,2P°,3.9709e-03,7.6412e-05,1.0499e+05,1.0187e+02,9.7792e+04,3.8149e+02,5
2s22p23d,4D,2s22p23p,2S°,2.3182e-05,4.4914e-10,1.0499e+05,7.0805e+01,9.3582e+04,0.0000e+00,2
2s22p23d,4D,2s22p23p,4D°,4.5664e-07,1.7543e-13,1.0500e+05,1.4837e+02,9.4818e+04,1.6541e+03,10
2s22p23d,4D,2s22p23p,4P°,1.1217e-07,7.2926e-15,1.0500e+05,1.3983e+02,9.5504e+04,6.2008e+02,8
2s22p23d,4D,2s22p23p,4S°,1.0755e-06,1.4595e-13,1.0500e+05,1.4618e+02,9.6751e+04,3.1764e-22,3
2s22p23d,4D,2s22p3,2D°,3.2096e-05,2.0144e-09,1.0500e+05,1.4112e+02,1.9229e+04,2.2775e+01,6
2s22p23d,4D,2s22p3,2P°,3.3026e-05,3.0056e-09,1.0499e+05,1.0187e+02,2.8839e+04,4.4699e-02,5
2s22p23d,4D,2s22p3,4S°,9.6495e-08,1.0083e-15,1.0500e+05,1.4618e+02,0.0000e+00,0.0000e+00,3
2s22p23d,4F,2s22p23p,2P°,4.9369e-04,1.7720e-07,1.0467e+05,1.1945e+02,9.7794e+04,4.2388e+02,3
2s22p23d,4F,2s22p23p,2S°,2.7174e-06,,1.0466e+05,,9.3582e+04,,1
2s22p23d,4F,2s22p23p,4D°,7.3113e-07,1.9926e-12,1.0469e+05,1.1547e+03,9.4833e+04,1.7680e+03,9
2s22p23d,4F,2s22p23p,4P°,2.0652e-04,1.5771e-07,1.0468e+05,4.2723e+02,9.5510e+04,6.4143e+02,6
2s22p23d,4F,2s22p23p,4S°,1.5714e-03,4.7076e-06,1.0467e+05,1.7917e+02,9.6751e+04,0.0000e+00,2
2s22p23d,4F,2s22p3,2D°,6.6722e-06,7.1124e-11,1.0468e+05,4.6552e+02,1.9228e+04,2.2775e+01,5
2s22p23d,4F,2s22p3,2P°,2.5473e-04,1.4319e-07,1.0467e+05,1.1945e+02,2.8839e+04,4.9665e-02,3
2s22p23d,4F,2s22p3,4S°,3.7198e-05,2.3435e-09,1.0467e+05,1.7917e+02,0.0000e+00,0.0000e+00,2
2s22p23d,4P,2s22p23p,2P°,7.0240e-05,9.6589e-10,1.0486e+05,6.3091e+02,9.7792e+04,3.8149e+02,5
2s22p23d,4P,2s22p23p,2S°,1.1769e-05,4.8961e-12,1.0487e+05,3.4769e+02,9.3582e+04,0.0000e+00,2
2s22p23d,4P,2s22p23p,4D°,2.2821e-06,3.5916e-12,1.0485e+05,6.6568e+02,9.4808e+04,1.4120e+03,8
2s22p23d,4P,2s22p23p,4P°,6.5093e-05,2.9492e-08,1.0486e+05,6.2482e+02,9.5499e+04,5.6726e+02,7
2s22p23d,4P,2s22p23p,4S°,7.9863e-08,1.1486e-16,1.0486e+05,9.3562e+02,9.6751e+04,3.1764e-22,3
2s22p23d,4P,2s22p3,2D°,4.2011e-04,7.8126e-07,1.0485e+05,6.8122e+02,1.9230e+04,2.2775e+01,5
2s22p23d,4P,2s22p3,2P°,9.8201e-06,2.2066e-11,1.0486e+05,6.3091e+02,2.8839e+04,4.4699e-02,5
2s22p23d,4P,2s22p3,4S°,5.6536e-09,2.1931e-19,1.0486e+05,9.3562e+02,0.0000e+00,0.0000e+00,3
2s22p23p,2D°,2s22p23s,4P,1.9189e-04,3.7363e-08,9.6818e+04,1.7497e+03,8.3330e+04,1.2007e+03,5
2s22p23p,2D°,2s2p4,4P,3.0089e-03,2.7375e-05,9.6818e+04,1.7497e+03,8.8137e+04,8.2407e+02,5
2s22p23p,2P°,2s22p23s,4P,5.9008e-03,3.1246e-05,9.7792e+04,3.8149e+02,8.3314e+04,1.0957e+03,5
2s22p23p,2P°,2s2p4,4P,2.1120e-03,1.6433e-06,9.7792e+04,3.8149e+02,8.8150e+04,6.6890e+02,5
2s22p23p,2S°,2s22p23s,2P,2.4907e-07,1.1116e-14,9.3582e+04,0.0000e+00,8.6179e+04,3.4578e+03,2
2s22p23p,2S°,2s22p23s,4P,2.1260e-04,2.0752e-08,9.3582e+04,0.0000e+00,8.3301e+04,5.6987e+02,2
2s22p23p,4D°,2s22p23s,4P,2.1992e-07,1.1451e-13,9.4808e+04,1.4120e+03,8.3327e+04,1.1691e+03,8
2s22p23p,4D°,2s2p4,4P,5.2182e-06,5.6390e-11,9.4808e+04,1.4120e+03,8.8140e+04,7.7964e+02,8
2s22p23p,4P°,2s22p23s,2P,1.6670e+00,1.3887e+01,9.5494e+04,5.3856e+02,8.6187e+04,2.0747e+03,5
2s22p23p,4P°,2s22p23s,4P,1.0935e-07,4.8326e-15,9.5499e+04,5.6726e+02,8.3322e+04,1.0935e+03,7
2s22p23p,4P°,2s2p4,4P,5.0535e-06,1.1356e-11,9.5499e+04,5.6726e+02,8.8144e+04,7.1094e+02,7
2s22p23p,4S°,2s22p23s,2P,1.2486e-03,2.9498e-06,9.6751e+04,0.0000e+00,8.6179e+04,3.4578e+03,2
2s22p23p,4S°,2s22p23s,4P,1.0412e-07,4.2895e-15,9.6751e+04,3.1764e-22,8.3322e+04,1.6362e+03,3
2s22p23p,4S°,2s2p4,4P,8.8285e-07,3.1273e-13,9.6751e+04,3.1764e-22,8.8143e+04,1.0521e+03,3
2s22p23s,2P,2s22p3,2D°,1.2260e-08,2.5435e-16,8.6193e+04,2.3052e+03,1.9230e+04,2.5305e+01,3
2s22p23s,2P,2s22p3,2P°,2.3402e-08,2.9681e-16,8.6179e+04,2.3052e+03,2.8839e+04,4.9665e-02,4
2s22p23s,2P,2s22p3,4S°,2.8504e-05,1.3648e-10,8.6179e+04,3.4578e+03,0.0000e+00,0.0000e+00,2
2s22p23s,2P,2s22p23s,2P,1.9342e+05,,8.6221e+04,,8.6137e+04,,1
2s22p23s,4P,2s22p3,4S°,2.4795e-09,4.6498e-22,8.3322e+04,1.6362e+03,0.0000e+00,0.0000e+00,3
2s22p24d,2D,2s22p23p,2D°,1.1346e-05,1.3125e-10,1.1046e+05,1.7960e+02,9.6826e+04,1.9441e+03,4
2s22p24d,2D,2s22p23p,2P°,3.3429e-06,1.2075e-11,1.1045e+05,1.7960e+02,9.7794e+04,4.2388e+02,3
2s22p24d,2D,2s22p24p,2D°,5.4177e-06,2.9154e-11,1.1046e+05,1.7960e+02,1.0722e+05,1.6482e+03,4
2s22p24d,2D,2s22p24p,2P°,8.8716e-07,8.7155e-13,1.1045e+05,1.7960e+02,1.0762e+05,5.2838e+02,3
2s22p24d,2D,2s22p3,2P°,6.2054e-08,4.1328e-15,1.1045e+05,1.7960e+02,2.8839e+04,4.9665e-02,3
2s22p24d,2F,2s22p23p,2D°,3.5391e-06,2.5289e-11,1.1031e+05,1.9333e+03,9.6839e+04,1.9441e+03,3
2s22p24d,2F,2s22p24p,2D°,1.2883e-06,3.4232e-12,1.1031e+05,1.9333e+03,1.0723e+05,1.6482e+03,3
2s22p24d,2F,2s22p3,2D°,8.9692e-08,1.6144e-14,1.1031e+05,1.9333e+03,1.9227e+04,2.5305e+01,3
2s22p24d,2P,2s22p23p,2D°,4.4857e-06,3.2805e-11,1.1023e+05,2.0960e+02,9.6813e+04,1.9441e+03,3
2s22p24d,2P,2s22p23p,2S°,2.7703e-07,1.0600e-17,1.1023e+05,3.1440e+02,9.3582e+04,0.0000e+00,2
2s22p24d,2P,2s22p24p,2D°,4.1442e-06,2.7649e-11,1.1023e+05,2.0960e+02,1.0721e+05,1.6482e+03,3
2s22p24d,2P,2s22p24p,2P°,7.3722e-06,3.0124e-11,1.1023e+05,2.0960e+02,1.0761e+05,5.2838e+02,4
2s22p24d,2P,2s22p24p,2S°,2.4512e-07,1.1550e-17,1.1023e+05,3.1440e+02,1.0648e+05,0.0000e+00,2
