Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p53d,2[3/2]°,2s22p53p,2[1/2],1.7663e-06,2.9049e-11,1.6203e+05,1.7626e+05,1.5041e+05,3.0670e+06,12
2s22p53d,2[3/2]°,2s22p53p,2[3/2],8.3978e-07,7.1417e-13,1.6202e+05,1.7334e+05,1.5052e+05,1.0094e+05,16
2s22p53d,2[3/2]°,2s22p53p,2[5/2],5.5642e-06,1.1291e-10,1.6202e+05,1.9609e+05,1.4977e+05,7.4533e+03,6
2s22p53d,2[3/2]°,2s22p6,1S,1.8657e-08,7.5816e-17,1.6204e+05,3.1925e+05,0.0000e+00,0.0000e+00,2
2s22p53d,2[5/2]°,2s22p53p,2[1/2],1.6623e-05,1.3345e-10,1.6217e+05,1.6756e+05,1.4918e+05,2.5774e+06,3
2s22p53d,2[5/2]°,2s22p53p,2[3/2],1.0605e-06,6.2407e-12,1.6205e+05,1.3706e+05,1.5054e+05,9.6784e+04,12
2s22p53d,2[5/2]°,2s22p53p,2[5/2],2.1344e-05,2.7800e-09,1.6205e+05,1.4357e+05,1.4974e+05,7.9857e+03,8
2s22p53p,2[1/2],2s22p53s,2[1/2]°,1.9455e-06,9.7044e-12,1.5041e+05,3.3737e+06,1.3553e+05,3.0535e+05,6
2s22p53p,2[1/2],2s22p53s,2[3/2]°,2.5492e-07,1.7910e-13,1.5041e+05,3.3737e+06,1.3432e+05,4.6470e+04,6
2s22p53p,2[3/2],2s22p53s,2[1/2]°,1.3472e-07,3.7701e-14,1.5049e+05,1.1933e+05,1.3553e+05,3.0535e+05,6
2s22p53p,2[3/2],2s22p53s,2[3/2]°,2.9815e-07,2.4189e-13,1.5052e+05,1.0815e+05,1.3425e+05,4.9789e+04,8
2s22p53s,2[1/2]°,2s22p6,1S,1.7007e-09,,1.3589e+05,,0.0000e+00,,1
2s22p54d,2[3/2]°,2s22p53p,2[1/2],8.3467e-07,3.8309e-13,1.6745e+05,1.6739e+05,1.5036e+05,3.3311e+06,11
2s22p54d,2[3/2]°,2s22p53p,2[3/2],3.1272e-06,8.9649e-12,1.6738e+05,1.6325e+05,1.5053e+05,1.0506e+05,15
2s22p54d,2[3/2]°,2s22p54p,2[1/2],1.4303e-05,1.6095e-09,1.6741e+05,1.6695e+05,1.6336e+05,4.5801e+05,12
