Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p33p,1D,2s22p33s,1D°,3.1665e-07,1.7624e-13,1.2261e+05,7.1567e+07,1.0266e+05,0.0000e+00,2
2s22p33p,1F,2s22p33s,1D°,3.4130e-08,,1.1400e+05,,1.0266e+05,,1
2s22p33p,1P,2s22p33s,1D°,2.2884e-07,6.9267e-14,1.2044e+05,1.0459e+08,1.0266e+05,0.0000e+00,2
2s22p33p,3D,2s22p33s,3D°,2.9288e-06,1.6573e-11,1.2029e+05,5.2708e+07,1.0115e+05,6.2807e+01,14
2s22p33p,3D,2s22p33d,3D°,1.7767e-04,1.7016e-08,1.1330e+05,2.8857e+00,9.7488e+04,4.2952e-03,7
2s22p33p,3D,2s22p34d,3D°,2.0521e-05,2.2697e-10,1.1330e+05,2.8857e+00,1.0291e+05,2.2420e-03,7
2s22p33s,1D°,2s22p4,1D,1.8939e-09,,1.0266e+05,,1.5868e+04,,1
2s22p33s,1D°,2s22p4,3P,2.7068e-05,6.4635e-10,1.0266e+05,0.0000e+00,7.9132e+01,1.2524e+04,2
2s22p33s,3D°,2s22p33p,3P,1.2390e-04,4.5068e-08,1.0115e+05,6.2321e+01,8.8631e+04,9.9138e-02,6
2s22p33s,3D°,2s22p4,1D,9.5926e-04,2.3604e-06,1.0115e+05,1.0164e+02,1.5868e+04,0.0000e+00,3
2s22p33s,3D°,2s22p4,1S,1.1050e-04,,1.0116e+05,,3.3793e+04,,1
2s22p33s,3D°,2s22p4,3P,3.3471e-08,3.5395e-15,1.0115e+05,6.2321e+01,9.0584e+01,1.0476e+04,6
2s22p34s,3D°,2s22p4,3P,1.3216e-07,5.5927e-14,1.2243e+05,6.9687e+01,9.0584e+01,1.0476e+04,6
2s22p33d,1D°,2s22p4,1D,8.5470e-09,,1.2432e+05,,1.5868e+04,,1
2s22p33d,1F°,2s22p4,1D,8.1301e-09,,1.2433e+05,,1.5868e+04,,1
2s22p33d,3P°,2s22p33p,3P,1.7852e-06,7.6866e-13,1.2334e+05,1.3380e+03,8.8631e+04,1.1541e-01,6
2s22p33d,3P°,2s22p34p,3P,4.8372e-06,5.6301e-12,1.2334e+05,1.3380e+03,9.9681e+04,1.7447e-02,6
2s22p33d,3P°,2s22p4,3P,8.0178e-08,1.5597e-15,1.2334e+05,1.3380e+03,1.1696e+02,8.9163e+03,6
2s22p33d,3S°,2s22p33p,3P,3.1702e-06,7.1054e-12,1.2434e+05,0.0000e+00,8.8631e+04,1.4163e-01,3
2s22p33d,3S°,2s22p34p,3P,5.6397e-06,2.2501e-11,1.2434e+05,0.0000e+00,9.9681e+04,3.1740e-02,3
2s22p33d,3S°,2s22p4,3P,3.6476e-08,9.3889e-16,1.2434e+05,0.0000e+00,1.2841e+02,1.3548e+04,3
2s22p34d,1D°,2s22p4,1D,1.4970e-08,,1.2973e+05,,1.5868e+04,,1
2s22p34d,1F°,2s22p4,1D,1.4184e-08,,1.2974e+05,,1.5868e+04,,1
2s22p34d,3P°,2s22p33p,3P,8.8064e-06,1.8666e-11,1.2998e+05,3.4403e+01,8.8631e+04,1.1541e-01,6
2s22p34d,3P°,2s22p34p,3P,1.8363e-05,8.1237e-11,1.2998e+05,3.4403e+01,9.9681e+04,1.7447e-02,6
2s22p34d,3P°,2s22p4,3P,1.2392e-08,3.7012e-17,1.2998e+05,3.4403e+01,1.1696e+02,8.9163e+03,6
2s22p34d,3S°,2s22p33p,3P,4.1470e-06,1.2190e-11,1.2974e+05,3.1764e-22,8.8631e+04,1.4163e-01,3
2s22p34d,3S°,2s22p34p,3P,7.0687e-06,3.5360e-11,1.2974e+05,3.1764e-22,9.9681e+04,3.1740e-02,3
2s22p34d,3S°,2s22p4,3P,9.9669e-08,7.0320e-15,1.2974e+05,3.1764e-22,1.2841e+02,1.3548e+04,3
2s22p34s,1D°,2s22p4,1D,7.5188e-09,,1.2280e+05,,1.5868e+04,,1
2s22p33d,1P°,2s22p4,1D,4.9020e-08,,1.2427e+05,,1.5868e+04,,1
2s22p33d,3D°,2s22p33p,3P,8.9697e-06,4.0815e-10,1.1884e+05,2.9624e+08,8.8631e+04,9.1244e-02,17
2s22p33d,3D°,2s22p34p,3P,2.2958e-05,1.9465e-09,1.3049e+05,5.1214e+07,9.9681e+04,1.5795e-02,11
2s22p33d,3D°,2s22p4,3P,1.4676e-07,6.4715e-14,1.1990e+05,2.9913e+08,9.0584e+01,9.2437e+03,18
2s22p34d,1P°,2s22p4,1D,5.8824e-08,,1.2968e+05,,1.5868e+04,,1
2s22p34d,3D°,2s22p33p,3P,6.4961e-06,3.8217e-11,1.2392e+05,3.1374e+08,8.8631e+04,9.5290e-02,16
2s22p34d,3D°,2s22p34p,3P,3.1269e-05,1.8682e-09,1.2263e+05,3.0735e+08,9.9681e+04,1.6886e-02,15
2s22p34d,3D°,2s22p4,3P,3.1270e-07,3.4278e-13,1.2532e+05,2.9895e+08,9.0584e+01,9.2437e+03,18
2s22p33s,1P°,2s22p4,1D,1.9763e-09,,1.1592e+05,,1.5868e+04,,1
2s22p33s,1P°,2s22p4,1S,4.8544e-09,,1.1592e+05,,3.3793e+04,,1
