Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
6s26p6d,2[3/2]°,6s26p2,"(1/2,1/2)",6.8027e-09,,4.6068e+04,,0.0000e+00,,1
6s26p6d,2[3/2]°,6s26p2,"(3/2,1/2)",2.9181e-08,4.5441e-16,4.6063e+04,1.9264e+01,8.7630e+03,2.6716e+06,3
6s26p6d,2[3/2]°,6s26p2,"(3/2,3/2)",1.0870e-08,,4.6068e+04,,2.1458e+04,,1
6s26p6d,2[5/2]°,6s26p2,"(3/2,1/2)",3.4122e-06,3.4597e-11,4.5738e+04,2.6137e+05,9.7066e+03,2.6716e+06,3
6s26p6d,2[5/2]°,6s26p2,"(3/2,3/2)",5.5952e-07,1.4994e-13,4.5886e+04,3.9205e+05,2.1458e+04,0.0000e+00,2
6s26p7s,"(1/2,1/2)°",6s26p2,"(3/2,1/2)",1.6553e-08,1.6562e-16,3.5178e+04,3.5712e+04,8.7630e+03,2.6716e+06,3
6s26p7s,"(1/2,1/2)°",6s26p2,"(1/2,1/2)",2.0408e-08,,3.5287e+04,,0.0000e+00,,1
6s26p7s,"(1/2,1/2)°",6s26p2,"(3/2,3/2)",1.1765e-06,,3.5287e+04,,2.1458e+04,,1
6s26p7s,"(3/2,1/2)°",6s26p2,"(1/2,1/2)",1.6949e-07,,4.9440e+04,,0.0000e+00,,1
6s26p7s,"(3/2,1/2)°",6s26p2,"(3/2,1/2)",2.8665e-08,1.7861e-16,4.8814e+04,5.2166e+05,9.2348e+03,2.6716e+06,4
6s26p7s,"(3/2,1/2)°",6s26p2,"(3/2,3/2)",2.0279e-08,2.1386e-16,4.9023e+04,5.2166e+05,2.4127e+04,2.1382e+07,3
6s26p8s,"(1/2,1/2)°",6s26p2,"(1/2,1/2)",9.8039e-08,,4.8687e+04,,0.0000e+00,,1
6s26p8s,"(1/2,1/2)°",6s26p2,"(3/2,1/2)",1.4883e-07,1.8076e-14,4.8687e+04,0.0000e+00,9.2348e+03,4.0075e+06,2
6s26p8s,"(1/2,1/2)°",6s26p2,"(3/2,3/2)",5.1843e-08,7.6716e-16,4.8687e+04,0.0000e+00,2.5462e+04,3.2072e+07,2
