Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d8,"(4,1)",5d86s6p,5F°,3.5714e-08,,5.6784e+04,,4.0194e+04,,1
5d8,"(4,1)",5d86s6p,b 5F°,2.6852e-08,2.0748e-16,5.6212e+04,6.5403e+05,3.8536e+04,0.0000e+00,2
5d8,"(4,1)",5d86s6p,5G°,8.3333e-09,,5.5641e+04,,3.6782e+04,,1
5d86s6p,3P°,5d96s,3D,6.8027e-08,,4.0874e+04,,1.0132e+04,,1
5d86s6p,a 3D°,5d10,1S,8.4034e-08,,4.1803e+04,,6.1402e+03,,1
5d86s6p,a 3D°,5d86s2,3F,4.4122e-07,1.4933e-13,4.5104e+04,1.2273e+07,8.8141e+03,5.5135e+07,3
5d86s6p,a 3D°,5d86s2,3P,1.9231e-06,,4.1803e+04,,1.8567e+04,,1
5d86s6p,a 3D°,5d96s,3D,1.0413e-07,1.0695e-14,4.5764e+04,9.0033e+06,4.6534e+03,2.0162e+07,5
5d86s6p,a 3D°,5d96s,a 1D,4.2487e-08,1.2058e-16,4.3267e+04,4.2853e+06,7.7588e+02,0.0000e+00,2
5d86s6p,a 3D°,5d96s,b 1D,4.2014e-06,3.4146e-11,4.3267e+04,4.2853e+06,1.3496e+04,0.0000e+00,2
5d86s6p,a 3F°,5d86s2,3F,2.6129e-06,7.4698e-12,3.8816e+04,0.0000e+00,1.2809e+04,1.4500e+07,2
5d86s6p,a 3F°,5d96s,3D,1.8754e-07,3.9063e-15,4.5046e+04,1.1644e+08,5.5664e+03,2.6415e+07,3
5d86s6p,a 3F°,5d96s,a 1D,1.6835e-08,,3.8816e+04,,7.7588e+02,,1
5d86s6p,a 3F°,5d96s,b 1D,1.2048e-06,,3.8816e+04,,1.3496e+04,,1
5d86s6p,3G°,5d86s2,3F,3.4375e-09,6.2717e-18,4.9616e+04,1.5937e+07,8.2366e+02,0.0000e+00,2
5d86s6p,a 3D°,5d86s2,1G,5.8824e-07,,4.4730e+04,,2.1967e+04,,1
5d86s6p,b 3D°,5d86s2,3F,6.6667e-07,,4.6622e+04,,1.0117e+04,,1
5d86s6p,b 3D°,5d96s,3D,5.4178e-08,6.7890e-15,4.8264e+04,8.0787e+06,2.1892e+03,1.4377e+07,3
5d86s6p,b 3D°,5d96s,b 1D,2.3810e-07,,4.6622e+04,,1.3496e+04,,1
5d86s6p,b 3F°,5d96s,3D,5.0000e-09,,6.1645e+04,,1.0132e+04,,1
5d86s6p,3D°,5d96s,a 1D,3.5714e-08,,5.8327e+04,,7.7588e+02,,1
5d86s6p,3F°,5d86s2,3F,8.4034e-09,,4.8352e+04,,8.2366e+02,,1
5d86s6p,3F°,5d96s,3D,2.3810e-08,,4.8352e+04,,0.0000e+00,,1
5d86s6p,5D°,5d10,1S,3.1546e-08,,4.3188e+04,,6.1402e+03,,1
5d86s6p,5D°,5d86s2,3F,2.3325e-06,3.0294e-12,3.7954e+04,4.7377e+07,1.0609e+04,7.1816e+07,3
5d86s6p,5D°,5d86s2,3P,3.9283e-06,2.2444e-11,4.3379e+04,8.7822e+06,1.8039e+04,8.3541e+05,3
5d86s6p,5D°,5d96s,3D,1.4315e-06,4.6566e-12,4.0221e+04,2.9790e+07,5.5664e+03,2.1132e+07,6
5d86s6p,5D°,5d96s,a 1D,5.1989e-08,2.9033e-15,4.1852e+04,3.5687e+06,7.7588e+02,0.0000e+00,2
5d86s6p,5D°,5d96s,b 1D,1.1962e-06,8.5977e-13,4.1852e+04,3.5687e+06,1.3496e+04,0.0000e+00,2
5d86s6p,5F°,5d86s2,3F,9.2720e-07,2.0096e-12,4.3028e+04,6.0212e+06,8.8141e+03,5.5135e+07,3
5d86s6p,5F°,5d86s2,3P,3.2258e-06,,4.4444e+04,,1.8567e+04,,1
5d86s6p,5F°,5d96s,3D,8.3960e-08,3.6355e-16,4.4444e+04,0.0000e+00,5.5664e+03,2.6415e+07,3
5d86s6p,5F°,5d96s,a 1D,6.5789e-08,,4.4444e+04,,7.7588e+02,,1
5d86s6p,5F°,5d96s,b 1D,2.7027e-07,,4.4444e+04,,1.3496e+04,,1
