Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
6d7p,1D°,7s6d,1D,2.8571e-08,,3.0918e+04,,1.7081e+04,,1
6d7p,1D°,7s6d,3D,1.5925e-07,1.6472e-14,3.0918e+04,0.0000e+00,1.4212e+04,4.9155e+05,2
6d7p,3D°,7s6d,3D,2.6611e-08,1.5693e-17,3.2852e+04,2.3865e+05,1.4351e+04,2.5443e+05,2
6d7p,3F°,7s6d,3D,6.5520e-08,1.2842e-15,2.9736e+04,3.2459e+06,1.4224e+04,2.0782e+05,5
7s6d,1D,7s7p,3P°,4.0000e-04,,1.7081e+04,,1.3999e+04,,1
7s7d,3D,7s7p,3P°,2.5914e-08,1.4128e-17,3.2095e+04,2.0781e+04,1.5344e+04,3.6159e+06,2
7s7p,1P°,7s2,1S,5.6497e-09,,2.0716e+04,,0.0000e+00,,1
7s7p,1P°,7s6d,3D,3.0303e-05,,2.0716e+04,,1.3716e+04,,1
7s7p,3P°,7s2,1S,4.2194e-07,,1.3999e+04,,0.0000e+00,,1
7s8s,3S,7s7p,3P°,6.8422e-08,1.8318e-15,2.6754e+04,0.0000e+00,1.4589e+04,3.5188e+06,3
