Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p33d,1P°,3s23p4,1S,1.4493e-08,,8.1438e+04,,2.2180e+04,,1
3s23p34p,1F,3s23p34s,1D°,4.8309e-08,,7.8640e+04,,6.9238e+04,,1
3s23p34p,1P,3s23p34s,1D°,7.6336e-08,,7.7855e+04,,6.9238e+04,,1
3s23p34p,3D,3s23p34s,3D°,3.0996e-07,1.2063e-13,7.8167e+04,6.1937e+02,6.7828e+04,1.2277e+02,7
3s23p34p,3F,3s23p34s,3D°,9.1220e-06,4.6624e-10,7.8427e+04,4.6629e+02,6.7833e+04,1.3803e+02,6
3s23p34p,3P,3s23p34s,3D°,1.3593e-06,8.1945e-12,7.9393e+04,3.6299e+02,6.7824e+04,1.0676e+02,6
3s23p34p,3P,3s23p34s,3S°,3.5615e-07,1.1593e-13,7.2145e+04,6.3151e+07,5.5331e+04,0.0000e+00,6
3s23p34p,3P,3s23p35s,3S°,2.6853e-06,3.6070e-14,7.9400e+04,4.6891e+02,7.1351e+04,0.0000e+00,3
3s23p34p,3P,3s23p36s,3S°,7.6064e-06,5.5006e-13,7.9400e+04,4.6891e+02,7.6721e+04,0.0000e+00,3
3s23p34p,3P,3s23p37s,3S°,2.1617e-04,5.4384e-09,7.9400e+04,4.6891e+02,7.9185e+04,0.0000e+00,3
3s23p34s,1D°,3s23p4,1D,2.1834e-09,,6.9238e+04,,9.2386e+03,,1
3s23p34s,1D°,3s23p4,3P,3.8610e-07,,6.9238e+04,,0.0000e+00,,1
3s23p34s,3D°,3s23p4,1D,5.0731e-06,1.8690e-11,6.7830e+04,3.5155e+02,9.2386e+03,0.0000e+00,2
3s23p34s,3D°,3s23p4,3P,4.0003e-08,5.1119e-15,6.7824e+04,1.0676e+02,2.2762e+02,6.6381e+04,6
3s23p34s,1P°,3s23p4,1D,2.0000e-09,,7.8288e+04,,9.2386e+03,,1
3s23p34s,1P°,3s23p4,1S,8.6207e-09,,7.8288e+04,,2.2180e+04,,1
3s23p34s,3P°,3s23p4,3P,5.2969e-09,5.8812e-18,7.7158e+04,3.5250e+02,2.9363e+02,5.6463e+04,6
3s23p34s,3P°,3s23p4,1D,4.0161e-07,,7.7181e+04,,9.2386e+03,,1
3s23p33d,3D°,3s23p34p,3P,1.0345e-06,3.4368e-12,7.0167e+04,1.3188e+01,6.4891e+04,3.1521e+00,6
3s23p33d,3D°,3s23p4,3P,2.0538e-08,1.3470e-15,7.0167e+04,1.3188e+01,2.2762e+02,6.6381e+04,6
3s23p33d,3D°,3s23p4,1D,1.3928e-06,,7.0166e+04,,9.2386e+03,,1
3s23p33d,5D°,3s23p34p,5P,9.4534e-07,1.4607e-12,6.7886e+04,1.4405e+01,6.3459e+04,1.6045e+02,9
3s23p33d,5D°,3s23p4,3P,2.2892e-07,8.1699e-14,6.7888e+04,1.0040e+01,2.8682e+02,1.6453e+05,2
3s23p34d,3D°,3s23p34p,3P,3.5497e-06,4.0158e-11,7.5953e+04,3.2945e+00,6.4891e+04,3.1521e+00,6
3s23p34d,3D°,3s23p35p,3P,7.1576e-06,1.6400e-10,7.5953e+04,3.2945e+00,7.4269e+04,1.4657e+00,6
3s23p34d,3D°,3s23p4,3P,9.1787e-08,2.6312e-14,7.5953e+04,3.2945e+00,2.2762e+02,6.6381e+04,6
3s23p34d,3D°,3s23p4,1D,6.6007e-05,9.4914e-14,7.5954e+04,8.7362e+00,9.2386e+03,0.0000e+00,2
3s23p34d,5D°,3s23p34p,5P,3.1688e-07,1.6193e-13,7.4975e+04,1.2477e+00,6.3459e+04,1.6045e+02,9
3s23p34d,5D°,3s23p35p,5P,1.4432e-05,3.4283e-10,7.4975e+04,1.2477e+00,7.3916e+04,1.7998e+01,9
3s23p34f,3F,3s23p33d,3D°,2.5434e-06,3.2011e-11,7.6656e+04,2.7480e-04,7.0170e+04,2.0926e+01,6
3s23p34f,3F,3s23p34d,3D°,5.1705e-04,1.3253e-06,7.6656e+04,2.7480e-04,7.5954e+04,5.6028e+00,6
3s23p34f,5F,3s23p33d,5D°,6.8833e-07,1.4634e-12,7.6655e+04,9.0427e-04,6.7885e+04,2.3899e+01,12
3s23p34f,5F,3s23p34d,5D°,1.0237e-05,3.4688e-10,7.6655e+04,9.0427e-04,7.4975e+04,1.4942e+00,12
3s23p34p,5P,3s23p34s,5S°,3.6015e-08,2.2324e-20,6.3459e+04,2.1394e+02,5.2624e+04,7.9409e-23,3
3s23p34s,3S°,3s23p4,3P,8.8789e-09,6.0710e-17,5.5331e+04,0.0000e+00,3.2323e+02,8.6243e+04,3
3s23p34s,5S°,3s23p4,3P,3.0417e-05,5.3218e-10,5.2624e+04,0.0000e+00,1.9803e+02,7.8430e+04,2
3s23p35d,3D°,3s23p34f,3F,3.6677e-04,7.0772e-07,7.8692e+04,1.7998e-01,7.6656e+04,2.7480e-04,6
3s23p35d,3D°,3s23p35p,3P,3.3638e-05,3.6290e-09,7.8692e+04,3.3474e-01,7.4269e+04,1.4657e+00,6
3s23p35d,3D°,3s23p36p,3P,2.7303e-05,2.3042e-09,7.8692e+04,3.3474e-01,7.7900e+04,1.2810e+02,6
3s23p35d,3D°,3s23p4,3P,2.8801e-07,2.5499e-13,7.8692e+04,3.3474e-01,2.2762e+02,6.6381e+04,6
