Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5s25p5d,1D°,5s25p2,1D,3.3333e-08,,4.7146e+04,,8.6130e+03,,1
5s25p5d,1D°,5s25p2,3P,3.3370e-08,2.4746e-18,4.7146e+04,0.0000e+00,2.5597e+03,1.5066e+06,2
5s25p5d,1F°,5s25p2,1D,4.0000e-09,,4.9894e+04,,8.6130e+03,,1
5s25p5d,1P°,5s25p2,1D,5.5556e-08,,5.0126e+04,,8.6130e+03,,1
5s25p5d,1P°,5s25p2,1S,1.6129e-08,,5.0126e+04,,1.7162e+04,,1
5s25p5d,3D°,5s25p2,1D,5.8995e-08,1.0496e-15,4.5380e+04,3.3642e+06,8.6130e+03,0.0000e+00,3
5s25p5d,3D°,5s25p2,1S,2.4390e-07,,4.4509e+04,,1.7162e+04,,1
5s25p5d,3D°,5s25p2,3P,3.6578e-07,3.1731e-13,4.4884e+04,1.6592e+06,2.2778e+03,1.9684e+06,6
5s25p5d,3F°,5s25p2,1D,4.2929e-08,3.1885e-16,4.4129e+04,3.9896e+05,8.6130e+03,0.0000e+00,2
5s25p5d,3F°,5s25p2,3P,1.2562e-07,2.9514e-14,4.3980e+04,2.6598e+05,2.8491e+03,1.0044e+06,3
5s25p5d,3P°,5s25p2,1D,4.6261e-07,3.9869e-13,4.8826e+04,4.8836e+04,8.6130e+03,0.0000e+00,2
5s25p5d,3P°,5s25p2,1S,5.2632e-08,,4.8982e+04,,1.7162e+04,,1
5s25p5d,3P°,5s25p2,3P,1.7857e-08,,4.8669e+04,,3.4277e+03,,1
5s25p6d,3D°,5s25p2,1S,1.2048e-08,,5.1475e+04,,1.7162e+04,,1
5s25p6d,3F°,5s25p2,1D,5.0000e-09,,5.1755e+04,,8.6130e+03,,1
5s25p6s,1P°,5s25p2,1D,3.7037e-09,,3.9257e+04,,8.6130e+03,,1
5s25p6s,1P°,5s25p2,1S,3.8462e-08,,3.9257e+04,,1.7162e+04,,1
5s25p6s,1P°,5s25p2,3P,6.9264e-08,9.3701e-16,3.9257e+04,0.0000e+00,8.4590e+02,1.4311e+06,2
5s25p6s,3P°,5s25p2,3P,1.3478e-08,6.6937e-17,3.6107e+04,3.8275e+06,1.9885e+03,1.6721e+06,6
5s25p6s,3P°,5s25p2,1D,4.2857e-08,1.0204e-16,3.6772e+04,6.8991e+06,8.6130e+03,0.0000e+00,2
5s25p6s,3P°,5s25p2,1S,4.1667e-07,,3.4914e+04,,1.7162e+04,,1
5s25p7d,b 3D°,5s25p2,1S,9.0909e-08,,5.5073e+04,,1.7162e+04,,1
5s25p7p,3P,5s25p6s,3P°,1.9505e-07,6.4145e-16,5.2197e+04,3.9887e+06,3.5775e+04,3.6376e+06,4
5s25p7p,3S,5s25p6s,3P°,1.0417e-07,,5.5374e+04,,3.8629e+04,,1
5s25p7s,1P°,5s25p2,1S,4.3478e-08,,5.2707e+04,,1.7162e+04,,1
5s25p7s,3P°,5s25p2,1D,1.3514e-07,,4.8222e+04,,8.6130e+03,,1
5s25p7s,3P°,5s25p2,1S,2.1277e-07,,4.8222e+04,,1.7162e+04,,1
5s25p7s,3P°,5s25p2,3P,2.7778e-07,,4.8222e+04,,0.0000e+00,,1
5s5p3,5S°,5s25p2,1D,8.3333e-06,,3.9626e+04,,8.6130e+03,,1
5s5p3,5S°,5s25p2,3P,2.7027e-06,,3.9626e+04,,3.4277e+03,,1
