Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4d2,1D,5s5p,1P°,1.1236e-08,,3.6961e+04,,2.1698e+04,,1
4d2,3P,5s5p,3P°,1.6949e-08,,4.4596e+04,,1.4318e+04,,1
4d5p,1D°,5s4d,1D,2.5641e-08,,3.3827e+04,,2.0150e+04,,1
4d5p,1D°,5s4d,3D,4.2949e-07,1.1251e-13,3.3827e+04,0.0000e+00,1.8239e+04,1.2835e+04,2
4d5p,1F°,5s4d,1D,3.3333e-06,,3.8008e+04,,2.0150e+04,,1
4d5p,1P°,5s2,1S,5.8824e-08,,4.1172e+04,,0.0000e+00,,1
4d5p,1P°,5s4d,1D,4.7619e-08,,4.1172e+04,,2.0150e+04,,1
4d5p,1P°,5s5d,1D,1.2500e-06,,4.1172e+04,,3.4727e+04,,1
4d5p,3D°,5s4d,3D,3.7100e-08,5.3338e-16,3.6399e+04,1.4796e+04,1.8230e+04,4.3970e+03,7
4d5p,3F°,5s4d,1D,1.0641e-06,1.7518e-12,3.3428e+04,5.2119e+04,2.0150e+04,0.0000e+00,2
4d5p,3F°,5s4d,3D,1.2892e-07,1.1487e-14,3.3526e+04,7.4282e+04,1.8247e+04,4.9431e+03,5
4d5p,3P°,5s4d,3D,1.2516e-07,5.0456e-14,3.7323e+04,3.4395e+02,1.8215e+04,4.2905e+03,5
4d5p,3P°,5s4d,1D,3.3333e-06,,3.7337e+04,,2.0150e+04,,1
5p2,3P,5s5p,3P°,2.4466e-08,8.9777e-17,3.5537e+04,2.5123e+04,1.4556e+04,5.9852e+04,4
5s4f,1F°,5s4d,1D,3.7037e-08,,3.9539e+04,,2.0150e+04,,1
5s4f,1F°,5s5d,1D,2.5641e-07,,3.9539e+04,,3.4727e+04,,1
5s4f,3F°,5s4d,3D,9.1928e-08,8.1526e-15,3.8752e+04,3.8175e+00,1.8247e+04,4.9431e+03,5
5s5d,1D,5s5p,1P°,1.5152e-07,,3.4727e+04,,2.1698e+04,,1
5s5d,3D,5s5p,3P°,1.5880e-07,8.9916e-14,3.5018e+04,2.2609e+02,1.4670e+04,6.7168e+04,6
5s5f,1F°,5s4d,1D,5.2632e-08,,4.1519e+04,,2.0150e+04,,1
5s5f,1F°,5s5d,1D,1.6393e-06,,4.1519e+04,,3.4727e+04,,1
5s5p,1P°,5s2,1S,4.9751e-09,,2.1698e+04,,0.0000e+00,,1
5s5p,3P°,5s2,1S,2.1322e-05,,1.4504e+04,,0.0000e+00,,1
5s6f,1F°,5s4d,1D,8.3333e-08,,4.2840e+04,,2.0150e+04,,1
5s6p,1P°,5s2,1S,5.2632e-07,,3.4098e+04,,0.0000e+00,,1
5s6p,1P°,5s4d,1D,1.0638e-07,,3.4098e+04,,2.0150e+04,,1
5s6p,1P°,5s4d,3D,7.1429e-05,,3.4098e+04,,1.8159e+04,,1
5s6p,3P°,5s4d,3D,1.9287e-07,3.2565e-14,3.3907e+04,3.6462e+03,1.8215e+04,4.2905e+03,5
5s6p,3P°,5s4d,1D,3.9583e-07,1.0503e-13,3.3921e+04,5.4861e+03,2.0150e+04,0.0000e+00,2
5s6s,3S,5s5p,3P°,5.7735e-08,2.2816e-15,2.9039e+04,0.0000e+00,1.4573e+04,8.7985e+04,3
5s7f,1F°,5s4d,1D,1.2987e-07,,4.3656e+04,,2.0150e+04,,1
5s7p,1P°,5s2,1S,1.8868e-07,,3.8907e+04,,0.0000e+00,,1
5s7p,1P°,5s4d,1D,5.8824e-08,,3.8907e+04,,2.0150e+04,,1
5s7s,3S,5s5p,3P°,1.6340e-07,1.9377e-14,3.7425e+04,0.0000e+00,1.4573e+04,8.7985e+04,3
