Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d26s26p,z 4D°,5d36s2,a 4F,4.6196e-06,3.4369e-11,2.0280e+04,2.3637e+06,1.9913e+03,3.9284e+06,3
5d26s26p,z 4D°,5d36s2,a 4P,5.6944e-06,1.9208e-11,1.9392e+04,2.3637e+06,6.0624e+03,1.2662e+02,3
5d26s26p,z 2D°,5d36s2,a 4F,8.3333e-07,,2.0772e+04,,0.0000e+00,,1
5d26s26p,z 2D°,5d36s2,a 4P,3.3333e-05,,2.0772e+04,,6.0689e+03,,1
5d36s6p,y 4D°,5d36s2,a 2P,8.8889e-06,9.8765e-12,2.5513e+04,0.0000e+00,1.1371e+04,3.5441e+05,2
5d36s6p,y 4D°,5d36s2,a 4F,1.3178e-06,9.8938e-13,2.7107e+04,1.3621e+06,1.3307e+03,2.6339e+06,6
5d36s6p,y 4D°,5d36s2,a 4P,7.1719e-07,1.5030e-13,2.6670e+04,1.4305e+06,6.5932e+03,1.6986e+06,6
5d36s6p,y 4D°,5d46s,a 6D,2.5462e-06,3.6369e-12,2.6902e+04,1.3862e+06,1.0594e+04,1.2227e+06,5
5d36s6p,z 4F°,5d36s2,a 4F,7.3545e-07,1.2030e-14,2.2609e+04,1.1371e+06,1.0050e+03,2.0203e+06,2
5d36s6p,z 4F°,5d36s2,a 4P,8.6236e-06,7.5190e-11,2.2609e+04,7.5804e+05,6.8602e+03,2.5457e+06,4
5d36s6p,z 4F°,5d46s,a 6D,1.2234e-05,3.4010e-11,2.2609e+04,7.5804e+05,1.0239e+04,4.5942e+05,4
5d36s6p,z 4F°,5d36s2,a 2G,1.2987e-05,,2.3363e+04,,9.7054e+03,,1
5d36s6p,z 4F°,5d36s2,a 2P,5.0000e-05,,2.3363e+04,,1.0950e+04,,1
5d36s6p,z 6D°,5d36s2,a 2P,1.7976e-06,3.1308e-12,2.5767e+04,2.1130e+06,1.0950e+04,0.0000e+00,2
5d36s6p,z 6D°,5d36s2,a 4F,2.6539e-06,1.0073e-12,2.6975e+04,2.2309e+06,3.1118e+03,4.6614e+06,5
5d36s6p,z 6D°,5d36s2,a 4P,3.7040e-06,5.5733e-12,2.6013e+04,2.3272e+06,8.4573e+03,2.5353e+06,4
5d36s6p,z 6D°,5d46s,a 6D,7.6994e-07,3.0090e-13,2.6862e+04,2.3322e+06,1.1532e+04,1.6339e+06,11
5d36s6p,z 6D°,5d36s2,a 2G,3.6364e-06,,2.7781e+04,,1.0690e+04,,1
5d36s6p,z 6D°,5d36s2,a 2H,6.3462e-06,3.6243e-12,2.8274e+04,4.8613e+05,1.5253e+04,3.8328e+04,2
5d36s6p,z 6F°,5d36s2,a 2G,5.3216e-06,2.5640e-14,2.8474e+04,7.1264e+06,1.0690e+04,0.0000e+00,2
5d36s6p,z 6F°,5d36s2,a 4F,2.0079e-06,2.4442e-12,2.8104e+04,2.5581e+06,4.3040e+03,2.9489e+06,4
5d36s6p,z 6F°,5d46s,a 6D,1.0426e-06,8.9590e-13,2.7800e+04,2.3792e+06,1.2483e+04,7.9192e+05,5
5d36s6p,z 6F°,5d36s2,a 4P,3.8462e-06,,2.6586e+04,,9.2534e+03,,1
5d36s6p,y 6D°,5d36s2,a 4F,7.6020e-07,5.3811e-13,3.2401e+04,2.9435e+06,3.1118e+03,4.6614e+06,5
5d36s6p,y 6D°,5d36s2,a 4P,2.9583e-07,1.5650e-14,3.1393e+04,9.9600e+05,7.3388e+03,3.0548e+06,5
5d36s6p,y 6D°,5d46s,a 6D,7.9384e-07,1.9177e-13,3.1758e+04,9.9600e+05,1.0935e+04,9.2999e+05,5
5d36s6p,y 6D°,5d36s2,a 2D,2.0000e-06,,3.2487e+04,,1.2866e+04,,1
5d36s6p,z 4S°,5d36s2,a 2D,3.3333e-06,,3.0895e+04,,1.2866e+04,,1
5d36s6p,z 4S°,5d36s2,a 2P,5.3191e-07,,3.0895e+04,,1.0950e+04,,1
5d36s6p,z 4S°,5d36s2,a 4P,2.3323e-07,3.9693e-15,3.0895e+04,0.0000e+00,7.6612e+03,5.0706e+06,2
5d36s6p,z 4S°,5d46s,a 6D,6.6667e-07,,3.0895e+04,,1.1244e+04,,1
5d36s6p,z 6P°,5d36s2,a 2P,1.1667e-06,5.5556e-14,3.1514e+04,4.0058e+05,1.0950e+04,0.0000e+00,2
5d36s6p,z 6P°,5d36s2,a 4P,4.1180e-07,1.1334e-14,3.1823e+04,1.0181e+06,7.6563e+03,3.4012e+06,4
5d36s6p,z 6P°,5d46s,a 6D,5.6271e-07,3.1227e-13,3.2075e+04,8.5907e+05,1.1251e+04,1.4782e+06,9
5d36s6p,z 6P°,5d36s2,a 2D,2.1277e-06,,3.1961e+04,,1.2866e+04,,1
5d36s6p,z 6P°,5d36s2,a 4F,1.1584e-06,3.3689e-13,3.2703e+04,4.5855e+05,2.7210e+03,4.5924e+06,5
5d36s6p,z 6P°,5d36s2,a 2F,3.0303e-06,,3.3198e+04,,1.7224e+04,,1
5d36s6p,z 6P°,5d36s2,a 2G,1.1111e-06,,3.3198e+04,,1.0690e+04,,1
5d46p,x 6D°,5d36s2,a 2P,2.6316e-08,,4.5256e+04,,1.0950e+04,,1
5d46p,x 6D°,5d36s2,a 4P,2.0000e-08,,4.5256e+04,,6.0689e+03,,1
5d46p,x 6D°,5d46s,a 6D,1.6949e-08,,4.5256e+04,,1.2235e+04,,1
5d46p,y 6F°,5d46s,a 6D,1.8182e-08,,3.8508e+04,,9.9758e+03,,1
