Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d3,4F°,3d34s2,2D2,1.7690e-06,8.9797e-13,3.4458e+04,1.6828e+03,1.4515e+04,0.0000e+00,2
3d3,4F°,3d34s2,a 2P,9.1355e-07,1.0265e-12,3.4448e+04,1.1219e+03,1.3805e+04,2.9197e+01,3
3d3,4F°,3d34s2,a 4F,5.6054e-07,7.7474e-13,3.4430e+04,2.6848e+03,2.0150e+02,3.5256e+04,8
3d3,4F°,3d34s2,a 4P,3.3719e-06,9.2513e-12,3.4430e+04,3.1327e+03,9.6688e+03,2.0354e+04,3
3d3,4F°,3d44s,b 4D,1.5208e-06,4.5920e-13,3.4402e+04,1.4527e+03,2.0810e+04,8.5004e+02,2
3d3,4F°,3d44s,a 2F,7.5000e-07,1.3889e-14,3.4458e+04,1.6828e+03,1.9052e+04,1.3409e+03,2
3d3,4F°,3d44s,b 2P,4.3478e-06,,3.4429e+04,,1.9189e+04,,1
3d3,4F°,3d44s,a 4D,3.7993e-07,2.7042e-14,3.4438e+04,2.5468e+03,8.5649e+03,1.4113e+04,7
3d3,4F°,3d44s,b 4F,5.1190e-06,4.7902e-12,3.4375e+04,0.0000e+00,1.5748e+04,1.0839e+03,2
3d3,4F°,3d44s,a 4G,3.8826e-06,1.1209e-11,3.4375e+04,0.0000e+00,1.7150e+04,2.1207e+03,2
3d3,4F°,3d44s,b 4P,1.9608e-06,,3.4375e+04,,1.5572e+04,,1
3d3,u 4D°,3d34s2,a 4F,3.7064e-07,6.6536e-13,3.5204e+04,1.7718e+04,1.8432e+02,4.0132e+04,8
3d3,u 4D°,3d44s,a 4D,5.7228e-07,2.0343e-13,3.5174e+04,1.8188e+04,8.5422e+03,1.2293e+04,10
3d3,u 4D°,3d44s,b 4P,1.2048e-06,,3.5379e+04,,1.5572e+04,,1
3d3,w 2F°,3d34s2,a 2G,8.1871e-08,1.7099e-15,3.7409e+04,8.7844e+03,1.0997e+04,2.1648e+04,2
3d3,w 2F°,3d34s2,a 2H,1.1111e-07,,3.7475e+04,,1.5104e+04,,1
3d3,x 4P°,3d44s,b 4P,8.0556e-08,1.8673e-15,3.6713e+04,2.0601e+04,1.5572e+04,0.0000e+00,2
3d3,x 4P°,3d44s,a 4D,2.1739e-07,,3.6612e+04,,8.7157e+03,,1
3d3,p 4F°,3d34s5s,f 4F,4.2673e-07,5.3114e-14,4.5808e+04,1.0199e+04,3.9409e+04,2.1213e+04,4
3d3,r 4G°,3d34s5s,f 4F,2.8833e-07,1.2448e-14,4.6249e+04,1.2604e+04,3.9412e+04,3.1751e+04,3
3d3,2H°,3d34s2,a 2G,7.0183e-09,1.0916e-20,4.7657e+04,4.0454e+03,1.0997e+04,2.1648e+04,2
3d3,2H°,3d34s2,a 2H,1.1275e-08,2.2932e-18,4.7657e+04,4.0454e+03,1.5184e+04,1.2968e+04,2
3d3,2H°,3d44s,2I,2.1981e-08,1.1669e-19,4.7657e+04,4.0454e+03,2.2488e+04,1.4694e+02,2
3d3,2H°,3d44s,b 2H,4.1739e-08,6.0491e-18,4.7657e+04,4.0454e+03,1.9084e+04,7.3953e+03,2
3d3,x 4F°,3d44s,a 4D,2.9911e-07,3.5874e-16,3.1293e+04,1.2177e+03,8.6471e+03,9.4126e+03,2
3d3,y 2G°,3d34s2,a 2G,2.2222e-07,,3.3307e+04,,1.1101e+04,,1
3d3,y 2G°,3d44s,b 2G,8.8496e-07,,3.3307e+04,,2.1603e+04,,1
3d3,y 4G°,3d34s2,a 4F,1.4241e-06,4.9625e-12,3.0724e+04,6.9383e+03,2.8965e+02,4.5202e+04,7
3d3,y 4G°,3d44s,b 4F,5.4918e-06,1.1641e-12,3.0777e+04,7.2386e+03,1.5728e+04,1.6884e+03,3
3d3,y 4G°,3d44s,a 4G,4.8127e-06,1.8049e-11,3.0751e+04,6.2380e+03,1.7153e+04,5.0299e+03,9
3d3,y 4G°,3d44s,a 4H,5.2226e-06,1.1481e-10,3.0766e+04,1.0374e+04,1.4985e+04,3.3718e+03,5
3d3,x 2I°,3d34s2,a 2H,2.3268e-09,5.8563e-21,5.0050e+04,1.0183e+04,1.5184e+04,1.2968e+04,2
3d3,u 2G°,3d34s2,a 2G,1.2821e-08,,3.8530e+04,,1.1101e+04,,1
3d3,u 2G°,3d44s,a 4H,7.6923e-08,,3.8530e+04,,1.4949e+04,,1
3d3,w 4G°,3d34s2,a 2G,7.6923e-08,,3.6823e+04,,1.1101e+04,,1
3d3,y 2H°,3d44s,a 4H,1.3119e-07,1.5000e-14,3.7191e+04,2.9745e+02,1.4936e+04,5.1748e+02,3
3d3,y 2H°,3d34s2,a 2G,7.5304e-07,3.4805e-14,3.7181e+04,0.0000e+00,1.0997e+04,2.1648e+04,2
3d3,y 2H°,3d44s,b 2H,5.8140e-07,,3.7181e+04,,1.9024e+04,,1
3d3,y 2I°,3d44s,b 2H,3.3333e-08,,3.9081e+04,,1.9145e+04,,1
3d3,2D°,3d34s2,a 4F,2.7027e-08,,3.4030e+04,,1.3738e+02,,1
3d3,2S°,3d34s2,a 2P,1.2987e-07,,3.1786e+04,,1.3802e+04,,1
3d3,x 4D°,3d44s,b 4P,2.2763e-07,8.6828e-15,3.2737e+04,1.7725e+04,1.5472e+04,3.0291e+04,3
3d3,x 4D°,3d34s2,a 4F,2.2962e-07,4.8046e-14,3.2891e+04,0.0000e+00,4.3819e+02,2.6340e+04,2
3d3,x 4D°,3d34s2,a 4P,6.2112e-07,,3.2891e+04,,9.8246e+03,,1
3d3,x 4D°,3d44s,a 4D,2.1739e-06,,3.2891e+04,,8.7157e+03,,1
3d35s,4F,3d3,w 4F°,1.2195e-07,,4.4869e+04,,3.3155e+04,,1
3d35s,e 2F,3d3,z 2G°,2.7778e-08,,4.4066e+04,,2.6345e+04,,1
3d3,v 4D°,3d34s2,a 4F,1.1123e-06,4.3274e-12,3.4628e+04,1.0239e+04,1.7911e+02,3.5360e+04,9
3d3,v 4D°,3d44s,b 4P,1.0975e-06,3.0858e-13,3.4584e+04,1.0899e+04,1.5254e+04,4.0844e+04,5
3d3,v 4D°,3d44s,a 4D,1.2786e-07,2.8491e-15,3.4592e+04,9.5161e+03,8.5422e+03,1.2293e+04,10
3d3,v 4D°,3d34s2,a 2P,2.2727e-06,,3.4537e+04,,1.3811e+04,,1
3d3,v 4D°,3d34s2,a 4P,3.5837e-06,1.4218e-11,3.4683e+04,8.1320e+03,9.7308e+03,1.7594e+04,2
3d3,w 4F°,3d34s2,2D2,2.1277e-06,,3.2738e+04,,1.4549e+04,,1
3d3,w 4F°,3d34s2,a 4F,3.0510e-08,6.0467e-16,3.2929e+04,2.2924e+04,2.4884e+02,4.0308e+04,10
