Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d46s6p,5D°,5d46s2,3D,4.9395e-05,1.9342e-09,2.9201e+04,1.5185e+06,1.5137e+04,7.8030e+04,3
5d46s6p,5D°,5d46s2,3F2,3.2847e-05,7.2380e-10,2.8962e+04,1.1797e+06,1.3778e+04,0.0000e+00,3
5d46s6p,5D°,5d46s2,3P2,1.2648e-05,2.1748e-10,2.8251e+04,6.6962e+05,1.2047e+04,4.7604e+06,3
5d46s6p,5D°,5d46s2,5D,1.1258e-05,3.5686e-10,2.8962e+04,8.8480e+05,3.2441e+03,3.6725e+06,9
5d46s6p,5D°,5d56s,5G,1.2040e-05,6.0587e-11,2.8846e+04,2.2777e+06,1.8687e+04,6.4912e+05,2
5d46s6p,5D°,5d46s2,3G,8.1871e-05,1.7099e-09,2.9554e+04,2.5705e+05,1.3349e+04,0.0000e+00,2
5d46s6p,5D°,5d56s,5S,8.3333e-06,,2.9196e+04,,1.8280e+04,,1
5d46s6p,5D°,5d56s,7S,7.2797e-07,2.9360e-13,2.9554e+04,2.5705e+05,2.9513e+03,0.0000e+00,2
5d46s6p,5D°,5d46s2,3H,6.9930e-06,,2.9913e+04,,1.2162e+04,,1
5d46s6p,5F°,5d46s2,3D,6.0826e-05,2.0205e-10,2.8360e+04,7.7883e+06,1.5137e+04,7.8030e+04,3
5d46s6p,5F°,5d46s2,3P2,3.8596e-05,5.5402e-11,2.6823e+04,1.4094e+06,1.3307e+04,0.0000e+00,2
5d46s6p,5F°,5d46s2,5D,1.4788e-05,9.5735e-10,2.8612e+04,6.7708e+06,3.7693e+03,6.0499e+06,8
5d46s6p,5F°,5d46s2,3F2,4.4618e-05,4.6678e-10,3.0149e+04,5.0615e+06,1.6013e+04,4.2225e+06,5
5d46s6p,5F°,5d46s2,3G,5.1868e-05,8.0816e-10,3.1068e+04,5.2366e+06,1.6535e+04,8.3980e+06,6
5d46s6p,5F°,5d56s,7S,8.6429e-07,8.4092e-13,2.9412e+04,3.6096e+06,2.9513e+03,3.1019e-25,3
5d46s6p,5F°,5d56s,5G,2.6485e-05,2.1624e-10,3.1314e+04,3.5886e+06,1.9178e+04,3.2998e+05,6
5d46s6p,5F°,5d56s,5P,3.8462e-05,,3.1433e+04,,1.9828e+04,,1
5d46s6p,5F°,5d46s2,3H,1.8667e-04,4.3022e-08,3.3370e+04,0.0000e+00,1.3616e+04,4.2281e+06,2
5d46s6p,5F°,5d56s,5D,4.0000e-05,,3.3370e+04,,2.2477e+04,,1
5d46s6p,5P°,5d46s2,3P2,2.6739e-05,5.6040e-10,2.8199e+04,0.0000e+00,1.1418e+04,7.1406e+06,2
5d46s6p,5P°,5d46s2,5D,1.5652e-06,1.0210e-11,2.9393e+04,1.0690e+06,3.2441e+03,3.6725e+06,9
5d46s6p,5P°,5d56s,5G,7.9007e-06,4.5502e-12,2.9393e+04,1.4253e+06,1.8117e+04,0.0000e+00,3
5d46s6p,5P°,5d46s2,3D,3.2778e-05,9.4537e-10,3.0189e+04,4.7461e+05,1.5137e+04,7.8030e+04,3
5d46s6p,5P°,5d56s,7S,1.6450e-07,1.0832e-14,2.9990e+04,7.1191e+05,2.9513e+03,0.0000e+00,2
5d46s6p,5P°,5d46s2,3F2,4.1667e-06,,3.0587e+04,,1.3778e+04,,1
5d46s6p,5P°,5d46s2,3G,2.5000e-05,,3.0587e+04,,1.3349e+04,,1
5d46s6p,5P°,5d56s,5S,1.0000e-05,,3.0587e+04,,1.8280e+04,,1
5d46s6p,7D°,5d46s2,3P2,1.0000e-04,,2.1454e+04,,9.5281e+03,,1
5d46s6p,7D°,5d46s2,5D,1.6782e-06,6.8543e-12,2.4943e+04,9.0313e+06,3.8576e+03,3.8341e+06,10
5d46s6p,7D°,5d56s,7S,1.3905e-06,3.9200e-12,2.6317e+04,5.8507e+06,2.9513e+03,3.1019e-25,3
5d46s6p,7D°,5d46s2,3F2,3.0303e-05,,2.6189e+04,,1.3778e+04,,1
5d46s6p,7D°,5d46s2,3H,2.2727e-04,,2.8797e+04,,1.2162e+04,,1
5d46s6p,7D°,5d46s2,3G,1.0000e-04,,2.9773e+04,,1.9826e+04,,1
5d46s6p,7D°,5d56s,5G,4.2982e-05,1.8621e-10,2.9773e+04,0.0000e+00,1.9592e+04,6.4445e+03,2
5d46s6p,7F°,5d46s2,5D,2.4807e-05,1.6994e-09,2.2549e+04,7.7625e+06,3.4193e+03,5.9148e+06,7
5d46s6p,7F°,5d46s2,3H,5.0000e-04,,2.6676e+04,,1.2162e+04,,1
5d56p,7P°,5d46s2,5D,1.6990e-05,7.4003e-10,2.6926e+04,6.0296e+05,4.2650e+03,3.2912e+06,6
5d56p,7P°,5d56s,7S,8.0665e-08,3.7346e-16,2.7203e+04,7.5000e+05,2.9513e+03,3.1019e-25,3
