Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5p55d,2[3/2]°,5p56p,2[1/2],3.4329e-06,4.7003e-12,8.7320e+04,3.9144e+07,8.4132e+04,4.0834e+07,4
5p55d,2[3/2]°,5p6,1S,2.1873e-09,5.0183e-19,8.8754e+04,4.7320e+07,0.0000e+00,0.0000e+00,2
5p55d,2[5/2]°,5p56p,2[3/2],1.6458e-06,4.0482e-14,8.6814e+04,2.8756e+07,8.3927e+04,3.1389e+07,4
5p56p,2[1/2],5p56s,2[1/2]°,4.5973e-08,2.7688e-16,8.9472e+04,1.1264e+05,7.6856e+04,3.2556e+05,3
5p56p,2[1/2],5p56s,2[3/2]°,4.1379e-07,1.2878e-13,8.2759e+04,4.0044e+07,6.7654e+04,2.8672e+05,5
5p56p,2[3/2],5p56s,2[1/2]°,3.9755e-08,1.9585e-16,8.8640e+04,2.0448e+05,7.6856e+04,3.2556e+05,3
5p56p,2[3/2],5p56s,2[3/2]°,9.5273e-07,1.6086e-12,8.3927e+04,2.6905e+07,6.7556e+04,2.7306e+05,8
5p56s,2[1/2]°,5p6,1S,3.9526e-09,,7.7185e+04,,0.0000e+00,,1
5p57s,2[1/2]°,5p6,1S,1.6949e-08,,9.5801e+04,,0.0000e+00,,1
5p54f,2[3/2],5p56s,2[3/2]°,9.0909e-06,,9.0849e+04,,6.7068e+04,,1
5p54f,2[5/2],5p56s,2[3/2]°,4.5455e-06,,9.0907e+04,,6.7068e+04,,1
5p55d,2[1/2]°,5p56p,2[1/2],2.8571e-06,,7.9987e+04,,7.7269e+04,,1
5p55d,2[1/2]°,5p6,1S,6.7114e-08,,7.9987e+04,,0.0000e+00,,1
5p55d,2[3/2]°,5p56p,2[3/2],2.4018e-05,1.1140e-09,8.2106e+04,6.3625e+06,7.9084e+04,3.2879e+04,2
5p55d,2[3/2]°,5p56p,2[5/2],2.0833e-06,,8.3890e+04,,7.8120e+04,,1
5p55d,2[5/2]°,5p56p,2[5/2],1.6539e-06,3.3630e-15,8.2178e+04,1.2736e+05,7.8261e+04,4.0119e+04,2
5p55d,2[7/2]°,5p56p,2[5/2],3.5974e-06,7.6684e-12,8.0584e+04,2.9939e+05,7.8261e+04,4.0119e+04,2
5p55f,2[5/2],5p56s,2[3/2]°,6.2500e-06,,9.3401e+04,,6.7068e+04,,1
5p56d,2[1/2]°,5p6,1S,2.2727e-07,,8.8550e+04,,0.0000e+00,,1
5p56d,2[3/2]°,5p6,1S,6.6667e-09,,9.0032e+04,,0.0000e+00,,1
5p56p,2[5/2],5p56s,2[3/2]°,6.3634e-08,6.9205e-16,7.8214e+04,2.6746e+04,6.7393e+04,3.1857e+05,3
5p56s,2[3/2]°,5p6,1S,3.6630e-09,,6.8045e+04,,0.0000e+00,,1
5p57d,2[1/2]°,5p6,1S,2.3364e-08,,9.2128e+04,,0.0000e+00,,1
5p57d,2[3/2]°,5p6,1S,1.3158e-07,,9.2714e+04,,0.0000e+00,,1
5p57d,2[5/2]°,5p56p,2[1/2],1.0638e-06,,9.2679e+04,,7.7269e+04,,1
5p57d,2[5/2]°,5p56p,2[3/2],5.3726e-07,2.9386e-13,9.2697e+04,1.0113e+03,7.9127e+04,2.1919e+04,3
5p57d,2[5/2]°,5p56p,2[5/2],8.0526e-07,1.5871e-13,9.2706e+04,1.5170e+03,7.8261e+04,4.0119e+04,2
5p57d,2[7/2]°,5p56p,2[3/2],2.1277e-06,,9.2646e+04,,7.9212e+04,,1
5p57d,2[7/2]°,5p56p,2[5/2],1.0493e-06,2.4519e-12,9.2579e+04,1.3494e+04,7.8309e+04,2.6746e+04,3
5p57p,2[1/2],5p56s,2[1/2]°,1.1526e-06,2.6449e-12,8.8232e+04,2.7915e+05,7.6856e+04,3.2556e+05,3
5p57p,2[1/2],5p55d,2[1/2]°,8.9799e-07,2.1006e-13,8.8232e+04,2.7915e+05,7.9915e+04,1.5459e+04,3
5p57p,2[1/2],5p55d,2[3/2]°,3.6470e-05,1.0958e-09,8.8232e+04,2.7915e+05,8.2701e+04,4.2417e+06,3
5p57p,2[1/2],5p56s,2[3/2]°,4.9388e-06,1.7693e-11,8.8232e+04,2.7915e+05,6.7719e+04,3.1857e+05,3
5p57p,2[1/2],5p57s,2[3/2]°,6.0235e-06,8.9571e-11,8.8232e+04,2.7915e+05,8.5356e+04,2.1041e+04,3
5p57p,2[1/2],5p55d,2[5/2]°,3.5714e-05,,8.7927e+04,,8.1926e+04,,1
5p57p,2[3/2],5p56s,2[1/2]°,5.4557e-07,1.1226e-13,8.8725e+04,1.1236e+03,7.6856e+04,3.2556e+05,3
5p57p,2[3/2],5p55d,2[1/2]°,1.6737e-06,6.9673e-14,8.8725e+04,1.1236e+03,7.9915e+04,1.5459e+04,3
5p57p,2[3/2],5p55d,2[3/2]°,1.5132e-05,1.4992e-10,8.8706e+04,1.1236e+03,8.2701e+04,4.2417e+06,3
