Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4d8,3F°,4d95s,2[3/2],4.7619e-09,,1.4612e+05,,4.3743e+04,,1
4d8,1D°,4d95s,2[3/2],1.6393e-09,,1.4504e+05,,4.6049e+04,,1
4d8,1D°,4d95d,2[1/2],5.5556e-08,,1.4504e+05,,1.2557e+05,,1
4d8,1D°,4d95s,2[5/2],4.5455e-09,,1.4504e+05,,4.0745e+04,,1
4d8,1F°,4d95s,2[3/2],1.0000e-08,,1.4556e+05,,4.6049e+04,,1
4d8,1F°,4d95d,2[5/2],4.7619e-08,,1.4556e+05,,1.2752e+05,,1
4d8,3D°,4d95s,2[3/2],3.3333e-09,,1.4235e+05,,4.3743e+04,,1
4d8,3D°,4d95s,2[5/2],5.8772e-09,8.5950e-18,1.3883e+05,1.1765e+05,4.0220e+04,8.2934e+05,3
4d8,3F°,4d95s,2[5/2],3.8273e-09,5.9643e-18,1.4283e+05,1.1085e+06,3.9957e+04,8.2934e+05,4
4d8,3G°,4d95s,2[5/2],3.2258e-09,,1.4060e+05,,3.9168e+04,,1
4d8,5G°,4d96s,2[5/2],5.8824e-07,,1.3269e+05,,1.2053e+05,,1
4d8,5P°,4d95s,2[5/2],3.2258e-09,,1.4096e+05,,4.0745e+04,,1
4d85s2,1D,4d95p,2[1/2]°,1.0000e-05,,1.1077e+05,,9.0335e+04,,1
4d85s2,1D,4d95p,2[3/2]°,4.0636e-06,2.2829e-11,1.1077e+05,0.0000e+00,8.6146e+04,2.6177e+07,4
4d85s2,1D,4d95p,2[5/2]°,5.2660e-06,8.1166e-12,1.1077e+05,0.0000e+00,8.7494e+04,2.0635e+06,3
4d85s2,1D,4d95p,2[7/2]°,1.3514e-06,,1.1077e+05,,8.2172e+04,,1
4d85s2,1G,4d95p,2[5/2]°,9.5148e-07,6.8731e-15,1.1360e+05,0.0000e+00,8.7798e+04,3.5753e+06,2
4d85s2,1G,4d95p,2[7/2]°,2.4972e-06,1.0257e-11,1.1360e+05,0.0000e+00,8.2921e+04,1.1219e+06,2
4d95d,2[1/2],4d95p,2[1/2]°,7.3417e-09,2.2914e-17,1.3113e+05,6.0217e+06,8.9286e+04,4.3991e+06,4
4d95d,2[1/2],4d95p,2[3/2]°,7.0538e-08,3.0192e-14,1.2937e+05,8.8409e+06,8.6453e+04,1.6943e+07,8
4d95d,2[3/2],4d95p,2[1/2]°,6.2540e-09,1.0670e-17,1.3002e+05,7.9530e+06,8.8937e+04,5.8654e+06,3
4d95d,2[3/2],4d95p,2[3/2]°,9.8344e-09,9.9300e-17,1.2921e+05,6.8138e+06,8.6146e+04,2.2438e+07,8
4d95d,2[3/2],4d95p,2[5/2]°,2.7563e-08,8.1997e-16,1.2772e+05,4.4911e+06,8.6914e+04,2.0184e+06,5
4d95d,2[5/2],4d95p,2[1/2]°,4.3067e-08,1.6087e-15,1.2984e+05,1.0728e+07,9.0335e+04,0.0000e+00,2
4d95d,2[5/2],4d95p,2[3/2]°,2.4141e-07,1.8589e-13,1.2900e+05,5.6582e+06,8.7480e+04,2.2458e+07,9
4d95d,2[5/2],4d95p,2[5/2]°,1.5667e-07,1.2268e-13,1.2926e+05,6.2900e+06,8.7013e+04,2.6344e+06,10
4d95d,2[7/2],4d95p,2[3/2]°,4.5455e-08,,1.3125e+05,,9.0888e+04,,1
4d95d,2[7/2],4d95p,2[5/2]°,2.2407e-08,1.7933e-15,1.2943e+05,4.0676e+06,8.7255e+04,2.8486e+06,8
4d95p,2[1/2]°,4d95s,2[3/2],3.5231e-09,9.1817e-19,8.8937e+04,5.8654e+06,4.4512e+04,1.7730e+06,3
4d95p,2[1/2]°,4d10,1S,1.4493e-09,,9.0335e+04,,0.0000e+00,,1
4d95p,2[1/2]°,4d95s,2[5/2],2.7027e-08,,9.0335e+04,,4.0745e+04,,1
4d95p,2[3/2]°,4d10,1S,9.3275e-09,1.3502e-16,8.6761e+04,1.9657e+07,0.0000e+00,0.0000e+00,2
4d95p,2[3/2]°,4d95s,2[3/2],1.7365e-07,1.0155e-13,8.6146e+04,2.2438e+07,4.4896e+04,1.5198e+06,8
4d95p,2[3/2]°,4d95s,2[5/2],6.8534e-08,1.2516e-14,8.5942e+04,2.7280e+07,4.0220e+04,6.6347e+05,6
4d95p,2[5/2]°,4d95s,2[3/2],2.4656e-07,3.3535e-13,8.6629e+04,2.1042e+06,4.5280e+04,1.4184e+06,6
4d95p,2[5/2]°,4d95s,2[5/2],3.0697e-07,5.2234e-13,8.6921e+04,2.3065e+06,3.9957e+04,7.1087e+05,8
4d96p,2[1/2]°,4d96s,2[3/2],3.6877e-07,2.3876e-13,1.3683e+05,0.0000e+00,1.2527e+05,3.8773e+04,2
4d96p,2[3/2]°,4d96s,2[3/2],4.4504e-08,8.1363e-16,1.3739e+05,1.9658e+04,1.2522e+05,2.5849e+04,3
4d96p,2[5/2]°,4d96s,2[3/2],4.9166e-08,1.3322e-15,1.3674e+05,1.4416e+05,1.2531e+05,2.5849e+04,3
4d96s,2[3/2],4d95p,2[1/2]°,2.9354e-08,8.3518e-16,1.2522e+05,2.5849e+04,8.8937e+04,5.8654e+06,3
4d96s,2[3/2],4d95p,2[3/2]°,1.2185e-07,1.7572e-14,1.2527e+05,2.2156e+04,8.6146e+04,2.2438e+07,8
4d96s,2[3/2],4d95p,2[5/2]°,2.6906e-08,5.2707e-16,1.2531e+05,2.0679e+04,8.6629e+04,2.1042e+06,6
4d96s,2[3/2],4d95p,2[7/2]°,1.0000e-06,,1.2540e+05,,8.2172e+04,,1
4d97s,2[3/2],4d95p,2[5/2]°,1.6658e-08,1.3242e-17,1.4913e+05,4.9322e+03,8.8011e+04,2.5237e+06,2
4d97s,2[3/2],4d96p,2[3/2]°,4.1667e-08,,1.4908e+05,,1.3723e+05,,1
4d97s,2[3/2],4d96p,2[5/2]°,2.7027e-08,,1.4908e+05,,1.3652e+05,,1
4d97s,2[3/2],4d95p,2[3/2]°,2.9412e-08,,1.4918e+05,,9.0888e+04,,1
4d97s,2[3/2],4d96p,2[1/2]°,5.5556e-08,,1.4918e+05,,1.3683e+05,,1
4d94f,2[1/2]°,4d95d,2[1/2],7.6923e-09,,1.4501e+05,,1.2557e+05,,1
4d94f,2[1/2]°,4d95d,2[3/2],1.8519e-08,,1.4501e+05,,1.2677e+05,,1
4d94f,2[11/2]°,4d95d,2[9/2],5.5556e-09,0.0000e+00,1.4518e+05,3.6040e-01,1.2667e+05,6.3013e+01,2
4d94f,2[3/2]°,4d95d,2[3/2],1.0084e-07,2.3481e-14,1.4523e+05,6.7791e+02,1.2677e+05,4.8912e+00,3
4d94f,2[3/2]°,4d95s,2[3/2],4.7619e-09,,1.4520e+05,,4.6049e+04,,1
4d94f,2[3/2]°,4d95d,2[5/2],5.2632e-08,,1.4520e+05,,1.2721e+05,,1
4d94f,2[5/2]°,4d95d,2[3/2],1.2658e-08,,1.4531e+05,,1.2677e+05,,1
4d94f,2[7/2]°,4d95d,2[3/2],4.5455e-08,,1.4541e+05,,1.2677e+05,,1
4d94f,2[7/2]°,4d95d,2[5/2],2.1009e-08,1.6288e-16,1.4541e+05,1.1798e+02,1.2732e+05,3.2524e+04,3
4d94f,2[7/2]°,4d95d,2[7/2],2.7759e-08,1.0167e-17,1.4542e+05,1.1798e+02,1.2753e+05,4.6085e+03,3
4d94f,2[7/2]°,4d95d,2[9/2],5.0000e-08,,1.4543e+05,,1.2668e+05,,1
4d94f,2[9/2]°,4d95d,2[7/2],2.6330e-08,9.8244e-16,1.4546e+05,3.9154e+03,1.2757e+05,4.6085e+03,3
4d94f,2[9/2]°,4d95d,2[9/2],4.5956e-08,5.4742e-16,1.4544e+05,5.8731e+03,1.2667e+05,6.3013e+01,2
4d95d,2[3/2],4d95p,2[7/2]°,2.1277e-08,,1.2677e+05,,8.2172e+04,,1
4d95d,2[5/2],4d95p,2[7/2]°,1.6074e-08,4.5866e-18,1.2732e+05,3.2524e+04,8.2671e+04,7.4792e+05,3
4d95d,2[7/2],4d95p,2[7/2]°,1.1399e-07,3.6084e-14,1.2757e+05,4.6085e+03,8.2671e+04,7.4792e+05,3
4d95d,2[9/2],4d95p,2[5/2]°,3.5714e-08,,1.2668e+05,,8.6461e+04,,1
4d95d,2[9/2],4d95p,2[7/2]°,1.0463e-08,2.4594e-16,1.2668e+05,4.2008e+01,8.3170e+04,7.4792e+05,3
4d95p,2[7/2]°,4d95s,2[3/2],9.9010e-08,,8.2172e+04,,4.6049e+04,,1
4d95p,2[7/2]°,4d95s,2[5/2],6.4081e-09,2.3875e-17,8.2671e+04,7.4792e+05,3.9694e+04,8.2934e+05,3
4d96p,2[3/2]°,4d96s,2[5/2],2.0000e-08,,1.3284e+05,,1.2091e+05,,1
4d96p,2[5/2]°,4d96s,2[5/2],3.9674e-08,7.6263e-16,1.3299e+05,3.4499e+03,1.2079e+05,4.7527e+04,3
4d96p,2[7/2]°,4d96s,2[5/2],4.7076e-08,1.1492e-15,1.3215e+05,5.6603e+04,1.2066e+05,4.7527e+04,3
4d96s,2[5/2],4d95p,2[1/2]°,5.0000e-08,,1.2091e+05,,9.0335e+04,,1
4d96s,2[5/2],4d95p,2[3/2]°,2.9218e-07,2.2662e-13,1.2072e+05,4.7527e+04,8.6146e+04,2.6177e+07,4
4d96s,2[5/2],4d95p,2[5/2]°,6.6096e-08,1.0650e-14,1.2076e+05,4.2774e+04,8.6829e+04,2.0606e+06,5
4d96s,2[5/2],4d95p,2[7/2]°,1.4630e-08,2.6245e-16,1.2066e+05,4.7527e+04,8.2671e+04,7.4792e+05,3
4d97s,2[5/2],4d95p,2[5/2]°,2.7047e-08,1.0687e-18,1.4455e+05,1.0617e+04,8.5831e+04,7.9367e+05,2
4d97s,2[5/2],4d95p,2[7/2]°,1.4979e-08,1.5994e-18,1.4455e+05,1.0617e+04,8.2921e+04,1.1219e+06,2
4d97s,2[5/2],4d96p,2[5/2]°,4.7778e-08,1.2099e-16,1.4455e+05,1.0617e+04,1.3297e+05,5.1749e+03,2
4d97s,2[5/2],4d96p,2[7/2]°,5.7674e-08,2.2437e-15,1.4453e+05,7.0781e+03,1.3215e+05,5.6603e+04,3
4d97s,2[5/2],4d95p,2[3/2]°,2.3256e-08,,1.4448e+05,,8.0176e+04,,1
