Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p44d,2D,3s23p44p,2F°,6.8858e-08,2.8423e-15,1.9978e+05,3.0438e+04,1.7044e+05,5.5803e+03,3
3s23p44d,2D,3s23p44p,2P°,5.5242e-09,7.4891e-18,1.9623e+05,1.7282e+07,1.6624e+05,5.2543e+07,4
3s23p44d,2D,3s23p44p,2D°,1.7778e-08,3.7037e-16,1.9736e+05,1.6183e+07,1.6871e+05,6.5122e+07,3
3s23p44d,2F,3s23p44p,2D°,1.2033e-08,1.5826e-16,1.9377e+05,4.9783e+07,1.6616e+05,6.2500e+07,6
3s23p44d,2F,3s23p44p,2F°,8.6667e-08,1.3903e-14,2.0019e+05,3.0737e+03,1.7047e+05,5.5803e+03,4
3s23p44d,2G,3s23p44p,2F°,2.3910e-08,1.3711e-15,1.9860e+05,2.7903e+01,1.7049e+05,5.5803e+03,3
3s23p44d,2P,3s23p44p,2P°,1.1846e-08,7.7013e-17,1.9334e+05,2.2768e+07,1.6405e+05,4.0014e+07,6
3s23p44d,2P,3s23p44p,2D°,7.1074e-07,1.8990e-12,1.9489e+05,2.8666e+07,1.6638e+05,6.5122e+07,4
3s23p44p,2D°,3s23p44s,2D,8.8295e-08,9.4782e-15,1.7337e+05,6.9160e+02,1.4873e+05,1.6476e+04,4
3s23p44p,2D°,3s23p43d,2D,1.0908e-07,1.1144e-14,1.7337e+05,6.9160e+02,1.5078e+05,1.2498e+05,4
3s23p44p,2D°,3s23p43d,2P,1.1075e-06,5.9528e-13,1.6871e+05,6.5122e+07,1.4535e+05,3.0650e+05,3
3s23p44p,2D°,3s23p44s,2P,1.6063e-06,4.4387e-12,1.6627e+05,6.0472e+07,1.3858e+05,2.7456e+05,6
3s23p44p,2D°,3s23p43d,2F,4.4486e-07,1.4518e-13,1.7339e+05,0.0000e+00,1.4966e+05,4.6896e+05,2
3s23p44p,2D°,3s23p43d,4P,1.0000e-05,,1.7339e+05,,1.4788e+05,,1
3s23p44p,2F°,3s23p43d,2G,4.0370e-07,3.7532e-13,1.7049e+05,5.5803e+03,1.5420e+05,1.6920e+02,3
3s23p44p,2F°,3s23p44s,2D,5.6193e-08,5.3759e-15,1.7044e+05,5.5803e+03,1.4877e+05,1.6476e+04,3
3s23p44p,2F°,3s23p43d,2D,2.5333e-07,8.5531e-14,1.7044e+05,5.5803e+03,1.5088e+05,1.2498e+05,3
3s23p44p,2F°,3s23p43d,2F,1.2372e-06,5.1787e-13,1.7047e+05,5.5803e+03,1.4966e+05,3.1264e+05,4
3s23p44p,2F°,3s23p43d,2P,2.5000e-06,,1.7040e+05,,1.4567e+05,,1
3s23p44p,2F°,3s23p43d,4P,1.6393e-07,,1.7053e+05,,1.4788e+05,,1
3s23p44p,2F°,3s23p44s,4P,5.0000e-06,,1.7053e+05,,1.3424e+05,,1
3s23p44p,2P°,3s23p44s,2D,4.6245e-08,1.6048e-15,1.7730e+05,9.5728e+07,1.4873e+05,1.6476e+04,4
3s23p44p,2P°,3s23p43d,2D,1.1100e-07,4.3908e-15,1.7241e+05,1.2097e+05,1.5068e+05,1.2498e+05,3
3s23p44p,2P°,3s23p43d,2P,1.1956e-06,2.7700e-12,1.6624e+05,4.5037e+07,1.4519e+05,2.6271e+05,8
3s23p44p,2P°,3s23p44s,2P,3.7445e-08,9.3278e-16,1.6624e+05,4.5037e+07,1.3875e+05,2.9417e+05,8
3s23p44p,2P°,3s23p43d,2F,4.7619e-07,,1.7221e+05,,1.5015e+05,,1
3s23p44p,2P°,3s23p43d,4P,1.1458e-06,5.4253e-13,1.7221e+05,0.0000e+00,1.4737e+05,3.7829e+04,2
3s23p44p,2P°,3s23p44s,4P,7.0197e-05,1.4736e-08,1.6206e+05,2.4824e+07,1.3512e+05,2.4778e+05,6
3s23p45s,2D,3s23p44p,2F°,7.1429e-09,0.0000e+00,1.9587e+05,2.2487e+00,1.7047e+05,8.3705e+03,2
3s23p45s,2D,3s23p44p,2P°,2.6901e-08,1.2608e-17,1.9587e+05,2.2487e+00,1.7252e+05,1.8145e+05,2
3s23p45s,2D,3s23p44p,2D°,1.5385e-08,,1.9586e+05,,1.7339e+05,,1
3s23p44p,2P°,3s23p44s,2S,1.0588e-08,3.7631e-17,1.9215e+05,6.4411e+04,1.6731e+05,0.0000e+00,2
3s23p44d,2D,3s23p44p,2S°,5.5556e-09,,1.9271e+05,,1.6109e+05,,1
3s23p44d,2F,3s23p44p,2P°,4.3478e-08,,1.8759e+05,,1.6024e+05,,1
3s23p44d,2F,3s23p44p,4D°,3.4389e-07,2.9207e-14,1.8707e+05,1.9933e+05,1.5769e+05,2.1824e+05,3
3s23p44d,2F,3s23p44p,4P°,3.3333e-06,,1.8682e+05,,1.5504e+05,,1
3s23p44d,2P,3s23p44p,2S°,5.2632e-09,,1.9059e+05,,1.6109e+05,,1
3s23p44d,4D,3s23p44p,2D°,3.8737e-07,1.2425e-13,1.8399e+05,2.5943e+04,1.5906e+05,1.4656e+05,4
3s23p44d,4D,3s23p44p,4D°,7.8761e-08,3.6957e-15,1.8391e+05,3.5995e+04,1.5788e+05,2.0130e+05,10
3s23p44d,4D,3s23p44p,4P°,1.1226e-08,1.0388e-16,1.8392e+05,2.9438e+04,1.5532e+05,8.8850e+04,7
3s23p44d,4D,3s23p44p,2P°,5.2778e-06,1.5432e-13,1.8389e+05,1.7779e+04,1.6024e+05,0.0000e+00,2
3s23p44d,4D,3s23p44p,4S°,3.6111e-06,7.5617e-12,1.8389e+05,1.7779e+04,1.6105e+05,0.0000e+00,2
3s23p44d,4F,3s23p44p,2D°,2.5321e-07,2.3286e-14,1.8603e+05,8.8185e+04,1.5906e+05,1.4656e+05,4
3s23p44d,4F,3s23p44p,4D°,8.8339e-08,2.2571e-14,1.8595e+05,1.8116e+05,1.5772e+05,2.0219e+05,9
3s23p44d,4F,3s23p44p,4P°,4.4981e-07,1.9106e-13,1.8623e+05,2.1247e+04,1.5530e+05,7.5927e+04,5
3s23p44d,4F,3s23p44p,4S°,4.8077e-08,,1.8634e+05,,1.6105e+05,,1
3s23p44d,4F,3s23p44p,2P°,1.6667e-06,,1.8607e+05,,1.6024e+05,,1
3s23p44d,4P,3s23p44p,2P°,7.8788e-07,2.9385e-14,1.8617e+05,0.0000e+00,1.5997e+05,1.4199e+05,2
3s23p44d,4P,3s23p44p,4D°,1.1226e-07,4.6260e-15,1.8661e+05,1.2328e+05,1.5794e+05,3.4866e+05,4
3s23p44d,4P,3s23p44p,4P°,4.4018e-08,4.3074e-15,1.8651e+05,8.7387e+04,1.5537e+05,7.3864e+04,7
3s23p44d,4P,3s23p44p,4S°,9.3665e-09,3.7838e-18,1.8651e+05,1.3073e+05,1.6105e+05,0.0000e+00,3
