Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
1s22p2,1D,1s22p2,3P,6.0178e+08,1.0859e+18,1.0236e+05,0.0000e+00,9.8922e+04,1.2168e+02,3
1s22p2,1D,1s22s2,1S,5.4645e-04,,1.0236e+05,,0.0000e+00,,1
1s22p2,1D,1s22s2p,1P°,1.8450e-08,,1.0236e+05,,7.3397e+04,,1
1s22p2,1D,1s22s2p,3P°,3.1447e+01,2.9666e+03,1.0236e+05,0.0000e+00,3.7345e+04,1.3228e+02,3
1s22p2,1S,1s22p2,1D,3.8760e-02,,1.2766e+05,,1.0236e+05,,1
1s22p2,1S,1s22p2,3P,2.6957e+03,5.8436e+05,1.2766e+05,0.0000e+00,9.8927e+04,8.9646e+01,2
1s22p2,1S,1s22s2p,1P°,7.5188e-10,,1.2766e+05,,7.3397e+04,,1
1s22p2,1S,1s22s2p,3P°,1.2823e+01,3.2863e+02,1.2766e+05,0.0000e+00,3.7350e+04,1.3041e+02,2
1s22p2,3P,1s22s2p,1P°,2.0510e-01,1.1022e-01,9.8922e+04,1.2168e+02,7.3397e+04,0.0000e+00,3
1s22p2,3P,1s22s2p,3P°,5.3098e+01,1.5344e+04,9.8923e+04,8.7831e+01,3.7346e+04,9.9008e+01,8
1s22p2,3P,1s22p2,3P,5.0352e+14,7.6061e+29,9.8929e+04,5.9764e+01,9.8914e+04,2.4027e+01,3
1s22p2,3P,1s22s2,1S,5.9227e+03,6.8259e+07,9.8927e+04,8.9646e+01,0.0000e+00,0.0000e+00,2
1s22p3d,1D°,1s22p2,1D,7.1429e-10,,1.9772e+05,,1.0236e+05,,1
1s22p3d,1D°,1s22p3p,1P,1.2500e-07,,1.9772e+05,,1.8913e+05,,1
1s22p3d,1D°,1s22s3d,1D,1.0977e-08,,1.9772e+05,,1.5469e+05,,1
1s22p3d,1D°,1s22s5d,1D,5.5556e-05,,1.9772e+05,,1.8532e+05,,1
1s22p3d,3D°,1s22p2,3P,2.9599e-09,2.8036e-17,2.0048e+05,1.3245e+01,9.8925e+04,8.8537e+01,6
1s22p3d,3D°,1s22p3p,3D,1.1635e-06,7.2301e-13,2.0048e+05,1.4224e+01,1.9105e+05,1.4211e+02,7
1s22p3d,3D°,1s22p3p,3P,4.6617e-06,7.0397e-11,2.0048e+05,1.3245e+01,1.9561e+05,5.6394e+01,6
1s22p3d,3D°,1s22s3d,3D,1.7062e-08,1.5528e-16,2.0048e+05,1.4224e+01,1.5065e+05,9.8821e-22,7
1s22p3p,1D,1s22p3s,1P°,1.5873e-07,,1.9698e+05,,1.8663e+05,,1
1s22p3p,1D,1s22s2p,1P°,4.6948e-09,,1.9698e+05,,7.3397e+04,,1
1s22p3p,1D,1s22s3p,1P°,3.6496e-08,,1.9698e+05,,1.4410e+05,,1
1s22p3p,1D,1s22s4f,1F°,3.3333e-06,,1.9698e+05,,1.7492e+05,,1
1s22p3p,1D,1s22s4p,1P°,5.8824e-08,,1.9698e+05,,1.7059e+05,,1
1s22p3p,1D,1s22s5p,1P°,9.0909e-08,,1.9698e+05,,1.8177e+05,,1
1s22p3p,1D,1s22s6f,1F°,5.8824e-05,,1.9698e+05,,1.9043e+05,,1
1s22p3p,1P,1s22p3s,1P°,1.0417e-05,,1.8913e+05,,1.8663e+05,,1
1s22p3p,1P,1s22s2p,1P°,2.5316e-09,,1.8913e+05,,7.3397e+04,,1
1s22p3p,1P,1s22s3p,1P°,2.8653e-09,,1.8913e+05,,1.4410e+05,,1
1s22p3p,1P,1s22s4p,1P°,1.6474e-07,,1.8913e+05,,1.7059e+05,,1
1s22p3p,1P,1s22s5p,1P°,8.3333e-07,,1.8913e+05,,1.8177e+05,,1
1s22p3p,3D,1s22p3s,3P°,6.3256e-07,1.2863e-12,1.9104e+05,1.2457e+02,1.8166e+05,1.9141e+02,6
1s22p3p,3D,1s22s2p,3P°,1.4453e-07,6.5849e-14,1.9104e+05,1.2457e+02,3.7349e+04,1.0420e+02,6
1s22p3p,3D,1s22s3p,3P°,4.8926e-08,7.6771e-15,1.9104e+05,1.2457e+02,1.4399e+05,4.2759e+00,6
1s22p3p,3D,1s22s4f,3F°,7.9955e-05,3.3701e-08,1.9105e+05,1.5889e+02,1.7490e+05,0.0000e+00,6
1s22p3p,3D,1s22s5f,3F°,5.8588e-04,1.8129e-06,1.9105e+05,1.5889e+02,1.8491e+05,0.0000e+00,6
1s22p3p,3D,1s22s5p,3P°,9.2822e-05,2.8204e-08,1.9104e+05,1.2457e+02,1.8362e+05,1.0164e-21,6
1s22p3p,3P,1s22p3s,3P°,5.4999e-08,7.1627e-16,1.9561e+05,4.7777e+01,1.8166e+05,1.6277e+02,6
1s22p3p,3P,1s22s2p,3P°,1.9445e-08,9.1136e-17,1.9561e+05,4.7777e+01,3.7346e+04,8.8932e+01,6
1s22p3p,3P,1s22s3p,3P°,1.0873e-08,2.8378e-17,1.9561e+05,4.7777e+01,1.4399e+05,3.7114e+00,6
