Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
1s22p,2P°,1s22s,2S,8.8586e-09,1.5088e-23,3.1932e+04,2.1622e+01,0.0000e+00,0.0000e+00,2
1s23d,2D,1s22p,2P°,2.4717e-09,6.5539e-18,9.8055e+04,9.3633e-02,3.1933e+04,1.4415e+01,3
1s23d,2D,1s23p,2P°,3.4728e-05,1.2964e-09,9.8055e+04,9.3633e-02,9.6497e+04,1.2391e+00,3
1s23p,2P°,1s22s,2S,5.8140e-09,2.2852e-23,9.6496e+04,1.8586e+00,0.0000e+00,0.0000e+00,2
1s23p,2P°,1s23s,2S,7.9334e-08,1.9806e-21,9.6496e+04,1.8586e+00,8.8232e+04,0.0000e+00,2
1s23s,2S,1s22p,2P°,5.5107e-09,6.7483e-18,8.8232e+04,0.0000e+00,3.1932e+04,2.1622e+01,2
1s24d,2D,1s22p,2P°,7.2668e-09,5.6602e-17,1.1942e+05,1.9200e-02,3.1933e+04,1.4415e+01,3
1s24d,2D,1s23p,2P°,2.5040e-08,6.7156e-16,1.1942e+05,1.9200e-02,9.6497e+04,1.2391e+00,3
1s24d,2D,1s24p,2P°,1.0784e-04,1.2521e-08,1.1942e+05,1.9200e-02,1.1876e+05,2.1870e-01,3
1s24f,2F°,1s23d,2D,2.5794e-08,1.3377e-15,1.1945e+05,5.6333e-03,9.8055e+04,9.3633e-02,3
1s24p,2P°,1s22s,2S,1.0230e-08,4.9289e-22,1.1876e+05,3.2805e-01,0.0000e+00,0.0000e+00,2
1s24p,2P°,1s23d,2D,4.6049e-07,3.4660e-13,1.1876e+05,2.1870e-01,9.8055e+04,9.3633e-02,3
1s24p,2P°,1s23s,2S,7.0922e-08,0.0000e+00,1.1876e+05,3.2805e-01,8.8232e+04,0.0000e+00,2
1s24p,2P°,1s24s,2S,3.6298e-07,8.6793e-19,1.1876e+05,3.2805e-01,1.1546e+05,0.0000e+00,2
1s24s,2S,1s22p,2P°,1.5507e-08,5.3393e-17,1.1546e+05,0.0000e+00,3.1932e+04,2.1622e+01,2
1s24s,2S,1s23p,2P°,2.3193e-08,1.1944e-16,1.1546e+05,0.0000e+00,9.6496e+04,1.8586e+00,2
