Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2p3,2D°,2s2p2,2D,1.3826e-08,1.9679e-16,1.5046e+05,8.7040e+00,7.4931e+04,2.1168e+00,4
2p3,2D°,2s2p2,2P,4.8977e-08,2.6046e-15,1.5046e+05,8.7040e+00,1.1065e+05,5.7104e+02,3
2p3,2P°,2s23d,2D,1.0301e-06,1.7352e-12,1.6874e+05,1.1744e+02,1.4555e+05,6.8163e-01,3
2p3,2P°,2s23s,2S,1.0605e-07,1.2394e-18,1.6874e+05,1.7616e+02,1.1654e+05,0.0000e+00,2
2p3,2P°,2s24d,2D,1.0710e-03,1.8265e-06,1.6874e+05,1.1744e+02,1.6812e+05,1.6803e-01,3
2p3,2P°,2s24s,2S,2.4155e-07,6.8082e-19,1.6874e+05,1.7616e+02,1.5723e+05,0.0000e+00,2
2p3,2P°,2s2p2,2D,2.8011e-09,1.2877e-17,1.6874e+05,1.1744e+02,7.4932e+04,2.1168e+00,3
2p3,2P°,2s2p2,2P,5.6436e-09,1.7913e-17,1.6874e+05,1.1744e+02,1.1064e+05,5.7104e+02,4
2p3,2P°,2s2p2,2S,2.5172e-08,7.2381e-19,1.6874e+05,1.7616e+02,9.6494e+04,0.0000e+00,2
2p3,4S°,2s23s,2S,6.9444e-02,,1.4203e+05,,1.1654e+05,,1
2p3,4S°,2s2p2,2D,7.0968e-02,8.7167e-03,1.4203e+05,0.0000e+00,7.4931e+04,3.1752e+00,2
2p3,4S°,2s2p2,2P,2.7014e-02,4.2941e-04,1.4203e+05,0.0000e+00,1.1064e+05,8.5657e+02,2
2p3,4S°,2s2p2,2S,1.0309e-01,,1.4203e+05,,9.6494e+04,,1
2p3,4S°,2s2p2,4P,1.0822e-09,3.7621e-19,1.4203e+05,0.0000e+00,4.3027e+04,6.3583e+02,3
