Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d,2D,3p64s,2S,7.6923e-01,0.0000e+00,1.3681e+04,1.8416e+03,0.0000e+00,0.0000e+00,2
3p63d,2D,3p63d,2D,4.1494e+05,,1.3711e+04,,1.3650e+04,,1
3p64d,2D,3p64p,2P°,7.7483e-09,6.7639e-17,5.6846e+04,1.2301e+02,2.5340e+04,1.6560e+04,3
3p64f,2F°,3p63d,2D,2.1916e-08,9.6595e-16,6.8057e+04,0.0000e+00,1.3691e+04,1.2278e+03,3
3p64p,2P°,3p63d,2D,3.6542e-07,2.1507e-13,2.5340e+04,1.6560e+04,1.3670e+04,1.2278e+03,3
3p64p,2P°,3p64s,2S,6.9728e-09,5.7846e-20,2.5303e+04,2.4840e+04,0.0000e+00,0.0000e+00,2
3p65d,2D,3p64p,2P°,2.8335e-08,8.7633e-16,7.2725e+04,2.5230e+01,2.5340e+04,1.6560e+04,3
3p65d,2D,3p65p,2P°,4.5334e-08,2.2439e-15,7.2725e+04,2.5230e+01,6.0585e+04,2.0415e+03,3
3p65f,2F°,3p63d,2D,3.3567e-08,2.2629e-15,7.8034e+04,0.0000e+00,1.3691e+04,1.2278e+03,3
3p65p,2P°,3p63d,2D,2.0185e-06,6.6677e-12,6.0585e+04,2.0415e+03,1.3670e+04,1.2278e+03,3
3p65p,2P°,3p65s,2S,4.3478e-08,0.0000e+00,6.0572e+04,3.0623e+03,5.2167e+04,0.0000e+00,2
3p65s,2S,3p64p,2P°,8.6230e-09,1.5022e-17,5.2167e+04,0.0000e+00,2.5303e+04,2.4840e+04,2
3p66d,2D,3p64p,2P°,6.2568e-08,4.8381e-15,8.0523e+04,7.1456e+00,2.5340e+04,1.6560e+04,3
3p66d,2D,3p65p,2P°,1.1663e-07,1.4665e-14,8.0523e+04,7.1456e+00,6.0585e+04,2.0415e+03,3
3p66f,2F°,3p63d,2D,5.2712e-08,5.5699e-15,8.3458e+04,0.0000e+00,1.3691e+04,1.2278e+03,3
3p66p,2P°,3p63d,2D,2.8755e-06,1.3659e-11,7.4509e+04,4.5215e+02,1.3670e+04,1.2278e+03,3
3p66s,2S,3p64p,2P°,2.4194e-08,1.3007e-16,7.0678e+04,0.0000e+00,2.5303e+04,2.4840e+04,2
3p66s,2S,3p65p,2P°,3.9474e-08,3.4626e-16,7.0678e+04,0.0000e+00,6.0572e+04,3.0623e+03,2
