Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4d104f,2F°,4d105d,2D,3.1318e-08,1.9759e-15,1.0842e+05,5.5987e+01,8.9792e+04,7.9598e+03,3
4d104f,2F°,4d95s2,2D,1.3028e-06,5.3125e-13,1.0843e+05,8.3981e+01,7.2076e+04,1.5875e+07,2
4d105d,2D,4d105p,2P°,4.3282e-09,2.0105e-17,8.9741e+04,7.9598e+03,4.5791e+04,2.0542e+06,3
4d105f,2F°,4d105d,2D,2.0619e-08,,1.1844e+05,,8.9844e+04,,1
4d105f,2F°,4d106d,2D,2.7778e-08,,1.1844e+05,,1.1025e+05,,1
4d105f,2F°,4d95s2,2D,1.2500e-07,,1.1844e+05,,6.9259e+04,,1
4d105g,2G,4d104f,2F°,1.4078e-07,4.7977e-14,1.1877e+05,0.0000e+00,1.0843e+05,5.5987e+01,3
4d105p,2P°,4d105s,2S,2.8973e-09,1.2536e-19,4.5377e+04,3.0813e+06,0.0000e+00,0.0000e+00,2
4d106d,2D,4d105p,2P°,1.6415e-08,3.1900e-16,1.1020e+05,1.8008e+03,4.5791e+04,2.0542e+06,3
4d106p,2P°,4d106s,2S,2.3736e-08,2.7919e-17,9.5047e+04,2.2661e+05,8.2991e+04,0.0000e+00,2
4d106p,2P°,4d95s2,2D,2.0000e-05,,9.5384e+04,,6.9259e+04,,1
4d106s,2S,4d105p,2P°,4.7237e-09,4.4251e-18,8.2991e+04,0.0000e+00,4.5377e+04,3.0813e+06,2
4d107d,2D,4d105p,2P°,1.3722e-08,6.3599e-19,1.1954e+05,7.7107e+02,4.5377e+04,3.0813e+06,2
4d107p,2P°,4d105d,2D,4.3007e-06,2.3006e-11,1.1249e+05,0.0000e+00,8.9767e+04,1.1940e+04,2
4d107p,2P°,4d105s,2S,5.8824e-08,,1.1249e+05,,0.0000e+00,,1
4d107p,2P°,4d106d,2D,2.2381e-06,6.2086e-12,1.1249e+05,0.0000e+00,1.1021e+05,2.7011e+03,2
4d107p,2P°,4d106s,2S,5.8824e-07,,1.1249e+05,,8.2991e+04,,1
4d107p,2P°,4d107s,2S,9.1743e-08,,1.1249e+05,,1.0730e+05,,1
4d95s5p,2F°,4d105d,2D,1.4388e-06,3.8473e-12,1.2184e+05,4.1988e+07,8.9792e+04,7.9598e+03,3
4d95s5p,2F°,4d106d,2D,3.7212e-06,2.4853e-11,1.2428e+05,4.8180e+07,1.1025e+05,0.0000e+00,2
4d95s5p,2F°,4d95s2,2D,1.2974e-08,5.3415e-16,1.2062e+05,3.3958e+07,7.0668e+04,7.9376e+06,4
4d95s5p,2D°,4d105d,2D,2.2040e-06,5.0679e-12,1.2071e+05,4.3809e+05,8.9767e+04,7.9598e+03,4
4d95s5p,2D°,4d105s,2S,3.5714e-08,,1.2014e+05,,0.0000e+00,,1
4d95s5p,2D°,4d95s2,2D,4.5713e-09,3.3683e-17,1.2071e+05,4.3809e+05,7.2076e+04,1.0583e+07,4
4d95s5p,2P°,4d105s,2S,8.1037e-10,1.0549e-21,1.1918e+05,2.8293e+04,0.0000e+00,0.0000e+00,2
4d95s5p,2P°,4d106d,2D,3.2581e-06,1.4752e-11,1.1914e+05,1.8862e+04,1.1020e+05,1.8008e+03,3
4d95s5p,2P°,4d106s,2S,2.3180e-07,7.7658e-15,1.1918e+05,2.8293e+04,8.2991e+04,0.0000e+00,2
4d95s5p,2P°,4d107s,2S,6.3895e-07,5.1430e-15,1.1918e+05,2.8293e+04,1.0730e+05,0.0000e+00,2
4d95s5p,2P°,4d95s2,2D,1.6222e-08,7.3933e-16,1.1914e+05,1.8862e+04,7.3015e+04,1.0583e+07,3
4d95s5p,2P°,4d105d,2D,3.6111e-06,7.5617e-12,1.1906e+05,0.0000e+00,8.9767e+04,1.1940e+04,2
4d95s5p,4D°,4d105d,2D,3.3333e-06,,1.1495e+05,,8.9689e+04,,1
4d95s5p,4D°,4d95s2,2D,2.5236e-06,6.6559e-12,1.1495e+05,0.0000e+00,7.2076e+04,1.5875e+07,2
4d95s5p,4F°,4d105d,2D,4.1382e-07,3.6521e-13,1.1002e+05,6.2004e+04,8.9792e+04,7.9598e+03,3
4d95s5p,4F°,4d95s2,2D,7.6007e-07,5.4492e-13,1.0995e+05,9.3006e+04,7.2076e+04,1.5875e+07,2
4d95s5p,4P°,4d95s2,2D,4.3478e-06,,1.0619e+05,,6.9259e+04,,1
4d95s2,2D,4d105p,2P°,8.0287e-07,2.0555e-13,7.3015e+04,1.0583e+07,4.5791e+04,2.0542e+06,3
