Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p34d,1D°,3s23p34p,1D,9.0909e-09,,1.7854e+05,,1.5326e+05,,1
3s23p34d,1D°,3s23p34p,1F,8.3333e-08,,1.7854e+05,,1.4761e+05,,1
3s23p34d,1D°,3s23p34p,1P,1.6667e-08,,1.7854e+05,,1.4547e+05,,1
3s23p34d,1P°,3s23p34p,1P,1.1628e-08,,1.7987e+05,,1.4547e+05,,1
3s23p34d,3D°,3s23p34p,3D,2.7481e-08,4.1778e-16,1.7482e+05,7.4170e+02,1.4637e+05,4.4460e+03,7
3s23p34d,3D°,3s23p34p,3F,4.3991e-06,1.0193e-10,1.7483e+05,7.3060e+02,1.4710e+05,3.4795e+03,6
3s23p34d,3D°,3s23p34p,3P,7.4229e-08,1.7635e-14,1.6837e+05,4.5238e+07,1.4083e+05,8.9587e+07,12
3s23p34d,3F°,3s23p34p,3D,1.8814e-07,1.6708e-13,1.7864e+05,3.9443e+07,1.5259e+05,4.1731e+07,12
3s23p34d,3F°,3s23p34p,3F,6.8655e-08,5.2999e-15,1.7266e+05,4.7402e+03,1.4713e+05,3.4863e+03,7
3s23p34d,3P°,3s23p34p,3D,3.7780e-07,6.0306e-13,1.7778e+05,2.5500e+03,1.4636e+05,3.1483e+03,6
3s23p34d,3P°,3s23p34p,3P,1.6708e-08,6.9578e-17,1.7777e+05,2.1661e+03,1.4991e+05,8.4416e+03,6
3s23p34d,3S°,3s23p34p,3P,2.1296e-08,3.1893e-16,1.7743e+05,0.0000e+00,1.4993e+05,1.2822e+04,3
3s23p34p,1D,3s23p34s,1D°,6.2500e-09,,1.5326e+05,,1.2907e+05,,1
3s23p34p,1F,3s23p34s,1D°,1.0000e-08,,1.4761e+05,,1.2907e+05,,1
3s23p34p,1P,3s23p34s,1D°,1.8868e-08,,1.4547e+05,,1.2907e+05,,1
3s23p34p,3D,3s23p33d,3F°,5.5044e-06,1.4524e-10,1.5259e+05,4.1731e+07,1.3520e+05,8.9021e+07,12
3s23p34p,3D,3s23p34s,3D°,5.0017e-08,1.3197e-15,1.4637e+05,4.4460e+03,1.2675e+05,5.8620e+02,7
3s23p34p,3F,3s23p33d,3F°,1.3677e-06,1.3163e-12,1.4713e+05,3.4863e+03,1.2624e+05,3.0222e+04,7
3s23p34p,3F,3s23p34s,3D°,4.4125e-07,9.5924e-13,1.4710e+05,3.4795e+03,1.2676e+05,6.6531e+02,6
3s23p34p,3P,3s23p34s,3D°,1.9029e-07,1.5784e-13,1.4989e+05,9.9180e+03,1.2674e+05,5.0283e+02,6
3s23p35s,1D°,3s23p34p,1D,2.0000e-08,,1.7121e+05,,1.5326e+05,,1
3s23p35s,1D°,3s23p34p,1F,1.2500e-08,,1.7121e+05,,1.4761e+05,,1
3s23p35s,1D°,3s23p34p,1P,3.0303e-08,,1.7121e+05,,1.4547e+05,,1
3s23p35s,3D°,3s23p34p,3D,7.2102e-08,2.8157e-15,1.7054e+05,6.4219e+02,1.4637e+05,4.4460e+03,7
3s23p35s,3D°,3s23p34p,3F,9.2701e-07,4.5160e-12,1.7055e+05,7.2086e+02,1.4710e+05,3.4795e+03,6
3s23p35s,3D°,3s23p34p,3P,2.2729e-07,1.6445e-13,1.7053e+05,5.5975e+02,1.4989e+05,9.9180e+03,6
3s23p34p,1D,3s23p33d,1D°,7.6923e-09,,1.6135e+05,,1.3862e+05,,1
3s23p34p,1P,3s23p33d,1D°,1.0000e-08,,1.5958e+05,,1.3862e+05,,1
3s23p34p,3D,3s23p34s,3P°,7.6565e-08,1.8995e-14,1.5875e+05,8.1918e+02,1.3784e+05,2.3088e+03,6
3s23p34p,3S,3s23p34s,3P°,4.7130e-08,1.4736e-15,1.5818e+05,0.0000e+00,1.3782e+05,3.0202e+03,3
3s23p35s,3P°,3s23p34p,3D,1.9381e-07,1.6447e-13,1.8241e+05,2.4753e+03,1.5875e+05,8.1918e+02,6
3s23p34d,5D°,3s23p34p,5P,1.2952e-08,2.7015e-16,1.5462e+05,5.2315e+00,1.2867e+05,2.2246e+03,9
3s23p34p,3P,3s23p33d,3D°,1.4672e-06,9.3311e-12,1.3176e+05,4.3282e+01,1.1982e+05,4.8053e+02,6
3s23p34p,3P,3s23p34s,3S°,1.2987e-08,4.1054e-48,1.3176e+05,5.5740e+01,1.1261e+05,0.0000e+00,3
3s23p34p,5P,3s23p33d,5D°,3.4649e-07,3.0492e-13,1.2867e+05,2.2246e+03,1.1030e+05,7.3434e+00,9
3s23p34p,5P,3s23p34s,5S°,9.9055e-09,6.5661e-20,1.2867e+05,2.9661e+03,1.0788e+05,3.1764e-22,3
3s23p35d,3D°,3s23p34p,3P,9.8523e-08,3.0614e-14,1.7102e+05,1.0982e+03,1.3176e+05,4.3282e+01,6
3s23p35d,5D°,3s23p34p,5P,2.8040e-08,1.4970e-16,1.6980e+05,2.9187e-01,1.2868e+05,2.2319e+03,5
3s23p35p,3P,3s23p34s,3P°,1.7657e-08,7.5517e-17,1.6165e+05,1.8842e+02,1.3782e+05,1.9623e+03,6
3s23p35p,3P,3s23p33d,3P°,2.5000e-07,,1.6164e+05,,1.4601e+05,,1
