Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d44p,z 4H°,3d44s,a 4H,4.9116e-09,2.3021e-19,6.3797e+04,3.4634e+04,3.0266e+04,1.0352e+04,4
3d44p,z 4I°,3d44s,a 4H,4.1990e-09,1.9375e-19,6.5483e+04,9.1593e+04,3.0256e+04,1.4845e+04,3
3d44p,z 4D°,3d44s,a 4D,1.6629e-08,1.1767e-16,5.4575e+04,1.7011e+04,1.9715e+04,8.3320e+03,6
3d44p,z 4D°,3d5,b 4F,1.2447e-06,8.2309e-12,5.4608e+04,1.7552e+04,3.2846e+04,5.8012e+01,8
3d44p,z 4D°,3d5,a 2F,3.9315e-06,1.0751e-11,5.4563e+04,7.9511e+03,3.2603e+04,0.0000e+00,2
3d44p,z 4D°,3d44s,c 4D,7.6705e-06,4.0354e-12,5.4705e+04,1.2617e+04,3.8292e+04,1.0245e+03,2
3d44p,z 4F°,3d44s,a 4D,1.0130e-08,2.1714e-17,5.1627e+04,2.4257e+03,1.9647e+04,1.2455e+04,4
3d44p,z 4F°,3d44s,a 4F,2.0489e-06,3.1652e-12,5.1769e+04,1.9188e+04,3.1149e+04,2.0790e+03,7
3d44p,z 4F°,3d44s,b 4G,3.5714e-06,0.0000e+00,5.1729e+04,7.1292e+03,3.3570e+04,4.7869e+03,2
3d44p,z 4F°,3d5,b 4F,2.4585e-06,3.5351e-12,5.1748e+04,1.4523e+04,3.2849e+04,6.5320e+01,5
3d44p,z 4P°,3d44s,b 4P,3.3810e-06,3.8141e-12,4.8878e+04,3.2914e+04,3.0130e+04,6.3208e+04,2
3d44p,z 4P°,3d5,a 6S,7.4229e-07,4.1988e-13,4.9356e+04,2.4529e+05,0.0000e+00,0.0000e+00,2
3d44p,z 4P°,3d44s,a 6D,2.3377e-08,5.3972e-17,4.9706e+04,0.0000e+00,1.2168e+04,3.6795e+04,2
3d44p,z 4P°,3d5,b 4D,5.8824e-06,,4.9706e+04,,2.5047e+04,,1
3d44p,z 6D°,3d44s,a 6D,1.2833e-08,2.5593e-17,4.9567e+04,3.9139e+03,1.2072e+04,8.3981e+03,4
3d44p,z 6D°,3d5,b 4D,8.3333e-06,0.0000e+00,4.9422e+04,9.9373e+03,2.5041e+04,6.4646e+01,2
3d44p,z 6D°,3d44s,b 4P,8.2228e-06,3.5282e-12,4.9494e+04,1.5090e+04,3.0375e+04,2.1160e+05,3
3d44p,z 6D°,3d5,a 6S,3.4632e-06,8.6944e-12,4.9521e+04,2.3060e+04,0.0000e+00,0.0000e+00,3
3d44p,z 6D°,3d44s,a 4F,3.1250e-05,,4.9838e+04,,3.1219e+04,,1
3d44p,z 6F°,3d44s,a 6D,2.6802e-08,1.9308e-15,4.7191e+04,9.8811e+04,1.2213e+04,4.8610e+04,8
3d44p,z 6P°,3d5,a 6S,8.3111e-09,1.1044e-20,4.8507e+04,1.3793e+04,0.0000e+00,0.0000e+00,3
3d44p,z 6P°,3d44s,a 6D,9.0909e-08,,4.8632e+04,,1.2148e+04,,1
3d44s,a 6D,3d5,a 6S,1.1220e+01,8.1679e-01,1.2188e+04,4.6383e+04,0.0000e+00,0.0000e+00,5
3d44p,x 2F°,3d5,d 2G,1.1236e-06,,7.4114e+04,,5.2321e+04,,1
3d44p,y 4F°,3d44s,c 2D,1.5152e-06,,6.7012e+04,,4.5731e+04,,1
3d44p,z 4G°,3d44s,b 4G,2.2727e-08,,6.5709e+04,,3.3694e+04,,1
3d44p,z 4G°,3d44s,a 4F,9.7222e-09,3.8580e-18,6.5547e+04,5.2988e+04,3.1194e+04,1.2881e+03,2
3d44p,y 4D°,3d44s,b 4P,6.7340e-09,4.1662e-18,6.4263e+04,3.4540e+05,3.0256e+04,2.7762e+05,3
3d44p,y 4D°,3d44s,a 4F,1.8519e-08,,6.4924e+04,,3.1219e+04,,1
3d44p,y 4P°,3d44s,b 4P,9.2157e-09,1.2995e-17,6.6727e+04,0.0000e+00,3.0586e+04,1.5516e+05,2
3d44p,z 2P°,3d44s,c 2D,1.3699e-06,,6.6872e+04,,4.5669e+04,,1
