Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d8,1D°,3d84s2,1D,7.1429e-10,,1.5025e+05,,8.5389e+04,,1
3d8,3D°,3d84s2,3F,8.8027e-09,8.1265e-17,1.3218e+05,1.4142e+07,7.0817e+04,1.6737e+06,6
3d8,3D°,3d94s,3D,6.5272e-09,8.1528e-18,1.2068e+05,3.2078e+07,2.2917e+04,7.1752e+05,10
3d8,3F°,3d94s,3D,7.6656e-09,9.8645e-18,1.2222e+05,2.7882e+07,2.2791e+04,7.3649e+05,8
3d8,3F°,3d84s2,3F,1.2534e-09,2.1448e-19,1.3703e+05,4.2651e+06,7.1671e+04,2.0342e+06,4
3d8,3F°,3d94d,2[5/2],4.7619e-08,,1.3644e+05,,1.1639e+05,,1
3d8,3F°,3d94d,2[7/2],9.0909e-08,,1.3644e+05,,1.1633e+05,,1
3d8,3G°,3d84s2,3F,6.6994e-10,1.6227e-20,1.3567e+05,2.2205e+06,7.1320e+04,2.3123e+06,3
3d8,1D°,3d95s,2[3/2],1.9150e-07,8.4277e-15,1.2198e+05,0.0000e+00,1.1023e+05,3.9671e+04,2
3d8,1D°,3d95s,2[5/2],9.8932e-07,1.7438e-12,1.2198e+05,0.0000e+00,1.0818e+05,5.1447e+04,2
3d8,1D°,3d94s,1D,2.0833e-09,,1.2198e+05,,2.6265e+04,,1
3d8,1F°,3d84s2,3F,4.7619e-08,,1.2152e+05,,6.9705e+04,,1
3d8,1F°,3d95s,2[3/2],6.2500e-06,,1.2152e+05,,1.1037e+05,,1
3d8,1F°,3d95s,2[5/2],6.2934e-08,1.1542e-15,1.2152e+05,0.0000e+00,1.0818e+05,5.1447e+04,2
3d8,1F°,3d94s,1D,9.6154e-09,,1.2152e+05,,2.6265e+04,,1
3d8,1G°,3d95s,2[5/2],1.0989e-05,,1.1899e+05,,1.0801e+05,,1
3d8,3F°,3d95s,2[5/2],1.9622e-06,3.0807e-13,1.1874e+05,2.6801e+05,1.0812e+05,3.4298e+04,3
3d8,3G°,3d94s,3D,4.7619e-09,,1.1664e+05,,2.1929e+04,,1
3d8,3P°,3d84s2,3P,1.0000e-09,,1.5294e+05,,8.8362e+04,,1
3d84s2,1G,3d94p,1F°,8.7719e-07,,9.5566e+04,,7.0841e+04,,1
3d84s2,1G,3d94p,3D°,1.9608e-06,,9.5566e+04,,7.1920e+04,,1
3d84s2,1G,3d94p,3F°,1.0309e-06,,9.5566e+04,,6.8448e+04,,1
3d84s2,3P,3d94p,3P°,2.5779e-06,2.9745e-12,8.8578e+04,4.3324e+04,6.7573e+04,9.3008e+05,6
3d94d,2[1/2],3d94p,1P°,1.9187e-08,7.1569e-16,1.1805e+05,1.6127e+07,7.3596e+04,0.0000e+00,3
3d94d,2[1/2],3d94p,3D°,1.1535e-07,4.6592e-14,1.1601e+05,1.9493e+06,7.3203e+04,1.8939e+04,5
3d94d,2[1/2],3d94p,3P°,2.2432e-08,9.4119e-16,1.1597e+05,1.9209e+06,6.7755e+04,1.0082e+06,7
3d94d,2[3/2],3d94p,1P°,8.0547e-08,1.8791e-14,1.1685e+05,1.9194e+06,7.3596e+04,0.0000e+00,4
3d94d,2[3/2],3d94p,3D°,6.5755e-08,1.1256e-14,1.1685e+05,1.6452e+06,7.3080e+04,2.3509e+05,8
3d94d,2[3/2],3d94p,3F°,2.4243e-08,1.0801e-16,1.1685e+05,1.9194e+06,6.9513e+04,5.0428e+05,4
3d94d,2[3/2],3d94p,3P°,1.4964e-08,2.0672e-16,1.1654e+05,1.4871e+06,6.7776e+04,8.6739e+05,8
3d94d,2[3/2],3d94p,1F°,4.6053e-08,2.7797e-15,1.1690e+05,3.1865e+06,7.0841e+04,0.0000e+00,2
3d94d,2[5/2],3d94p,1D°,3.7353e-08,2.3951e-15,1.1700e+05,1.7838e+06,7.1494e+04,0.0000e+00,3
3d94d,2[5/2],3d94p,1F°,2.5721e-08,1.0211e-15,1.1770e+05,1.9651e+06,7.0841e+04,0.0000e+00,3
3d94d,2[5/2],3d94p,1P°,1.4050e-08,8.0846e-17,1.1746e+05,2.2986e+06,7.3596e+04,0.0000e+00,2
3d94d,2[5/2],3d94p,3D°,2.7689e-08,1.4818e-15,1.1786e+05,1.2446e+06,7.2667e+04,4.9902e+05,7
3d94d,2[5/2],3d94p,3F°,1.9230e-08,3.0854e-16,1.1669e+05,1.0797e+06,6.9072e+04,5.4074e+05,5
3d94d,2[5/2],3d94p,3P°,2.5516e-08,1.2709e-15,1.1698e+05,1.7109e+06,6.6918e+04,7.4787e+05,3
3d94d,2[7/2],3d94p,1D°,3.9939e-09,1.1798e-18,1.1704e+05,1.0102e+06,7.1494e+04,0.0000e+00,2
3d94d,2[7/2],3d94p,1F°,2.7897e-08,1.8037e-15,1.1733e+05,6.9969e+05,7.0841e+04,0.0000e+00,3
3d94d,2[7/2],3d94p,3D°,5.6778e-08,6.2309e-15,1.1744e+05,5.0920e+05,7.2278e+04,5.1352e+05,4
3d94d,2[7/2],3d94p,3F°,3.5825e-08,2.5354e-15,1.1709e+05,6.7489e+05,6.9016e+04,4.5204e+05,6
3d94f,2[3/2]°,3d94d,2[1/2],3.3351e-08,4.5771e-16,1.3677e+05,1.2900e+06,1.1863e+05,1.2951e+07,5
3d94f,2[3/2]°,3d94d,2[3/2],2.2866e-08,1.0305e-16,1.3676e+05,1.3097e+06,1.1661e+05,1.7198e+06,5
3d94f,2[5/2]°,3d94d,2[3/2],1.4589e-08,3.5571e-17,1.3687e+05,1.3648e+06,1.1661e+05,1.7324e+06,5
3d94f,2[5/2]°,3d94d,2[5/2],2.8298e-08,3.6640e-16,1.3730e+05,1.3504e+06,1.1760e+05,1.5743e+06,5
3d94f,2[7/2]°,3d94d,2[3/2],3.3333e-08,,1.3826e+05,,1.1816e+05,,1
3d94f,2[7/2]°,3d94d,2[5/2],1.3975e-08,1.3543e-16,1.3715e+05,1.5869e+06,1.1729e+05,1.9649e+06,4
3d94f,2[7/2]°,3d94d,2[7/2],3.4167e-08,1.3403e-16,1.3754e+05,1.4816e+06,1.1733e+05,6.9969e+05,3
3d94f,2[9/2]°,3d94d,2[7/2],5.8856e-09,1.1289e-17,1.3714e+05,1.1473e+06,1.1708e+05,7.2046e+05,4
3d95d,2[1/2],3d95p,2[1/2]°,2.4242e-08,7.3462e-17,1.3859e+05,0.0000e+00,1.2255e+05,2.0719e+05,2
3d95d,2[1/2],3d95p,2[3/2]°,4.5862e-08,1.7255e-15,1.3722e+05,1.2001e+06,1.2137e+05,2.2734e+06,4
3d95d,2[3/2],3d95p,2[1/2]°,2.6871e-08,8.3530e-17,1.3894e+05,3.4372e+03,1.2255e+05,2.0719e+05,2
3d95d,2[3/2],3d95p,2[3/2]°,1.9383e-08,4.8381e-17,1.3785e+05,1.5797e+06,1.2197e+05,2.9762e+06,4
3d95d,2[5/2],3d8,1D°,8.7649e-08,1.6534e-15,1.3845e+05,1.4107e+06,1.2198e+05,0.0000e+00,3
3d95d,2[5/2],3d95p,2[3/2]°,3.3313e-08,4.9543e-16,1.3828e+05,1.3744e+06,1.2229e+05,2.7368e+06,5
3d95d,2[5/2],3d95p,2[5/2]°,5.1242e-08,1.2144e-15,1.3827e+05,1.3647e+06,1.2209e+05,1.0538e+06,5
3d95d,2[7/2],3d8,1D°,6.9231e-08,1.8935e-15,1.3793e+05,1.5918e+06,1.2198e+05,0.0000e+00,2
3d95d,2[7/2],3d95p,2[5/2]°,5.5089e-08,6.6354e-15,1.3812e+05,9.7347e+05,1.2215e+05,1.1569e+06,5
3d95f,2[3/2]°,3d95d,2[1/2],9.6540e-08,3.1678e-15,1.4749e+05,1.0811e+06,1.3778e+05,1.1440e+06,4
3d95f,2[3/2]°,3d95d,2[3/2],9.5455e-08,4.1322e-17,1.4800e+05,4.1466e+02,1.3894e+05,3.4372e+03,2
3d95f,2[5/2]°,3d95d,2[3/2],4.1918e-08,1.3988e-16,1.4737e+05,1.4401e+06,1.3822e+05,1.5665e+06,3
3d95f,2[5/2]°,3d95d,2[5/2],2.7992e-07,9.9493e-14,1.4687e+05,1.2377e+06,1.3791e+05,1.3100e+06,7
3d95f,2[7/2]°,3d94d,2[5/2],2.9396e-08,5.8507e-17,1.4741e+05,1.4426e+06,1.1770e+05,1.9651e+06,3
3d95f,2[7/2]°,3d95d,2[3/2],4.2982e-07,1.8621e-14,1.4706e+05,2.1668e+06,1.3787e+05,2.4801e+06,2
3d95f,2[7/2]°,3d95d,2[5/2],8.2337e-08,9.5520e-15,1.4685e+05,1.3005e+06,1.3783e+05,1.4037e+06,5
3d95f,2[7/2]°,3d95d,2[7/2],1.2025e-07,1.5252e-15,1.4654e+05,1.0816e+06,1.3748e+05,7.9306e+05,4
3d95f,2[9/2]°,3d94d,2[7/2],2.3529e-08,5.9111e-17,1.4703e+05,1.3338e+06,1.1708e+05,7.2046e+05,4
3d95f,2[9/2]°,3d95d,2[7/2],1.8527e-07,8.7793e-14,1.4703e+05,1.2020e+06,1.3795e+05,9.9469e+05,6
3d95g,2[11/2],3d94f,2[9/2]°,1.7626e-08,1.2439e-17,1.4712e+05,1.3907e+06,1.3714e+05,1.1473e+06,4
3d95g,2[11/2],3d8,3H°,1.1111e-06,,1.4815e+05,,1.3708e+05,,1
3d95g,2[5/2],3d94f,2[3/2]°,2.4621e-08,3.6234e-17,1.4710e+05,1.4159e+06,1.3698e+05,1.4442e+06,4
3d95g,2[5/2],3d94f,2[5/2]°,8.0618e-08,1.2439e-15,1.4710e+05,1.4159e+06,1.3709e+05,1.5114e+06,4
3d95g,2[7/2],3d94f,2[5/2]°,2.1827e-08,1.2911e-17,1.4713e+05,1.4333e+06,1.3709e+05,1.5114e+06,4
3d95g,2[7/2],3d94f,2[7/2]°,2.2467e-07,7.5662e-14,1.4734e+05,1.2900e+06,1.3737e+05,1.4368e+06,5
3d95g,2[9/2],3d8,3G°,4.3810e-07,2.9025e-15,1.4714e+05,2.1467e+06,1.3646e+05,7.7317e+05,2
3d95g,2[9/2],3d94f,2[7/2]°,2.5719e-08,2.1552e-16,1.4714e+05,1.4311e+06,1.3715e+05,1.5869e+06,4
3d95g,2[9/2],3d94f,2[9/2]°,1.1365e-07,3.8427e-15,1.4680e+05,1.4312e+06,1.3683e+05,1.1426e+06,3
3d95p,2[1/2]°,3d95s,2[3/2],3.9738e-08,5.4879e-16,1.2265e+05,1.3813e+05,1.1018e+05,2.6447e+04,3
3d95p,2[1/2]°,3d95s,2[5/2],1.8182e-07,,1.2287e+05,,1.0834e+05,,1
3d95p,2[3/2]°,3d95s,2[3/2],3.4772e-07,1.5165e-13,1.2259e+05,1.6944e+06,1.1023e+05,2.3803e+04,6
3d95p,2[3/2]°,3d95s,2[5/2],6.5758e-07,8.3555e-13,1.2117e+05,2.6940e+06,1.0826e+05,2.5723e+04,4
3d95p,2[3/2]°,3d94s,1D,5.8824e-09,,1.2356e+05,,2.6265e+04,,1
3d95p,2[5/2]°,3d95s,2[3/2],1.0435e-06,2.1494e-12,1.2209e+05,1.0538e+06,1.1031e+05,1.5868e+04,5
3d95p,2[5/2]°,3d95s,2[5/2],3.1484e-07,1.7653e-13,1.2139e+05,8.2117e+05,1.0818e+05,3.4298e+04,4
3d95p,2[5/2]°,3d94s,1D,5.7210e-09,1.4384e-17,1.2157e+05,1.0527e+06,2.6265e+04,0.0000e+00,3
3d95s,2[3/2],3d94p,1D°,5.3788e-08,2.7560e-15,1.1023e+05,3.9671e+04,7.1494e+04,0.0000e+00,2
3d95s,2[3/2],3d94p,1P°,1.3125e-07,2.8203e-14,1.1023e+05,3.9671e+04,7.3596e+04,0.0000e+00,2
3d95s,2[3/2],3d94p,3D°,2.3300e-07,2.4101e-13,1.1025e+05,2.3803e+04,7.2966e+04,3.5773e+05,5
3d95s,2[3/2],3d94p,3F°,5.8354e-07,8.8109e-13,1.1027e+05,2.6447e+04,6.9395e+04,6.7237e+05,3
3d95s,2[3/2],3d94p,3P°,9.8905e-08,9.4334e-15,1.1020e+05,2.3803e+04,6.7504e+04,1.1272e+06,5
3d95s,2[3/2],3d94p,1F°,9.4340e-09,,1.1037e+05,,7.0841e+04,,1
3d96d,2[7/2],3d95p,2[5/2]°,3.1281e-08,1.9111e-18,1.4850e+05,5.7017e+02,1.2288e+05,3.6685e+04,2
3d96d,2[7/2],3d96p,2[5/2]°,3.3333e-07,,1.4848e+05,,1.3903e+05,,1
3d96d,2[7/2],3d8,3F°,4.7619e-07,,1.4852e+05,,1.3933e+05,,1
3d96f,2[3/2]°,3d95d,2[1/2],1.3514e-07,,1.5343e+05,,1.3859e+05,,1
3d96f,2[5/2]°,3d95d,2[3/2],1.1775e-07,5.9993e-16,1.5207e+05,1.3426e+06,1.3750e+05,1.6393e+06,3
3d96f,2[7/2]°,3d95d,2[5/2],8.3625e-08,2.1790e-16,1.5246e+05,1.4241e+06,1.3806e+05,1.5224e+06,4
3d96f,2[9/2]°,3d95d,2[7/2],6.8362e-08,2.8193e-16,1.5244e+05,1.3736e+06,1.3795e+05,1.0944e+06,4
3d96g,2[11/2],3d94f,2[9/2]°,5.0906e-08,1.1985e-16,1.5250e+05,1.4074e+06,1.3714e+05,1.1473e+06,4
3d96g,2[5/2],3d94f,2[3/2]°,6.2698e-08,1.2661e-16,1.5214e+05,1.4217e+06,1.3662e+05,1.4267e+06,3
3d96g,2[7/2],3d94f,2[5/2]°,5.9374e-08,4.9473e-17,1.5285e+05,1.4319e+06,1.3745e+05,1.4964e+06,3
3d96g,2[9/2],3d94f,2[7/2]°,5.3025e-08,3.1501e-17,1.5285e+05,1.4308e+06,1.3754e+05,1.4816e+06,3
3d96s,2[3/2],3d95p,2[1/2]°,9.8148e-08,1.9547e-16,1.3570e+05,3.0486e+03,1.2265e+05,1.3813e+05,3
3d96s,2[3/2],3d95p,2[3/2]°,7.8150e-08,1.4779e-15,1.3573e+05,3.0486e+03,1.2339e+05,2.1169e+04,3
3d96s,2[3/2],3d95p,2[5/2]°,2.4269e-08,8.3786e-18,1.3571e+05,4.5730e+03,1.2288e+05,3.6685e+04,2
3d96s,2[3/2],3d8,1D°,1.5385e-07,,1.3576e+05,,1.2198e+05,,1
3d94d,2[3/2],3d94p,1D°,3.6039e-07,2.5048e-13,1.1565e+05,3.4717e+02,7.1494e+04,0.0000e+00,2
3d94d,2[9/2],3d94p,1F°,5.0000e-08,,1.1566e+05,,7.0841e+04,,1
3d94d,2[9/2],3d94p,3F°,8.4716e-09,1.5242e-16,1.1563e+05,2.9183e+03,6.8637e+04,2.6725e+04,3
3d94f,2[1/2]°,3d94d,2[1/2],3.3483e-08,1.0969e-15,1.3587e+05,3.6962e+02,1.1700e+05,1.3967e+07,4
3d94f,2[1/2]°,3d94d,2[3/2],2.5000e-08,,1.3586e+05,,1.1564e+05,,1
3d94f,2[11/2]°,3d94d,2[9/2],5.0826e-09,6.5232e-20,1.3593e+05,4.1497e+00,1.1562e+05,4.3774e+03,2
3d94f,2[3/2]°,3d94d,2[5/2],5.6250e-08,7.8125e-17,1.3591e+05,0.0000e+00,1.1623e+05,4.7298e+04,2
3d94f,2[9/2]°,3d94d,2[9/2],3.1527e-08,1.7472e-17,1.3622e+05,5.9821e+03,1.1562e+05,4.3774e+03,2
3d95d,2[3/2],3d8,1D°,1.0000e-07,,1.3677e+05,,1.2198e+05,,1
3d95d,2[3/2],3d95p,2[5/2]°,5.5728e-08,1.9170e-17,1.3676e+05,1.8166e+02,1.2098e+05,2.0632e+04,2
3d95d,2[5/2],3d95p,2[7/2]°,1.1111e-07,,1.3692e+05,,1.2079e+05,,1
3d95d,2[7/2],3d95p,2[7/2]°,2.8595e-08,1.3350e-18,1.3704e+05,4.6916e+01,1.2074e+05,5.5226e+03,2
3d95d,2[9/2],3d8,1F°,2.0408e-07,,1.3677e+05,,1.2152e+05,,1
3d95d,2[9/2],3d95p,2[7/2]°,8.7992e-08,1.8232e-14,1.3675e+05,5.2003e+02,1.2075e+05,3.6817e+03,3
3d95f,2[1/2]°,3d95d,2[1/2],3.2407e-08,4.2867e-17,1.4590e+05,6.6932e+01,1.3634e+05,0.0000e+00,2
3d95f,2[1/2]°,3d95d,2[3/2],1.1310e-07,1.7715e-15,1.4590e+05,6.6932e+01,1.3676e+05,1.8166e+02,2
3d95f,2[11/2]°,3d94d,2[9/2],1.7403e-08,4.1222e-19,1.4595e+05,1.7600e+01,1.1562e+05,4.3774e+03,2
3d95f,2[11/2]°,3d95d,2[9/2],2.3810e-08,0.0000e+00,1.4595e+05,1.7600e+01,1.3675e+05,7.8004e+02,2
