Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p33d,3F°,2s22p33p,3F,5.2017e-07,1.9050e-13,2.6496e+05,2.8352e+01,2.3751e+05,2.6968e-01,7
2s22p33p,1D,2s22p33s,1D°,7.1429e-09,,2.4628e+05,,2.1507e+05,,1
2s22p33p,1F,2s22p33s,1D°,5.8824e-09,,2.3832e+05,,2.1507e+05,,1
2s22p33p,3D,2s22p33s,3D°,2.3893e-08,3.0212e-16,2.3618e+05,1.3407e+02,2.1188e+05,1.9870e+02,7
2s22p33p,3P,2s22p33s,3D°,9.0895e-08,3.5743e-14,2.4013e+05,1.5219e+03,2.1189e+05,1.8022e+02,6
2s22p33d,3D°,2s22p33p,3P,3.7826e-08,4.5720e-15,2.3206e+05,1.3336e+00,2.0770e+05,5.3500e+00,6
2s22p33d,5D°,2s22p33p,5P,1.2213e-08,2.4260e-16,2.3100e+05,1.4294e+00,2.0246e+05,1.8338e+02,9
2s22p33p,3P,2s22p33s,3S°,8.3333e-09,0.0000e+00,2.0770e+05,5.6936e+00,1.8286e+05,0.0000e+00,3
2s22p33p,5P,2s22p33s,5S°,7.6923e-09,0.0000e+00,2.0246e+05,2.4450e+02,1.7649e+05,1.2705e-21,3
2s22p34f,3F,2s22p33d,3D°,1.7507e-07,1.5219e-13,2.5455e+05,2.0747e-02,2.3207e+05,1.8660e+00,6
2s22p4,1D,2s22p4,3P,8.1328e+04,1.9823e+10,2.0873e+04,0.0000e+00,2.7697e+02,6.3076e+04,3
2s22p4,1S,2s22p4,1D,4.7619e-01,,4.4918e+04,,2.0873e+04,,1
2s22p4,1S,2s22p4,3P,3.1352e+02,1.9404e+05,4.4918e+04,0.0000e+00,1.7050e+02,5.8140e+04,2
2s22p4,3P,2s22p4,3P,1.8519e+08,1.0288e+17,4.4027e+02,7.3904e+03,1.1367e+02,3.8760e+04,3
2s2p5,3P°,2s22p4,3P,2.5807e-10,1.6136e-20,1.6503e+05,3.7490e+04,2.5215e+02,4.1473e+04,6
