Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d5,4D°,3d54s2,d 4P,2.9210e-07,1.1465e-13,1.0434e+05,2.4339e+07,5.7470e+04,3.9693e+03,7
3d5,4D°,3d64s,b 4F,5.0042e-08,2.2696e-15,1.0116e+05,3.1605e+07,2.2850e+04,2.0821e+04,18
3d5,4D°,3d64d,4F,8.8225e-04,5.8885e-07,1.0760e+05,3.7324e+05,1.0434e+05,5.3818e+05,5
3d5,4D°,3d65s,4P,5.9481e-06,7.4452e-11,1.0825e+05,7.1633e+05,9.8226e+04,4.8780e+05,6
3d5,4D°,3d54s2,b 4G,2.4157e-07,8.1783e-14,1.0796e+05,6.1203e+05,5.4278e+04,1.8028e+01,6
3d5,4D°,3d64s,c 4F,2.1669e-07,1.8808e-14,1.0126e+05,3.8184e+07,5.0128e+04,2.5228e+03,5
3d5,4D°,3d64s,a 4H,1.2500e-07,,1.0702e+05,,2.1712e+04,,1
3d5,4D°,3d64d,4D,2.8278e-04,7.0337e-08,1.0767e+05,8.3145e+05,1.0320e+05,1.1542e+05,5
3d5,4D°,3d64s,b 4P,4.1123e-08,2.0355e-15,1.0459e+05,2.3137e+07,2.1529e+04,5.0070e+05,11
3d5,4D°,3d65d,4F,7.6316e-04,1.1219e-07,1.0764e+05,7.2120e+05,1.0385e+05,5.8087e+04,2
3d5,4F°,3d64s,b 4D,1.0406e-07,1.3732e-14,1.0417e+05,1.6590e+07,3.1455e+04,3.2916e+03,4
3d5,4F°,3d64s,a 2F,7.5000e-08,9.0278e-16,1.0727e+05,5.7657e+06,2.7519e+04,3.1107e+04,3
3d5,4F°,3d54s2,b 4G,2.6016e-07,1.7704e-13,1.0728e+05,9.1568e+06,5.4269e+04,3.5132e+02,11
3d5,4F°,3d64s,c 4F,3.8895e-07,8.1272e-14,1.0303e+05,2.6262e+07,5.0160e+04,4.8810e+02,6
3d5,4P°,3d64s,b 4D,3.8340e-08,1.8033e-15,1.0301e+05,6.4178e+06,3.1406e+04,2.9049e+03,7
3d5,4P°,3d64s,b 4P,4.3473e-08,1.5402e-15,9.9948e+04,3.0622e+07,2.1572e+04,4.2855e+05,13
3d5,4P°,3d54s2,c 4D,5.2632e-07,,1.0659e+05,,6.0270e+04,,1
3d5,4P°,3d54s2,d 4P,4.4963e-07,1.2280e-14,9.8561e+04,4.8483e+07,5.7466e+04,2.2549e+03,3
