Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d105f,2F°,5d106d,2D,4.2112e-08,3.8375e-15,1.2333e+05,2.2115e+04,1.0536e+05,1.0450e+05,3
5d105f,2F°,5d96s2,2D,1.4098e-07,2.4923e-14,1.2333e+05,2.2115e+04,4.0528e+04,7.5410e+07,3
5d105g,2G,5d105f,2F°,1.6748e-08,1.6353e-17,1.3365e+05,5.7800e-04,1.2328e+05,3.3173e+04,2
5d105g,2G,5d96s6p,"(2D3/2,1P1)°",5.0000e-08,,1.3365e+05,,1.2196e+05,,1
5d105g,2G,5d96s6p,"(2D3/2,3P1)°",4.1667e-06,,1.3365e+05,,1.0086e+05,,1
5d105g,2G,5d96s6p,"(2D3/2,3P2)°",1.2955e-05,2.9019e-10,1.3365e+05,5.7800e-04,1.1060e+05,0.0000e+00,2
5d105g,2G,5d96s6p,"(2D5/2,1P1)°",4.3137e-05,3.2314e-09,1.3365e+05,5.7800e-04,1.0622e+05,0.0000e+00,2
5d106d,2D,5d106p,2P°,3.5556e-09,1.7148e-17,1.0517e+05,1.0450e+05,5.7568e+04,2.7739e+07,3
5d106d,2D,5d96s6p,"(2D5/2,3P1)°",8.3103e-05,7.5601e-09,1.0532e+05,9.4048e+04,8.5248e+04,7.8582e+05,5
5d106f,2F°,5d106d,2D,1.8889e-07,7.2593e-14,1.3328e+05,6.8116e+01,1.0536e+05,1.0450e+05,3
5d106f,2F°,5d96s2,2D,1.0000e-06,,1.3327e+05,,3.5515e+04,,1
5d106g,2G,5d105f,2F°,4.7009e-08,1.4610e-16,1.3904e+05,4.5000e-06,1.2328e+05,3.3173e+04,2
5d106g,2G,5d96s6p,"(2D3/2,1P1)°",1.2500e-07,,1.3904e+05,,1.2196e+05,,1
5d106g,2G,5d96s6p,"(2D3/2,3P2)°",2.5893e-05,1.1623e-09,1.3904e+05,4.5000e-06,1.1060e+05,0.0000e+00,2
5d106g,2G,5d96s6p,"(2D5/2,1P1)°",7.5095e-05,9.7531e-09,1.3904e+05,4.5000e-06,1.0622e+05,0.0000e+00,2
5d106p,2P°,5d106s,2S,1.0833e-09,1.2500e-19,5.6047e+04,4.1608e+07,0.0000e+00,0.0000e+00,2
5d106p,2P°,5d96s2,2D,3.1250e-07,,6.0608e+04,,3.5515e+04,,1
5d107d,2D,5d106p,2P°,1.4550e-08,2.6476e-16,1.2541e+05,2.1523e+04,5.7568e+04,2.7739e+07,3
5d107d,2D,5d107p,2P°,4.8838e-08,3.5706e-15,1.2541e+05,2.1523e+04,1.1075e+05,4.4977e+06,3
5d107d,2D,5d96s6p,"(2D3/2,3P0)°",2.8571e-05,4.5351e-11,1.2545e+05,3.2285e+04,9.7096e+04,0.0000e+00,2
5d107d,2D,5d96s6p,"(2D3/2,3P1)°",6.3000e-06,7.6880e-11,1.2545e+05,3.2285e+04,1.0353e+05,2.3766e+05,2
5d107d,2D,5d96s6p,"(2D3/2,3P2)°",1.9444e-07,3.8580e-14,1.2545e+05,3.2285e+04,1.0919e+05,0.0000e+00,2
5d107d,2D,5d96s6p,"(2D5/2,1P1)°",1.3905e-07,1.9621e-14,1.2545e+05,3.2285e+04,1.0609e+05,0.0000e+00,2
5d107d,2D,5d96s6p,"(2D5/2,3P1)°",2.8028e-03,1.5156e-05,1.2545e+05,3.2285e+04,8.4524e+04,1.9453e+05,2
5d107d,2D,5d96s6p,"(2D5/2,3P2)°",5.2747e-05,1.1689e-09,1.2545e+05,3.2285e+04,9.5246e+04,6.8184e+03,2
