Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5p2,1D,5s5p,1P°,7.8740e-10,,1.1388e+05,,6.3039e+04,,1
5p2,1D,5s5p,3P°,1.5889e-07,2.8269e-14,1.1388e+05,0.0000e+00,4.4590e+04,3.0719e+06,2
5p2,1S,5s5p,1P°,9.2593e-10,,1.2129e+05,,6.3039e+04,,1
5p2,1S,5s5p,3P°,1.2500e-07,,1.2129e+05,,4.3351e+04,,1
5p2,1S,5s6p,1P°,2.2727e-08,,1.2129e+05,,1.0978e+05,,1
5p2,1S,5s6p,3P°,5.2632e-07,,1.2129e+05,,1.0784e+05,,1
5p2,3P,5s5p,1P°,9.2437e-07,9.7514e-13,1.0347e+05,3.9528e+06,6.3039e+04,0.0000e+00,3
5p2,3P,5s5p,3P°,2.1146e-09,9.0092e-19,1.0375e+05,2.3860e+06,4.3998e+04,2.1859e+06,6
5s4f,1F°,5p2,1D,5.2083e-08,,1.2370e+05,,1.1388e+05,,1
5s4f,1F°,5p2,3P,2.0408e-07,,1.2370e+05,,1.0557e+05,,1
5s4f,1F°,5s5d,1D,4.5455e-09,,1.2370e+05,,9.7628e+04,,1
5s4f,1F°,5s5d,3D,3.2983e-07,1.3354e-13,1.2370e+05,0.0000e+00,1.0224e+05,8.9388e+03,2
5s4f,3F°,5p2,3P,1.5476e-06,2.8345e-14,1.2365e+05,1.3241e+01,1.0441e+05,2.6817e+06,2
5s4f,3F°,5s5d,3D,2.0218e-07,1.9868e-13,1.2365e+05,7.1970e+01,1.0223e+05,8.8940e+03,6
5s4f,3F°,5p2,1D,1.1628e-06,,1.2365e+05,,1.1388e+05,,1
5s4f,3F°,5s5d,1D,4.7619e-08,,1.2365e+05,,9.7628e+04,,1
5s5d,1D,5s5p,1P°,5.0000e-08,,9.7628e+04,,6.3039e+04,,1
5s5d,1D,5s5p,3P°,1.8059e-07,1.6085e-14,9.7628e+04,0.0000e+00,4.4590e+04,3.0719e+06,2
5s5d,3D,5s5p,1P°,7.5000e-07,1.3889e-14,1.0213e+05,3.6954e+03,6.3039e+04,0.0000e+00,2
5s5d,3D,5s5p,3P°,1.2115e-08,6.1080e-16,1.0215e+05,7.4958e+03,4.4411e+04,2.5683e+06,6
5s5f,1F°,5p2,1D,3.5714e-07,,1.3398e+05,,1.1388e+05,,1
5s5f,1F°,5p2,3P,1.6667e-06,,1.3398e+05,,1.0557e+05,,1
5s5f,1F°,5s5d,1D,1.6949e-08,,1.3398e+05,,9.7628e+04,,1
5s5f,1F°,5s5d,3D,2.1731e-06,5.5984e-12,1.3398e+05,0.0000e+00,1.0224e+05,8.9388e+03,2
5s5f,1F°,5s6d,1D,3.3333e-08,,1.3398e+05,,1.2667e+05,,1
5s5f,1F°,5s6d,3D,4.4053e-07,,1.3398e+05,,1.2478e+05,,1
5s5f,3F°,5s5d,3D,1.0613e-06,5.5860e-12,1.3395e+05,6.1078e+01,1.0223e+05,8.8940e+03,6
5s5f,3F°,5s6d,3D,8.8502e-08,7.9413e-15,1.3395e+05,6.9772e+01,1.2479e+05,1.4518e+03,5
5s5f,3F°,5p2,1D,5.2632e-06,,1.3394e+05,,1.1388e+05,,1
5s5f,3F°,5s5d,1D,3.2258e-07,,1.3394e+05,,9.7628e+04,,1
5s5f,3F°,5s6d,1D,5.5249e-07,,1.3394e+05,,1.2667e+05,,1
5s5p,1P°,5s2,1S,7.8125e-10,,6.3039e+04,,0.0000e+00,,1
5s5p,3P°,5s2,1S,9.8039e-02,1.9223e-02,4.2813e+04,5.7737e+05,0.0000e+00,0.0000e+00,2
5s6d,1D,5s5p,1P°,1.9231e-09,,1.2667e+05,,6.3039e+04,,1
5s6d,1D,5s5p,3P°,1.2174e-06,1.2250e-12,1.2667e+05,0.0000e+00,4.4590e+04,3.0719e+06,2
5s6d,1D,5s6p,1P°,1.1905e-08,,1.2667e+05,,1.0978e+05,,1
5s6d,1D,5s6p,3P°,3.8462e-07,,1.2667e+05,,1.0784e+05,,1
5s6d,3D,5s5p,1P°,2.8134e-06,1.5853e-12,1.2476e+05,5.7749e+02,6.3039e+04,0.0000e+00,2
5s6d,3D,5s5p,3P°,3.6770e-08,4.4428e-15,1.2477e+05,1.1862e+03,4.4411e+04,2.5683e+06,6
5s6d,3D,5s6p,1P°,5.7143e-07,1.8141e-14,1.2476e+05,5.7749e+02,1.0978e+05,0.0000e+00,2
5s6d,3D,5s6p,3P°,7.1664e-08,1.6530e-14,1.2477e+05,1.1862e+03,1.0811e+05,1.3030e+05,6
5s6f,1F°,5p2,1D,2.9412e-07,,1.3959e+05,,1.1388e+05,,1
5s6f,1F°,5p2,3P,2.1277e-06,,1.3959e+05,,1.0557e+05,,1
5s6f,1F°,5s5d,1D,2.1739e-08,,1.3959e+05,,9.7628e+04,,1
5s6f,1F°,5s6d,1D,1.1765e-07,,1.3959e+05,,1.2667e+05,,1
5s6f,1F°,5s7d,1D,7.8740e-08,,1.3959e+05,,1.3540e+05,,1
5s6f,3F°,5s5d,3D,1.6592e-06,1.3279e-11,1.3955e+05,4.8688e+01,1.0223e+05,8.8940e+03,6
5s6f,3F°,5s6d,3D,2.1777e-07,4.7354e-14,1.3955e+05,5.5812e+01,1.2479e+05,1.4518e+03,5
5s6f,3F°,5s7d,3D,2.7716e-07,7.6718e-14,1.3955e+05,5.5812e+01,1.3475e+05,3.9237e+02,5
5s6p,1P°,5s2,1S,1.4286e-07,,1.0978e+05,,0.0000e+00,,1
5s6p,1P°,5s5d,1D,4.1667e-08,,1.0978e+05,,9.7628e+04,,1
5s6p,1P°,5s5d,3D,3.4483e-06,,1.0978e+05,,1.0217e+05,,1
5s6p,1P°,5s6s,1S,2.2727e-08,,1.0978e+05,,9.7030e+04,,1
5s6p,1P°,5s6s,3S,3.4483e-07,,1.0978e+05,,9.3924e+04,,1
5s6p,3P°,5s5d,3D,4.7584e-07,1.3387e-13,1.0804e+05,1.3137e+05,1.0217e+05,8.0917e+03,5
5s6p,3P°,5s6s,3S,1.7033e-08,2.0378e-18,1.0798e+05,1.6126e+05,9.3924e+04,0.0000e+00,3
5s6p,3P°,5s2,1S,2.0408e-07,,1.0784e+05,,0.0000e+00,,1
5s6p,3P°,5s5d,1D,1.6667e-06,,1.0784e+05,,9.7628e+04,,1
5s6p,3P°,5s6s,1S,1.0000e-06,,1.0784e+05,,9.7030e+04,,1
5s6s,1S,5s5p,1P°,2.9412e-09,,9.7030e+04,,6.3039e+04,,1
5s6s,1S,5s5p,3P°,2.1277e-07,,9.7030e+04,,4.3351e+04,,1
5s6s,3S,5s5p,1P°,1.1111e-06,,9.3924e+04,,6.3039e+04,,1
5s6s,3S,5s5p,3P°,5.5004e-09,1.8564e-17,9.3924e+04,0.0000e+00,4.3819e+04,3.3207e+06,3
5s7d,1D,5s5p,1P°,5.5556e-09,,1.3540e+05,,6.3039e+04,,1
5s7d,1D,5s5p,3P°,3.3646e-06,2.1808e-11,1.3540e+05,0.0000e+00,4.4590e+04,3.0719e+06,2
5s7d,1D,5s6p,1P°,2.5000e-08,,1.3540e+05,,1.0978e+05,,1
5s7d,1D,5s6p,3P°,7.6923e-07,,1.3540e+05,,1.0784e+05,,1
5s7d,1D,5s7p,1P°,4.2017e-08,,1.3540e+05,,1.2757e+05,,1
5s7d,1D,5s7p,3P°,7.1942e-07,,1.3540e+05,,1.2699e+05,,1
5s7d,3D,5s5p,1P°,4.1667e-06,,1.3473e+05,,6.3039e+04,,1
5s7d,3D,5s5p,3P°,1.0633e-07,3.7422e-14,1.3474e+05,3.1948e+02,4.4411e+04,2.5683e+06,6
5s7d,3D,5s6p,1P°,1.7949e-06,3.2873e-14,1.3474e+05,1.5367e+02,1.0978e+05,0.0000e+00,2
5s7d,3D,5s6p,3P°,1.7986e-07,1.0315e-13,1.3474e+05,3.1948e+02,1.0811e+05,1.3030e+05,6
5s7d,3D,5s7p,1P°,1.0372e-06,5.6198e-14,1.3474e+05,1.5367e+02,1.2757e+05,0.0000e+00,2
5s7d,3D,5s7p,3P°,2.6715e-07,2.2592e-13,1.3474e+05,3.1948e+02,1.2711e+05,2.4007e+04,6
5s7f,1F°,5p2,1D,6.2500e-07,,1.4296e+05,,1.1388e+05,,1
5s7f,1F°,5s5d,1D,5.5556e-08,,1.4296e+05,,9.7628e+04,,1
5s7f,1F°,5s6d,1D,2.7027e-07,,1.4296e+05,,1.2667e+05,,1
5s7f,1F°,5s7d,1D,2.0408e-07,,1.4296e+05,,1.3540e+05,,1
5s7f,3F°,5s5d,3D,3.1396e-07,1.0027e-13,1.4293e+05,4.1865e+01,1.0221e+05,9.1404e+03,5
5s7f,3F°,5s6d,3D,4.1789e-07,1.7104e-13,1.4293e+05,4.1865e+01,1.2479e+05,1.4518e+03,5
5s7f,3F°,5s7d,3D,5.9111e-07,3.5089e-13,1.4293e+05,4.1865e+01,1.3475e+05,3.9237e+02,5
5s7p,1P°,5p2,1D,9.1743e-08,,1.2757e+05,,1.1388e+05,,1
5s7p,1P°,5p2,1S,1.0204e-07,,1.2757e+05,,1.2129e+05,,1
5s7p,1P°,5s5d,1D,8.3333e-08,,1.2757e+05,,9.7628e+04,,1
5s7p,1P°,5s5d,3D,8.3333e-06,,1.2757e+05,,1.0217e+05,,1
5s7p,1P°,5s6s,1S,6.2500e-07,,1.2757e+05,,9.7030e+04,,1
5s7p,1P°,5s6s,3S,3.7037e-06,,1.2757e+05,,9.3924e+04,,1
5s7p,1P°,5s7s,3S,8.9286e-07,,1.2757e+05,,1.2144e+05,,1
5s7p,3P°,5s5d,3D,3.2773e-06,4.2814e-12,1.2709e+05,2.4136e+04,1.0217e+05,8.0917e+03,5
5s7p,3P°,5s6s,3S,6.8292e-07,2.4708e-13,1.2706e+05,2.9030e+04,9.3924e+04,0.0000e+00,3
5s7p,3P°,5s7s,3S,7.7826e-08,5.6756e-17,1.2706e+05,2.9030e+04,1.2144e+05,3.1764e-22,3
5s7p,3P°,5p2,1D,1.1111e-06,,1.2699e+05,,1.1388e+05,,1
5s7p,3P°,5s2,1S,5.8824e-07,,1.2699e+05,,0.0000e+00,,1
5s7p,3P°,5s5d,1D,1.6667e-06,,1.2699e+05,,9.7628e+04,,1
5s7p,3P°,5s6s,1S,4.0000e-06,,1.2699e+05,,9.7030e+04,,1
5s7s,1S,5s5p,1P°,7.3529e-10,,1.2337e+05,,6.3039e+04,,1
5s7s,1S,5s5p,3P°,2.0000e-07,,1.2337e+05,,4.3351e+04,,1
5s7s,1S,5s6p,1P°,2.5000e-08,,1.2337e+05,,1.0978e+05,,1
5s7s,1S,5s6p,3P°,6.2500e-07,,1.2337e+05,,1.0784e+05,,1
5s7s,3S,5s5p,3P°,1.7079e-08,2.0338e-16,1.2144e+05,3.1764e-22,4.3819e+04,3.3207e+06,3
5s7s,3S,5s6p,1P°,9.0909e-07,,1.2144e+05,,1.0978e+05,,1
5s7s,3S,5s6p,3P°,4.4246e-08,1.3079e-15,1.2144e+05,3.1764e-22,1.0798e+05,1.6126e+05,3
